State EV Total 0
South_Carolina 9 63952 7105.78
Mississippi 10 86679 8667.9
Louisiana 10 92982 9298.2
Alabama 12 130728 10894
Nevada 3 33316 11105.3
Georgia 14 160681 11477.2
Virginia 12 152025 12668.8
Florida 6 80734 13455.7
Vermont 4 64475 16118.8
Delaware 3 51810 17270
Wyoming 3 51840 17280
Rhode_Island 5 87816 17563.2
Texas 20 372467 18623.3
Arkansas 9 170104 18900.4
Arizona 3 58021 19340.3
New_Mexico 3 66787 22262.3
New_Hampshire 4 89127 22281.8
Tennessee 12 272190 22682.5
Maine 6 136314 22719
North_Dakota 5 115390 23078
North_Carolina 12 289837 24153.1
South_Dakota 5 128942 25788.4
Oklahoma 10 292753 29275.3
Massachusetts 18 531823 29545.7
Connecticut 7 213874 30553.4
Minnesota 12 387364 32280.3
Maryland 8 262039 32754.9
Idaho 4 134615 33653.8
Pennsylvania 38 1297189 34136.6
Wisconsin 13 447134 34394.9
TOTALS: 531 18536585 34908.8
New_Jersey 14 494442 35317.3
Utah 4 143146 35786.5
Nebraska 8 287315 35914.4
West_Virginia 8 289852 36231.5
New_York 45 1706305 37917.9
Iowa 13 513942 39534
Kentucky 13 520078 40006
Michigan 15 650973 43398.2
Missouri 18 786769 43709.4
Montana 4 177679 44419.8
Indiana 15 718848 47923.2
Ohio 24 1165086 48545.2
Colorado 6 294375 49062.5
Oregon 5 261650 52330
Washington 7 380994 54427.7
Kansas 10 629813 62981.3
Illinois 29 2192707 75610.6
California 13 999603 76892.5
