State EV DEM_VOTES DEM_PCT DEM_EV GOP_VOTES GOP_PCT GOP_EV SOC_VOTES SOC_PCT SOC_EV PRO_VOTES PRO_PCT PRO_EV PROG_VOTES PROG_PCT PROG_EV SOCL_VOTES SOCL_PCT SOCL_EV Vote_Margin PCT_Margin Total Abbr.
Alabama	12	99409	76.04	12	28662	21.92	-	1916	1.47	-	741	0.57	-	-	-	-	-	-	-	70747	54.12	130728	AL
Arizona	3	33170	57.17	3	20524	35.37	-	3174	5.47	-	1153	1.99	-	-	-	-	-	-	-	12646	21.80	58021	AZ
Arkansas	9	112211	65.97	9	48879	28.73	-	6999	4.11	-	2015	1.18	-	-	-	-	-	-	-	63332	37.23	170104	AR
California	13	466289	46.65	13	462516	46.27	-	42898	4.29	-	27713	2.77	-	-	-	-	-	-	-	3773	0.38	999603	CA
Colorado	6	178816	60.74	6	102308	34.75	-	10049	3.41	-	2793	0.95	-	409	0.14	-	-	-	-	76508	25.99	294375	CO
Connecticut	7	99786	46.66	-	106514	49.80	7	5179	2.42	-	1789	0.84	-	-	-	-	606	0.28	-	-6728	-3.15	213874	CT
Delaware	3	24753	47.78	-	26011	50.20	3	480	0.93	-	566	1.09	-	-	-	-	-	-	-	-1258	-2.43	51810	DE
Florida	6	55984	69.34	6	14611	18.10	-	5353	6.63	-	4786	5.93	-	-	-	-	-	-	-	41373	51.25	80734	FL
Georgia	14	127754	79.51	14	11294	7.03	-	941	0.59	-	-	-	-	20692	12.88	-	-	-	-	107062	66.63	160681	GA
Idaho	4	70054	52.04	4	55368	41.13	-	8066	5.99	-	1127	0.84	-	-	-	-	-	-	-	14686	10.91	134615	ID
Illinois	29	950229	43.34	-	1152549	52.56	29	61394	2.80	-	26047	1.19	-	-	-	-	2488	0.11	-	-202320	-9.23	2192707	IL
Indiana	15	334063	46.47	-	341005	47.44	15	21855	3.04	-	16368	2.28	-	3898	0.54	-	1659	0.23	-	-6942	-0.97	718848	IN
Iowa	13	218699	42.55	-	280439	54.57	13	10973	2.14	-	3371	0.66	-	-	-	-	460	0.09	-	-61740	-12.01	513942	IA
Kansas	10	314588	49.95	10	277658	44.09	-	24685	3.92	-	12882	2.05	-	-	-	-	-	-	-	36930	5.86	629813	KS
Kentucky	13	269990	51.91	13	241854	46.50	-	4734	0.91	-	3039	0.58	-	129	0.02	-	332	0.06	-	28136	5.41	520078	KY
Louisiana	10	79875	85.90	10	6466	6.95	-	292	0.31	-	-	-	-	6349	6.83	-	-	-	-	73409	78.95	92982	LA
Maine	6	64033	46.97	-	69508	50.99	6	2177	1.60	-	596	0.44	-	-	-	-	-	-	-	-5475	-4.02	136314	ME
Maryland	8	138359	52.80	8	117347	44.78	-	2674	1.02	-	2903	1.11	-	-	-	-	756	0.29	-	21012	8.02	262039	MD
Massachusetts	18	247885	46.61	-	268784	50.54	18	11058	2.08	-	2993	0.56	-	-	-	-	1097	0.21	-	-20899	-3.93	531823	MA
Michigan	15	286775	44.05	-	339097	52.09	15	16120	2.48	-	8139	1.25	-	-	-	-	842	0.13	-	-52322	-8.04	650973	MI
Minnesota	12	179152	46.25	-	179544	46.35	12	20117	5.19	-	7793	2.01	-	290	0.07	-	468	0.12	-	-392	-0.10	387364	MN
Mississippi	10	80422	92.78	10	4253	4.91	-	1484	1.71	-	-	-	-	520	0.60	-	-	-	-	76169	87.87	86679	MS
Missouri	18	398032	50.59	18	369339	46.94	-	14612	1.86	-	3884	0.49	-	-	-	-	902	0.11	-	28693	3.65	786769	MO
Montana	4	101063	56.88	4	66750	37.57	-	9564	5.38	-	-	-	-	302	0.17	-	-	-	-	34313	19.31	177679	MT
Nebraska	8	158827	55.28	8	117771	40.99	-	7141	2.49	-	2952	1.03	-	-	-	-	624	0.22	-	41056	14.29	287315	NE
Nevada	3	17776	53.36	3	12127	36.40	-	3065	9.20	-	348	1.04	-	-	-	-	-	-	-	5649	16.96	33316	NV
New_Hampshire	4	43781	49.12	4	43725	49.06	-	1318	1.48	-	303	0.34	-	-	-	-	-	-	-	56	0.06	89127	NH
New_Jersey	14	211018	42.68	-	268982	54.40	14	10405	2.10	-	3182	0.64	-	-	-	-	855	0.17	-	-57964	-11.72	494442	NJ
New_Mexico	3	33527	50.20	3	31152	46.64	-	1996	2.99	-	112	0.17	-	-	-	-	-	-	-	2375	3.56	66787	NM
New_York	45	759426	44.51	-	879238	51.53	45	45944	2.69	-	19031	1.12	-	-	-	-	2666	0.16	-	-119812	-7.02	1706305	NY
North_Carolina	12	168383	58.10	12	120890	41.71	-	509	0.18	-	55	0.02	-	-	-	-	-	-	-	47493	16.39	289837	NC
North_Dakota	5	55206	47.84	5	53471	46.34	-	5716	4.95	-	997	0.86	-	-	-	-	-	-	-	1735	1.50	115390	ND
Ohio	24	604161	51.86	24	514753	44.18	-	38092	3.27	-	8080	0.69	-	-	-	-	-	-	-	89408	7.67	1165086	OH
Oklahoma	10	148113	50.59	10	97233	33.21	-	45527	15.55	-	1646	0.56	-	234	0.08	-	-	-	-	50880	17.38	292753	OK
Oregon	5	120087	45.90	-	126813	48.47	5	9711	3.71	-	4729	1.81	-	310	0.12	-	-	-	-	-6726	-2.57	261650	OR
Pennsylvania	38	521784	40.22	-	703823	54.26	38	42638	3.29	-	28525	2.20	-	-	-	-	419	0.03	-	-182039	-14.03	1297189	PA
Rhode_Island	5	40394	46.00	-	44858	51.08	5	1914	2.18	-	470	0.54	-	-	-	-	180	0.20	-	-4464	-5.08	87816	RI
South_Carolina	9	61846	96.71	9	1550	2.42	-	135	0.21	-	-	-	-	162	0.25	-	-	-	-	60296	94.28	63952	SC
South_Dakota	5	59191	45.91	-	64217	49.80	5	3760	2.92	-	1774	1.38	-	-	-	-	-	-	-	-5026	-3.90	128942	SD
Tennessee	12	153280	56.31	12	116223	42.70	-	2542	0.93	-	145	0.05	-	-	-	-	-	-	-	37057	13.61	272190	TN
Texas	20	286514	76.92	20	64999	17.45	-	18969	5.09	-	1985	0.53	-	-	-	-	-	-	-	221515	59.47	372467	TX
Utah	4	84145	58.78	4	54137	37.82	-	4460	3.12	-	149	0.10	-	111	0.08	-	144	0.10	-	30008	20.96	143146	UT
