Alabama	11	55673	28.61	-	130298	66.96	11	6375	3.28	-	2234	1.15	-	-	-	-	-	-	-	-74625	-38.35	194580	AL
Arkansas	8	37512	25.12	-	110103	73.72	8	-	-	-	839	0.56	-	-	-	-	893	0.60	-	-72591	-48.61	149347	AR
California	9	146688	49.16	8	144766	48.51	1	1730	0.58	-	2573	0.86	-	1611	0.54	-	1047	0.35	-	1922	0.64	298419	CA
Colorado	4	26271	13.86	-	161005	84.95	4	1	0.00	-	1717	0.91	-	159	0.08	-	386	0.20	-	-134734	-71.09	189539	CO
Connecticut	6	110285	63.24	6	56740	32.54	-	4336	2.49	-	1806	1.04	-	1223	0.70	-	-	-	-	53545	30.70	174390	CT
Delaware	3	20450	53.18	3	16574	43.10	-	966	2.51	-	466	1.21	-	-	-	-	-	-	-	3876	10.08	38456	DE
Florida	4	11298	24.30	-	32756	70.46	4	1778	3.82	-	656	1.41	-	-	-	-	-	-	-	-21458	-46.16	46488	FL
Georgia	13	59395	36.56	-	93885	57.78	13	3670	2.26	-	5483	3.37	-	-	-	-	-	-	-	-34490	-21.23	162480	GA
Idaho	3	6314	21.32	-	23135	78.10	3	-	-	-	172	0.58	-	-	-	-	-	-	-	-16821	-56.79	29621	ID
Illinois	24	607130	55.66	24	465613	42.68	-	6390	0.59	-	9796	0.90	-	1147	0.11	-	793	0.07	-	141517	12.97	1090869	IL
Indiana	15	323754	50.82	15	305573	47.96	-	2145	0.34	-	3056	0.48	-	324	0.05	-	2267	0.36	-	18181	2.85	637119	IN
Iowa	13	289293	55.47	13	223741	42.90	-	4516	0.87	-	3192	0.61	-	453	0.09	-	352	0.07	-	65552	12.57	521547	IA
Kansas	10	159345	47.63	-	171675	51.32	10	1209	0.36	-	1698	0.51	-	-	-	-	620	0.19	-	-12330	-3.69	334547	KS
Kentucky	13	218171	48.93	12	217894	48.86	1	5084	1.14	-	4779	1.07	-	-	-	-	-	-	-	277	0.06	445928	KY
Louisiana	8	22037	21.81	-	77175	76.38	8	1834	1.82	-	-	-	-	-	-	-	-	-	-	-55138	-54.57	101046	LA
Maine	6	80403	67.90	6	34587	29.21	-	1867	1.58	-	1562	1.32	-	-	-	-	-	-	-	45816	38.69	118419	ME
Maryland	8	136959	54.73	8	104150	41.62	-	2499	1.00	-	5918	2.36	-	587	0.23	-	136	0.05	-	32809	13.11	250249	MD
Massachusetts	15	278976	69.47	15	105711	26.32	-	11749	2.93	-	2998	0.75	-	2114	0.53	-	-	-	-	173265	43.15	401568	MA
Michigan	14	293336	53.77	14	237166	43.47	-	6923	1.27	-	4978	0.91	-	293	0.05	-	1816	0.33	-	56170	10.30	545585	MI
Minnesota	9	193503	56.62	9	139735	40.89	-	3222	0.94	-	4348	1.27	-	954	0.28	-	-	-	-	53768	15.73	341762	MN
Mississippi	9	4819	6.92	-	63355	91.04	9	1021	1.47	-	396	0.57	-	-	-	-	-	-	-	-58536	-84.11	69591	MS
Missouri	17	304940	45.25	-	363667	53.96	17	2365	0.35	-	2043	0.30	-	599	0.09	-	292	0.04	-	-58727	-8.71	673906	MO
Montana	3	10509	19.71	-	42628	79.93	3	-	-	-	193	0.36	-	-	-	-	-	-	-	-32119	-60.23	53330	MT
Nebraska	8	103064	46.18	-	115007	51.53	8	2885	1.29	-	1243	0.56	-	186	0.08	-	797	0.36	-	-11943	-5.35	223182	NE
Nevada	3	1938	18.79	-	8376	81.21	3	-	-	-	-	-	-	-	-	-	-	-	-	-6438	-62.42	10314	NV
New_Hampshire	4	57444	68.66	4	21650	25.88	-	3520	4.21	-	779	0.93	-	228	0.27	-	49	0.06	-	35794	42.78	83670	NH
New_Jersey	10	221535	59.68	10	133695	36.02	-	6378	1.72	-	-	-	-	3986	1.07	-	5617	1.51	-	87840	23.66	371211	NJ
New_York	36	819838	57.58	36	551369	38.72	-	18950	1.33	-	16052	1.13	-	17667	1.24	-	-	-	-	268469	18.85	1423876	NY
North_Carolina	11	155122	46.82	-	174408	52.64	11	578	0.17	-	635	0.19	-	-	-	-	222	0.07	-	-19286	-5.82	331337	NC
North_Dakota	3	26335	55.57	3	20686	43.65	-	-	-	-	358	0.76	-	-	-	-	-	-	-	5649	11.92	47391	ND
Ohio	23	525991	51.86	23	477497	47.08	-	1858	0.18	-	5068	0.50	-	1165	0.11	-	2716	0.27	-	48494	4.78	1014295	OH
Oregon	4	48779	50.07	4	46739	47.98	-	977	1.00	-	919	0.94	-	-	-	-	-	-	-	2040	2.09	97414	OR
Pennsylvania	32	728300	60.98	32	433228	36.27	-	11000	0.92	-	19274	1.61	-	1683	0.14	-	870	0.07	-	295072	24.71	1194355	PA
Rhode_Island	4	37437	68.33	4	14459	26.39	-	1166	2.13	-	1160	2.12	-	558	1.02	-	-	-	-	22978	41.94	54785	RI
South_Carolina	9	9313	13.51	-	58801	85.30	9	824	1.20	-	-	-	-	-	-	-	-	-	-	-49488	-71.79	68938	SC
South_Dakota	4	41042	49.48	-	41225	49.70	4	-	-	-	683	0.82	-	-	-	-	-	-	-	-183	-0.22	82950	SD
Tennessee	12	148683	46.33	-	167168	52.09	12	1953	0.61	-	3099	0.97	-	-	-	-	-	-	-	-18485	-5.76	320903	TN
Texas	15	167520	30.75	-	370434	68.00	15	5046	0.93	-	1786	0.33	-	-	-	-	-	-	-	-202914	-37.25	544786	TX
Utah	3	13491	17.27	-	64607	82.70	3	-	-	-	-	-	-	-	-	-	-	-	-	-51116	-65.43	78119	UT
Vermont	4	51127	80.08	4	10640	16.66	-	1331	2.08	-	733	1.15	-	-	-	-	-	-	-	40487	63.41	63847	VT
Virginia	12	135379	45.94	-	154708	52.50	12	2129	0.72	-	2350	0.80	-	108	0.04	-	-	-	-	-19329	-6.56	294674	VA
Washington	4	39153	41.84	-	53314	56.97	4	-	-	-	968	1.03	-	-	-	-	148	0.16	-	-14161	-15.13	93583	WA
West_Virginia	6	105379	52.23	6	94480	46.83	-	678	0.34	-	1220	0.60	-	-	-	-	-	-	-	10899	5.40	201757	WV
Wisconsin	12	268135	59.93	12	165523	37.00	-	4584	1.02	-	7507	1.68	-	1314	0.29	-	346	0.08	-	102612	22.93	447409	WI
Wyoming	3	10072	47.75	-	10861	51.49	3	-	-	-	159	0.75	-	-	-	-	-	-	-	-789	-3.74	21092	WY
TOTALS:	447	7112138	51.02	271	6510807	46.71	176	133537	0.96	-	124896	0.90	-	36359	0.26	-	19367	0.14	-	601331	4.31	13938674	US
