Alabama	10	90272	53.19	10	79444	46.81	-	-	-	-	10828	6.38	169716	AL
Arkansas	6	41373	52.17	0	37927	47.83	-	-	-	-	3446	4.35	79300	AR
California	6	54007	56.38	6	40717	42.51	-	1061	1.11	-	13290	13.87	95785	CA
Connecticut	6	50314	52.41	6	45695	47.59	-	-	-	-	4619	4.81	96009	CT
Delaware	3	11129	51.00	3	10205	46.76	-	488	2.24	-	924	4.23	21822	DE
Florida	4	17763	53.52	4	15427	46.48	-	-	-	-	2336	7.04	33190	FL
Georgia	11	62550	45.03	-	76356	54.97	11	-	-	-	-13806	-9.94	138906	GA
Illinois	21	241936	56.27	21	184884	43.00	-	3151	0.73	-	57052	13.27	429971	IL
Indiana	15	186147	53.00	15	163632	46.59	-	1417	0.40	-	22515	6.41	351196	IN
Iowa	11	131566	60.81	11	81636	37.73	-	2221	1.03	-	49930	23.08	216365	IA
Kansas	5	66805	66.46	5	32970	32.80	-	156	0.16	-	33835	33.66	100512	KS
Kentucky	12	88766	46.44	-	99995	52.32	12	2374	1.24	-	-11229	-5.87	191135	KY
Louisiana	8	71663	55.69	0	57029	44.31	-	-	-	-	14634	11.37	128692	LA
Maine	7	61426	67.86	7	29097	32.14	-	-	-	-	32329	35.71	90523	ME
Maryland	8	66760	49.66	-	67687	50.34	8	-	-	-	-927	-0.69	134447	MD
Massachusetts	13	133455	69.20	13	59195	30.69	-	-	-	-	74260	38.50	192864	MA
Michigan	11	138758	62.66	11	78551	35.47	-	2875	1.30	-	60207	27.19	221455	MI
Minnesota	5	55708	61.27	5	35211	38.73	-	-	-	-	20497	22.54	90919	MN
Mississippi	8	82175	63.48	8	47282	36.52	-	-	-	-	34893	26.95	129457	MS
Missouri	15	119196	43.65	-	151434	55.46	15	2429	0.89	-	-32238	-11.81	273059	MO
Nebraska	3	18329	70.68	3	7603	29.32	-	-	-	-	10726	41.36	25932	NE
Nevada	3	8413	57.43	3	6236	42.57	-	-	-	-	2177	14.86	14649	NV
New_Hampshire	5	37168	53.94	5	31425	45.61	-	-	-	-	5743	8.33	68906	NH
New_Jersey	9	91656	54.52	9	76456	45.48	-	-	-	-	15200	9.04	168112	NJ
New_York	35	440738	53.23	35	387282	46.77	-	-	-	-	53456	6.46	828020	NY
North_Carolina	10	94772	57.38	10	70130	42.46	-	261	0.16	-	24642	14.92	165163	NC
Ohio	22	281852	53.24	22	244321	46.15	-	1163	0.22	-	37531	7.09	529436	OH
Oregon	3	11818	58.66	3	7742	38.43	-	587	2.91	-	4076	20.23	20147	OR
Pennsylvania	29	349589	62.07	29	212041	37.65	-	-	-	-	137548	24.42	563262	PA
Rhode_Island	4	13665	71.94	4	5329	28.06	-	-	-	-	8336	43.89	18994	RI
South_Carolina	7	72290	75.73	7	22699	23.78	-	204	0.21	-	49591	51.95	95452	SC
Tennessee	12	85655	47.84	-	93391	52.16	12	-	-	-	-7736	-4.32	179046	TN
Texas	8	47468	40.71	-	66546	57.07	8	2580	2.21	-	-19078	-16.36	116594	TX
Vermont	5	41480	78.29	5	10926	20.62	-	553	1.04	-	30554	57.67	52980	VT
Virginia	11	93463	50.47	11	91647	49.49	-	85	0.05	-	1816	0.98	185195	VA
West_Virginia	5	32320	51.74	5	29532	47.28	-	615	0.98	-	2788	4.46	62467	WV
Wisconsin	10	104994	54.60	10	86477	44.97	-	834	0.43	-	18517	9.16	192305	WI
TOTALS:	366	3597439	55.58	286	2833710	43.78	66	23054	0.36	-	763729	11.80	6471983	US
