Alabama	12	74556	31.37	-	159965	67.31	12	2369	1.00	-	-	-	-	748	0.31	-	-	-	-	-	-	-	-85409	-35.94	237638	AL
Arizona	3	37016	55.61	3	29546	44.39	-	222	0.33	-	15	0.02	-	4	0.01	-	-	-	-	-	-	-	7470	11.22	66562	AZ
Arkansas	9	71117	38.73	-	107409	58.49	9	5111	2.78	-	-	-	-	-	-	-	-	-	-	-	-	-	-36292	-19.76	183637	AR
California	13	624992	66.20	13	229191	24.28	-	64076	6.79	-	-	-	-	25204	2.67	-	-	-	-	-	-	-	395801	41.93	944050	CA
Colorado	6	173248	59.32	6	104936	35.93	-	8046	2.75	-	3016	1.03	-	2807	0.96	-	-	-	-	-	-	-	68312	23.39	292053	CO
Connecticut	7	229238	62.72	7	120721	33.03	-	10350	2.83	-	1947	0.53	-	1771	0.48	-	-	-	-	1491	0.41	-	108517	29.69	365518	CT
Delaware	3	52858	55.71	3	39911	42.07	-	988	1.04	-	93	0.10	-	986	1.04	-	-	-	-	-	-	-	12947	13.65	94875	DE
Florida	6	44853	30.79	-	90515	62.13	6	5189	3.56	-	-	-	-	5124	3.52	-	-	-	-	-	-	-	-45662	-31.34	145681	FL
Georgia	14	41089	27.72	-	107162	72.28	14	465	0.31	-	-	-	-	-	-	-	-	-	-	-	-	-	-66073	-44.57	148251	GA
Idaho	4	88975	65.60	4	46579	34.34	-	38	0.03	-	-	-	-	32	0.02	-	-	-	-	-	-	-	42396	31.26	135624	ID
Illinois	29	1420480	67.81	29	534395	25.51	-	74747	3.57	-	49630	2.37	-	11216	0.54	-	-	-	-	3471	0.17	-	886085	42.30	2094714	IL
Indiana	15	696370	55.14	15	511364	40.49	-	24703	1.96	-	16499	1.31	-	13462	1.07	-	-	-	-	-	-	-	185006	14.65	1262964	IN
Iowa	13	634674	70.91	13	227921	25.46	-	16981	1.90	-	10321	1.15	-	4197	0.47	-	-	-	-	982	0.11	-	406753	45.44	895082	IA
Kansas	10	369268	64.75	10	185464	32.52	-	15511	2.72	-	-	-	-	-	-	-	-	-	-	-	-	-	183804	32.23	570318	KS
Kentucky	13	452480	49.25	-	456497	49.69	13	6409	0.70	-	-	-	-	3322	0.36	-	-	-	-	-	-	-	-4017	-0.44	918708	KY
Louisiana	10	38538	30.49	-	87519	69.24	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-48981	-38.75	126396	LA
Maine	6	136355	68.92	6	58961	29.80	-	2214	1.12	-	-	-	-	-	-	-	-	-	-	-	-	-	77394	39.12	197840	ME
Maryland	8	236117	55.11	8	180626	42.16	-	8876	2.07	-	1645	0.38	-	-	-	-	-	-	-	1178	0.27	-	55491	12.95	428443	MD
Massachusetts	18	681153	68.55	18	276691	27.84	-	32267	3.25	-	-	-	-	-	-	-	-	-	-	3583	0.36	-	404462	40.70	993718	MA
Michigan	15	762865	72.76	15	233450	22.27	-	28947	2.76	-	10480	1.00	-	9646	0.92	-	-	-	-	2539	0.24	-	529415	50.50	1048411	MI
Minnesota	12	519421	70.59	12	142994	19.43	-	56106	7.62	-	-	-	-	11489	1.56	-	-	-	-	5828	0.79	-	376427	51.16	735838	MN
Mississippi	10	11576	14.03	-	69277	83.98	10	1639	1.99	-	-	-	-	-	-	-	-	-	-	-	-	-	-57701	-69.95	82492	MS
Missouri	18	727162	54.56	18	574799	43.13	-	20242	1.52	-	3291	0.25	-	5142	0.39	-	-	-	-	2164	0.16	-	152363	11.43	1332800	MO
Montana	4	109430	61.13	4	57372	32.05	-	-	-	-	12204	6.82	-	-	-	-	-	-	-	-	-	-	52058	29.08	179006	MT
Nebraska	8	247498	64.66	8	119608	31.25	-	9600	2.51	-	-	-	-	5947	1.55	-	-	-	-	-	-	-	127890	33.41	382743	NE
Nevada	3	15479	56.92	3	9851	36.22	-	1864	6.85	-	-	-	-	-	-	-	-	-	-	-	-	-	5628	20.70	27194	NV
New_Hampshire	4	95196	59.84	4	62662	39.39	-	1234	0.78	-	-	-	-	-	-	-	-	-	-	-	-	-	32534	20.45	159092	NH
New_Jersey	14	611541	67.65	14	256887	28.42	-	27141	3.00	-	2200	0.24	-	4734	0.52	-	-	-	-	923	0.10	-	354654	39.23	903943	NJ
New_Mexico	3	57634	54.68	3	46668	44.27	-	-	-	-	1104	1.05	-	-	-	-	-	-	-	-	-	-	10966	10.40	105406	NM
New_York	45	1871167	64.56	45	781238	26.95	-	203201	7.01	-	18413	0.64	-	19653	0.68	-	-	-	-	4841	0.17	-	1089929	37.60	2898513	NY
North_Carolina	12	232848	43.22	-	305447	56.70	12	446	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-72599	-13.48	538741	NC
North_Dakota	5	160072	77.79	5	37422	18.19	-	8282	4.02	-	-	-	-	-	-	-	-	-	-	-	-	-	122650	59.60	205776	ND
Ohio	24	1182022	58.47	24	780037	38.58	-	57147	2.83	-	-	-	-	-	-	-	-	-	-	-	-	-	401985	19.88	2021653	OH
Oklahoma	10	243831	50.11	10	217053	44.61	-	25726	5.29	-	-	-	-	-	-	-	-	-	-	-	-	-	26778	5.50	486610	OK
Oregon	5	143592	60.20	5	80019	33.55	-	9801	4.11	-	-	-	-	3595	1.51	-	-	-	-	1515	0.64	-	63573	26.65	238522	OR
Pennsylvania	38	1218216	65.76	38	503843	27.20	-	70571	3.81	-	15704	0.85	-	42696	2.30	-	-	-	-	753	0.04	-	714373	38.56	1852616	PA
Rhode_Island	5	107463	63.97	5	55062	32.78	-	4351	2.59	-	-	-	-	510	0.30	-	-	-	-	495	0.29	-	52401	31.19	167981	RI
South_Carolina	9	2610	3.91	-	64170	96.05	9	28	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-61560	-92.14	66808	SC
South_Dakota	5	110692	60.74	5	35938	19.72	-	-	-	-	34707	19.04	-	900	0.49	-	-	-	-	-	-	-	74754	41.02	182237	SD
Tennessee	12	219829	51.29	12	206558	48.19	-	2239	0.52	-	-	-	-	-	-	-	-	-	-	-	-	-	13271	3.10	428626	TN
Texas	20	114538	23.54	-	288767	59.34	20	8121	1.67	-	-	-	-	-	-	-	47968	9.86	-	-	-	-	-174229	-35.80	486641	TX
Utah	4	81555	55.93	4	56639	38.84	-	3159	2.17	-	4475	3.07	-	-	-	-	-	-	-	-	-	-	24916	17.09	145828	UT
Vermont	4	68212	75.82	4	20919	23.25	-	-	-	-	-	-	-	774	0.86	-	-	-	-	-	-	-	47293	52.57	89961	VT
Virginia	12	87456	37.85	-	141670	61.32	12	807	0.35	-	243	0.11	-	857	0.37	-	-	-	-	-	-	-	-54214	-23.47	231033	VA
Washington	7	223137	55.96	7	84298	21.14	-	8913	2.24	-	77246	19.37	-	3800	0.95	-	-	-	-	1321	0.33	-	138839	34.82	398715	WA
