Alabama	12	45005	27.01	-	112966	67.81	12	8084	4.85	-	538	0.32	-	-	-	-	-	-	-	-67961	-40.79	166593	AL
Arizona	3	30516	41.26	3	26235	35.47	-	17210	23.27	-	-	-	-	-	-	-	-	-	-	4281	5.79	73961	AZ
Arkansas	9	40564	29.28	-	84795	61.21	9	13173	9.51	-	-	-	-	-	-	-	-	-	-	-44231	-31.93	138532	AR
California	13	733250	57.20	13	105514	8.23	-	424649	33.13	-	18365	1.43	-	-	-	-	-	-	-	308601	24.07	1281900	CA
Colorado	6	195171	57.02	6	75238	21.98	-	69945	20.44	-	966	0.28	-	562	0.16	-	378	0.11	-	119933	35.04	342260	CO
Connecticut	7	246322	61.54	7	110184	27.53	-	42416	10.60	-	-	-	-	-	-	-	1373	0.34	-	136138	34.01	400295	CT
Delaware	3	52441	57.70	3	33445	36.80	-	4979	5.48	-	-	-	-	-	-	-	-	-	-	18996	20.90	90885	DE
Florida	6	30633	28.06	-	62083	56.88	6	8625	7.90	-	5498	5.04	-	-	-	-	-	-	-	-31450	-28.81	109154	FL
Georgia	14	30300	18.19	-	123200	73.96	14	12691	7.62	-	231	0.14	-	-	-	-	-	-	-	-92900	-55.77	166577	GA
Idaho	4	69879	47.12	4	24256	16.36	-	54160	36.52	-	-	-	-	-	-	-	-	-	-	15719	10.60	148295	ID
Illinois	29	1453321	58.84	29	576975	23.36	-	432027	17.49	-	2367	0.10	-	2622	0.11	-	2334	0.09	-	876346	35.48	2470067	IL
Indiana	15	703042	55.25	15	492245	38.69	-	71700	5.64	-	4416	0.35	-	987	0.08	-	-	-	-	210797	16.57	1272390	IN
Iowa	13	537635	55.03	13	162600	16.64	-	272243	27.87	-	-	-	-	4037	0.41	-	-	-	-	265392	27.17	976960	IA
Kansas	10	407671	61.54	10	156319	23.60	-	98461	14.86	-	-	-	-	-	-	-	-	-	-	251352	37.94	662454	KS
Kentucky	13	398966	48.93	13	374855	45.98	-	38465	4.72	-	-	-	-	-	-	-	1499	0.18	-	24111	2.96	815332	KY
Louisiana	10	24670	20.23	-	93218	76.44	10	-	-	-	-	-	-	-	-	-	-	-	-	-68548	-56.21	121951	LA
Maine	6	138440	72.03	6	41964	21.83	-	11382	5.92	-	-	-	-	-	-	-	406	0.21	-	96476	50.20	192192	ME
Maryland	8	162414	45.29	8	148072	41.29	-	47157	13.15	-	-	-	-	-	-	-	987	0.28	-	14342	4.00	358630	MD
Massachusetts	18	703476	62.26	18	280831	24.86	-	141225	12.50	-	-	-	-	2635	0.23	-	1668	0.15	-	422645	37.41	1129837	MA
Michigan	15	874631	75.37	15	152359	13.13	-	122014	10.51	-	6085	0.52	-	5330	0.46	-	-	-	-	722272	62.24	1160419	MI
