Alabama	11	149231	35.02	–	275075	64.55	11	–	–	–	1814	0.43	–	–	–	–	-125844	-29.53	426120	AL
Arizona	4	152042	58.35	4	108528	41.65	–	–	–	–	–	–	–	–	–	–	43514	16.70	260570	AZ
Arkansas	8	177155	43.76	–	226300	55.90	8	–	–	–	886	0.22	–	1	0.00	–	-49145	-12.14	404800	AR
California	32	3035587	56.83	32	2257646	42.27	–	24692	0.46	–	16117	0.30	–	273	0.01	–	777941	14.56	5341603	CA
Colorado	6	379782	60.27	6	245504	38.96	–	1919	0.30	–	–	–	–	352	0.06	–	134278	21.31	630103	CO
Connecticut	8	611012	55.70	8	481649	43.91	–	1466	0.13	–	–	–	–	535	0.05	–	129363	11.79	1096911	CT
Delaware	3	90059	51.75	3	83315	47.88	–	155	0.09	–	234	0.13	–	242	0.14	–	6744	3.88	174025	DE
Florida	10	544036	54.99	10	444950	44.97	–	–	–	–	–	–	–	–	–	–	99086	10.02	989337	FL
Georgia	12	198979	30.34	–	456823	69.66	12	–	–	–	–	–	–	–	–	–	-257844	-39.32	655803	GA
Idaho	4	180707	65.42	4	95081	34.42	–	443	0.16	–	–	–	–	–	–	–	85626	31.00	276231	ID
Illinois	27	2457327	54.84	27	2013920	44.94	–	–	–	–	–	–	–	9363	0.21	–	443407	9.90	4481058	IL
Indiana	13	1136259	58.11	13	801530	40.99	–	1222	0.06	–	15335	0.78	–	979	0.05	–	334729	17.12	1955325	IN
Iowa	10	808906	63.75	10	451513	35.59	–	5085	0.40	–	2882	0.23	–	139	0.01	–	357393	28.17	1268773	IA
Kansas	8	616302	68.77	8	273296	30.50	–	–	–	–	6038	0.67	–	–	–	–	343006	38.27	896166	KS
Kentucky	10	495029	49.84	–	495729	49.91	10	336	0.03	–	1161	0.12	–	893	0.09	–	-700	-0.07	993148	KY
Louisiana	10	306925	47.08	–	345027	52.92	10	–	–	–	–	–	–	–	–	–	-38102	-5.84	651952	LA
Maine	5	232353	66.05	5	118806	33.77	–	332	0.09	–	–	–	–	156	0.04	–	113547	32.28	351786	ME
Maryland	9	499424	55.36	9	395337	43.83	–	7313	0.81	–	–	–	–	–	–	–	104087	11.54	902074	MD
Massachusetts	16	1292325	54.22	16	1083525	45.46	–	4636	0.19	–	886	0.04	–	1957	0.08	–	208800	8.76	2383398	MA
Michigan	20	1551529	55.44	20	1230657	43.97	–	3922	0.14	–	10331	0.37	–	1495	0.05	–	320872	11.47	2798592	MI
Minnesota	11	763211	55.33	11	608458	44.11	–	2666	0.19	–	2147	0.16	–	2383	0.17	–	154753	11.22	1379483	MN
Mississippi	8	112966	39.56	–	172566	60.44	8	–	–	–	–	–	–	–	–	–	-59600	-20.87	285532	MS
Missouri	13	959429	50.71	13	929830	49.14	–	987	0.05	–	885	0.05	–	169	0.01	–	29599	1.56	1892062	MO
Montana	4	157394	59.39	4	106213	40.07	–	723	0.27	–	548	0.21	–	–	–	–	51181	19.31	265037	MT
Nebraska	6	421603	69.15	6	188057	30.85	–	–	–	–	–	–	–	–	–	–	233546	38.31	609660	NE
Nevada	3	50502	61.45	3	31688	38.55	–	–	–	–	–	–	–	–	–	–	18814	22.89	82190	NV
New_Hampshire	4	166287	60.92	4	106663	39.08	–	–	–	–	–	–	–	–	–	–	59624	21.84	272950	NH
New_Jersey	16	1374613	56.81	16	1015902	41.99	–	5589	0.23	–	989	0.04	–	5815	0.24	–	358711	14.83	2419554	NJ
New_Mexico	4	132170	55.39	4	105661	44.28	–	225	0.09	–	297	0.12	–	35	0.01	–	26509	11.11	238608	NM
New_York	45	3952815	55.45	45	3104601	43.55	–	64211	0.90	–	–	–	–	1560	0.02	–	848214	11.90	7128241	NY
North_Carolina	14	558107	46.09	–	652803	53.91	14	–	–	–	–	–	–	–	–	–	-94696	-7.82	1210910	NC
North_Dakota	4	191712	70.97	4	76694	28.39	–	344	0.13	–	302	0.11	–	–	–	–	115018	42.58	270127	ND
Ohio	25	2100391	56.76	25	1600367	43.24	–	–	–	–	–	–	–	–	–	–	500024	13.51	3700758	OH
Oklahoma	8	518045	54.59	8	430939	45.41	–	–	–	–	–	–	–	–	–	–	87106	9.18	948984	OK
Oregon	6	420815	60.54	6	270579	38.93	–	3665	0.53	–	–	–	–	–	–	–	150236	21.61	695059	OR
Pennsylvania	32	2415789	52.74	32	2146269	46.85	–	4222	0.09	–	8951	0.20	–	1377	0.03	–	269520	5.88	4580969	PA
Rhode_Island	4	210935	50.89	4	203293	49.05	–	187	0.05	–	–	–	–	83	0.02	–	7642	1.84	414498	RI
South_Carolina	8	168082	49.28	–	173004	50.72	8	–	–	–	–	–	–	–	–	–	-4922	-1.44	341086	SC
South_Dakota	4	203857	69.27	4	90426	30.73	–	–	–	–	–	–	–	–	–	–	113431	38.54	294283	SD
Tennessee	11	446147	49.99	11	443710	49.71	–	885	0.10	–	1432	0.16	–	–	–	–	2437	0.27	892553	TN
Texas	24	1102878	53.13	24	969228	46.69	–	294	0.01	–	1983	0.10	–	–	–	–	133650	6.44	2075946	TX
Utah	4	194190	58.93	4	135364	41.07	–	–	–	–	–	–	–	–	–	–	58826	17.85	329554	UT
Vermont	3	109717	71.45	3	43355	28.23	–	282	0.18	–	–	–	–	–	–	–	66362	43.22	153557	VT
Virginia	12	349037	56.32	12	268677	43.36	–	311	0.05	–	–	–	–	1160	0.19	–	80360	12.97	619689	VA
Washington	9	599107	54.33	9	492845	44.69	–	2460	0.22	–	–	–	–	633	0.06	–	106262	9.64	1102708	WA
West_Virginia	8	419970	48.08	–	453578	51.92	8	–	–	–	–	–	–	–	–	–	-33608	-3.85	873548	WV
Wisconsin	12	979744	60.95	12	622175	38.71	–	2174	0.14	–	–	–	–	770	0.05	–	357569	22.25	1607370	WI
Wyoming	3	81047	62.71	3	47934	37.09	–	–	–	–	194	0.15	–	36	0.03	–	33113	25.62	129251	WY
TOTALS:	531	34075529	55.18	442	27375090	44.33	89	140746	0.23	–	73412	0.12	–	30406	0.05	–	6700439	10.85	61751942	US
