Alabama	11	195694	39.39	-	280844	56.52	10	20323	4.09	-	-	-	-	-85150	-17.13	496871	AL
Arizona	4	176990	60.99	4	112880	38.90	-	303	0.10	-	-	-	-	64110	22.09	290173	AZ
Arkansas	8	186287	45.82	-	213277	52.46	8	7008	1.72	-	-	-	-	-26990	-6.64	406572	AR
California	32	3027668	55.39	32	2420135	44.27	-	6087	0.11	-	300	0.01	-	607533	11.11	5466355	CA
Colorado	6	394479	59.49	6	263997	39.81	-	759	0.11	-	3308	0.50	-	130482	19.68	663074	CO
Connecticut	8	711837	63.72	8	405079	36.26	-	-	-	-	-	-	-	306758	27.46	1117121	CT
Delaware	3	98057	55.09	3	79421	44.62	-	-	-	-	110	0.06	-	18636	10.47	177988	DE
Florida	10	643849	57.27	10	480371	42.73	-	-	-	-	-	-	-	163478	14.54	1124220	FL
Georgia	12	216652	32.65	-	441094	66.48	12	-	-	-	-	-	-	-224442	-33.83	663480	GA
Idaho	4	166979	61.17	4	105868	38.78	-	-	-	-	-	-	-	61111	22.39	272989	ID
Illinois	27	2623327	59.52	27	1775682	40.29	-	-	-	-	8342	0.19	-	847645	19.23	4407407	IL
Indiana	13	1182811	59.90	13	783908	39.70	-	-	-	-	1334	0.07	-	398903	20.20	1974607	IN
Iowa	10	729187	59.06	10	501858	40.65	-	3202	0.26	-	125	0.01	-	227329	18.41	1234564	IA
Kansas	8	566878	65.44	8	296317	34.21	-	-	-	-	-	-	-	270561	31.23	866243	KS
Kentucky	10	572192	54.30	10	476453	45.21	-	-	-	-	358	0.03	-	95739	9.09	1053805	KY
Louisiana	10	329047	53.28	10	243977	39.51	-	44520	7.21	-	-	-	-	85070	13.78	617544	LA
Maine	5	249238	70.87	5	102468	29.13	-	-	-	-	-	-	-	146770	41.73	351706	ME
Maryland	9	559738	60.04	9	372613	39.96	-	-	-	-	-	-	-	187125	20.07	932351	MD
Massachusetts	16	1393197	59.32	16	948190	40.37	-	-	-	-	5573	0.24	-	445007	18.95	2348506	MA
Michigan	20	1713647	55.63	20	1359898	44.15	-	-	-	-	-	-	-	353749	11.48	3080468	MI
Minnesota	11	719302	53.68	11	617525	46.08	-	-	-	-	2080	0.16	-	101777	7.60	1340005	MN
Mississippi	8	60685	24.46	-	144498	58.23	8	42966	17.31	-	-	-	-	-83813	-33.78	248149	MS
Missouri	13	914289	49.89	-	918273	50.11	13	-	-	-	-	-	-	-3984	-0.22	1832562	MO
Montana	4	154933	57.13	4	116238	42.87	-	-	-	-	-	-	-	38695	14.27	271171	MT
Nebraska	6	378108	65.51	6	199029	34.49	-	-	-	-	-	-	-	179079	31.03	577137	NE
Nevada	3	56049	57.97	3	40640	42.03	-	-	-	-	-	-	-	15409	15.94	96689	NV
New_Hampshire	4	176519	66.11	4	90364	33.84	-	111	0.04	-	-	-	-	86155	32.27	266994	NH
New_Jersey	16	1606942	64.68	16	850337	34.23	-	5317	0.21	-	6736	0.27	-	756605	30.46	2484312	NJ
New_Mexico	4	146788	57.81	4	106098	41.78	-	364	0.14	-	69	0.03	-	40690	16.02	253926	NM
New_York	45	4340340	61.19	45	2750769	38.78	-	-	-	-	-	-	-	1589571	22.41	7092860	NY
North_Carolina	14	575062	49.34	-	590530	50.66	14	-	-	-	-	-	-	-15468	-1.33	1165592	NC
North_Dakota	4	156766	61.72	4	96742	38.09	-	483	0.19	-	-	-	-	60024	23.63	253991	ND
Ohio	25	2262610	61.11	25	1439655	38.89	-	-	-	-	-	-	-	822955	22.23	3702265	OH
Oklahoma	8	473769	55.13	8	385581	44.87	-	-	-	-	-	-	-	88188	10.26	859350	OK
Oregon	6	406393	55.25	6	329204	44.75	-	-	-	-	-	-	-	77189	10.49	735597	OR
Pennsylvania	32	2585252	56.49	32	1981769	43.30	-	-	-	-	7447	0.16	-	603483	13.19	4576503	PA
Rhode_Island	4	225819	58.26	4	161790	41.74	-	-	-	-	-	-	-	64029	16.52	387609	RI
South_Carolina	8	75700	25.18	-	136372	45.37	8	88511	29.45	-	-	-	-	-47863	-15.92	300583	SC
South_Dakota	4	171569	58.39	4	122288	41.61	-	-	-	-	-	-	-	49281	16.77	293857	SD
Tennessee	11	462288	49.21	11	456507	48.60	-	19820	2.11	-	-	-	-	5781	0.62	939404	TN
Texas	24	1080619	55.26	24	859958	43.98	-	14591	0.75	-	-	-	-	220661	11.28	1955545	TX
Utah	4	215631	64.56	4	118364	35.44	-	-	-	-	-	-	-	97267	29.12	333995	UT
Vermont	3	110390	72.16	3	42549	27.81	-	-	-	-	-	-	-	67841	44.35	152978	VT
Virginia	12	386459	55.37	12	267760	38.36	-	42964	6.16	-	351	0.05	-	118699	17.01	697978	VA
Washington	9	620430	53.91	9	523002	45.44	-	-	-	-	7457	0.65	-	97428	8.47	1150889	WA
West_Virginia	8	449297	54.08	8	381534	45.92	-	-	-	-	-	-	-	67763	8.16	830831	WV
Wisconsin	12	954844	61.58	12	586768	37.84	-	6918	0.45	-	710	0.05	-	368076	23.74	1550558	WI
Wyoming	3	74573	60.08	3	49554	39.92	-	-	-	-	-	-	-	25019	20.16	124127	WY
TOTALS:	531	35579180	57.37	457	26028028	41.97	73	301417	0.49	-	44300	0.07	-	9551152	15.40	62021328	US
