County DEM_NUM DEM_PCT GOP_NUM GOP_PCT Margin_NUM Margin_PCT Total_NUM 
Appling	3585	78.86	961	21.14	2624	57.72	4546
Atkinson	1560	81.80	347	18.20	1213	63.60	1907
Bacon	2395	80.13	594	19.87	1801	60.26	2989
Baker	1162	79.21	305	20.79	857	58.42	1467
Baldwin	4674	56.41	3612	43.59	1062	12.82	8286
Banks	2387	87.85	330	12.15	2057	73.70	2717
Barrow	4756	77.71	1364	22.29	3392	55.42	6120
Bartow	8166	81.32	1876	18.68	6290	62.64	10042
Ben_Hill	2449	75.05	814	24.95	1635	50.10	3263
Berrien	3394	85.95	555	14.05	2839	71.90	3949
Bibb	31902	71.34	12819	28.66	19083	42.68	44721
Bleckley	2605	72.83	972	27.17	1633	45.66	3577
Brantley	2294	86.50	358	13.50	1936	73.00	2652
Brooks	2653	70.65	1102	29.35	1551	41.30	3755
Bryan	2045	72.88	761	27.12	1284	45.76	2806
Bulloch	5199	62.23	3156	37.77	2043	24.46	8355
Burke	3014	65.82	1565	34.18	1449	31.64	4579
Butts	2898	77.97	819	22.03	2079	55.94	3717
Calhoun	1394	76.17	436	23.83	958	52.34	1830
Camden	2962	74.85	995	25.15	1967	49.70	3957
Candler	1388	68.24	646	31.76	742	36.48	2034
Carroll	10050	73.41	3640	26.59	6410	46.82	13690
Catoosa	6020	61.31	3799	38.69	2221	22.62	9819
Charlton	1750	79.47	452	20.53	1298	58.94	2202
Chatham	32075	57.04	24160	42.96	7915	14.08	56235
Chattahoochee	506	73.98	178	26.02	328	47.96	684
Chattooga	4686	81.17	1087	18.83	3599	62.34	5773
Cherokee	6539	71.48	2609	28.52	3930	42.96	9148
Clarke	11342	63.18	6610	36.82	4732	26.36	17952
Clay	947	76.25	295	23.75	652	52.50	1242
Clayton	21432	62.42	12905	37.58	8527	24.84	34337
Clinch	1414	78.69	383	21.31	1031	57.38	1797
Cobb	45002	56.73	34324	43.27	10678	12.46	79326
Coffee	4601	76.45	1417	23.55	3184	52.90	6018
Colquitt	6928	76.06	2181	23.94	4747	52.12	9109
Columbia	4674	57.73	3423	42.27	1251	15.46	8097
Cook	2882	81.14	670	18.86	2212	62.28	3552
Coweta	6195	67.05	3044	32.95	3151	34.10	9239
Crawford	1842	82.97	378	17.03	1464	65.94	2220
Crisp	3747	73.83	1328	26.17	2419	47.66	5075
Dade	2263	61.98	1388	38.02	875	23.96	3651
Dawson	1384	78.91	370	21.09	1014	57.82	1754
Decatur	3736	59.91	2500	40.09	1236	19.82	6236
DeKalb	86872	56.40	67160	43.60	19712	12.80	154032
Dodge	5267	86.13	848	13.87	4419	72.26	6115
Dooly	2441	78.84	655	21.16	1786	57.68	3096
Dougherty	11461	55.11	9337	44.89	2124	10.22	20798
Douglas	7805	66.35	3959	33.65	3846	32.70	11764
Early	2405	67.52	1157	32.48	1248	35.04	3562
Echols	585	84.05	111	15.95	474	68.10	696
Effingham	2906	63.73	1654	36.27	1252	27.46	4560
Elbert	4730	83.11	961	16.89	3769	66.22	5691
Emanuel	4603	75.51	1493	24.49	3110	51.02	6096
Evans	1631	68.62	746	31.38	885	37.24	2377
Fannin	3402	56.25	2646	43.75	756	12.50	6048
Fayette	3718	56.72	2837	43.28	881	13.44	6555
Floyd	15151	66.27	7713	33.73	7438	32.54	22864
Forsyth	4693	76.48	1443	23.52	3250	52.96	6136
Franklin	4192	85.92	687	14.08	3505	71.84	4879
Fulton	129849	67.84	61552	32.16	68297	35.68	191401
Gilmer	2499	66.46	1261	33.54	1238	32.92	3760
Glascock	704	65.49	371	34.51	333	30.98	1075
Glynn	9459	63.65	5403	36.35	4056	27.30	14862
Gordon	6052	78.09	1698	21.91	4354	56.18	7750
Grady	3758	75.66	1209	24.34	2549	51.32	4967
Greene	2534	79.54	652	20.46	1882	59.08	3186
Gwinnett	20838	59.97	13912	40.03	6926	19.94	34750
Habersham	5120	79.56	1315	20.44	3805	59.12	6435
Hall	12804	71.54	5093	28.46	7711	43.08	17897
Hancock	2117	76.48	651	23.52	1466	52.96	2768
Haralson	4550	77.76	1301	22.24	3249	55.52	5851
Harris	2861	64.95	1544	35.05	1317	29.90	4405
Hart	4605	84.26	860	15.74	3745	68.52	5465
Heard	1593	78.63	433	21.37	1160	57.26	2026
Henry	5717	68.56	2622	31.44	3095	37.12	8339
Houston	13164	70.90	5404	29.10	7760	41.80	18568
Irwin	2012	78.20	561	21.80	1461	56.40	2573
Jackson	5931	82.72	1239	17.28	4692	65.44	7170
Jasper	1852	72.88	689	27.12	1163	45.76	2541
Jeff_Davis	2405	79.45	622	20.55	1783	58.90	3027
Jefferson	3115	70.41	1309	29.59	1806	40.82	4424
Jenkins	1820	76.37	563	23.63	1257	52.74	2383
Johnson	2210	76.00	698	24.00	1512	52.00	2908
Jones	3471	72.49	1317	27.51	2154	44.98	4788
Lamar	2785	76.68	847	23.32	1938	53.36	3632
Lanier	1269	85.98	207	14.02	1062	71.96	1476
Laurens	8617	72.42	3281	27.58	5336	44.84	11898
Lee	1727	60.87	1110	39.13	617	21.74	2837
Liberty	3328	77.27	979	22.73	2349	54.54	4307
Lincoln	1583	73.32	576	26.68	1007	46.64	2159
Long	1243	84.85	222	15.15	1021	69.70	1465
Lowndes	8830	66.18	4512	33.82	4318	32.36	13342
Lumpkin	2301	80.79	547	19.21	1754	61.58	2848
McDuffie	3024	64.09	1694	35.91	1330	28.18	4718
McIntosh	1978	78.71	535	21.29	1443	57.42	2513
Macon	3013	82.53	638	17.47	2625	65.06	3651
Madison	3367	75.12	1115	24.88	2252	50.24	4482
Marion	1314	81.87	291	18.13	1203	63.74	1605
Meriwether	4830	76.91	1450	23.09	3380	53.82	6280
Miller	1536	76.34	476	23.66	1060	52.68	2012
Mitchell	4495	74.09	1572	25.91	2923	48.18	6067
Monroe	2962	73.32	1078	26.68	1884	46.64	4040
Montgomery	1610	72.00	626	28.00	984	42.00	2236
Morgan	2274	71.55	904	28.45	1370	42.90	3178
Murray	3511	79.80	889	20.20	2622	59.60	4400
Muscogee	24092	64.09	13496	35.91	10596	28.18	37588
Newton	6294	74.65	2137	25.35	4157	49.30	8431
Oconee	2228	65.30	1184	34.70	1044	30.60	3412
Oglethorpe	1854	69.57	811	30.43	1040	39.14	2665
Paulding	5420	79.10	1432	20.90	3988	58.20	6852
Peach	3989	77.43	1163	22.57	2826	54.86	5152
Pickens	2571	72.55	973	27.45	1598	45.10	3544
Pierce	2628	82.85	544	17.15	2084	65.70	3172
Pike	1903	71.03	776	28.97	1127	42.06	2679
Polk	6115	75.88	1944	24.12	4171	51.76	8059
Pulaski	2318	82.70	485	17.30	1833	65.40	2803
Putnam	2040	70.96	835	29.04	1205	41.92	2875
Quitman	677	68.38	313	31.62	364	36.76	990
Rabun	2398	80.23	591	19.77	1807	60.46	2989
Randolph	2186	74.53	747	25.47	1439	49.06	2933
Richmond	24042	57.33	17893	42.67	6149	14.66	41935
Rockdale	4640	60.94	2974	39.06	1666	21.88	7614
Schley	783	74.50	268	25.50	515	49.00	1051
Screven	2168	64.83	1176	35.17	992	29.66	3344
Seminole	2074	75.28	681	24.72	1393	50.56	2755
Spalding	7593	67.00	3739	33.00	3854	34.00	11332
Stephens	5560	80.58	1340	19.42	4220	61.16	6900
Stewart	1632	79.03	433	20.97	1199	58.06	2065
Sumter	5328	72.19	2053	27.81	3275	44.38	7381
Talbot	1634	78.07	459	21.93	1175	56.14	2093
Taliaferro	748	76.02	236	23.98	512	52.04	984
Tattnall	3556	72.84	1326	27.16	2230	45.68	4882
Taylor	1962	79.56	504	20.44	1458	59.12	2466
Telfair	3534	84.73	637	15.27	2097	69.46	4171
Terrell	2348	66.78	1168	33.22	1180	33.56	3516
Thomas	6147	65.32	3263	34.68	2884	30.64	9410
Tift	5185	70.57	2162	29.43	3023	41.14	7347
Toombs	4047	65.56	2126	34.44	1921	31.12	6173
Towns	1786	60.32	1175	39.68	611	20.64	2961
Treutlen	1567	77.12	465	22.88	1102	54.24	2032
Troup	7699	63.52	4422	36.48	3277	27.04	12121
Turner	2265	84.48	416	15.52	1849	68.96	2681
Twiggs	2515	83.06	513	16.94	2002	66.12	3028
Union	2795	70.78	1154	29.22	1641	51.56	3949
Upson	4219	59.29	2897	40.71	1322	18.58	7116
Walker	8007	62.49	4807	37.51	3200	24.98	12814
Walton	5402	76.20	1687	23.80	3715	52.40	7089
Ware	7719	74.36	2661	25.64	5058	48.72	10380
Warren	1335	64.96	720	35.04	615	29.92	2055
Washington	3865	69.99	1657	30.01	2208	39.98	5522
Wayne	4489	74.97	1499	25.03	2990	49.94	5988
