County DEM_NUM DEM_PCT GOP_NUM GOP_PCT IND_NUM IND_PCT OTH_NUM OTH_PCT Margin_NUM Margin_PCT Total_NUM 
Appling	2985	59.62	1961	39.17	41	0.82	20	0.40	1024	20.45	5007
Atkinson	1449	65.21	747	33.62	16	0.72	10	0.45	702	31.59	2222
Bacon	1622	52.22	1427	45.94	32	1.03	25	0.80	195	6.28	3106
Baker	1035	66.18	510	32.61	11	0.70	8	0.51	525	33.57	1564
Baldwin	4368	52.46	3639	43.71	230	2.76	89	1.07	729	8.76	8326
Banks	2091	72.91	746	26.01	18	0.63	13	0.45	1345	46.90	2868
Barrow	3876	61.44	2284	36.20	99	1.57	50	0.79	1592	25.23	6309
Bartow	7490	69.01	3135	28.89	135	1.24	93	0.86	4355	40.13	10853
Ben_Hill	2544	62.55	1459	35.87	41	1.01	23	0.57	1085	26.68	4067
Berrien	2869	65.15	1487	33.76	24	0.54	24	0.54	1382	31.38	4404
Bibb	31770	66.01	15175	31.53	848	1.76	337	0.70	16595	34.48	48130
Bleckley	2014	58.55	1261	36.66	47	1.37	118	3.43	753	21.89	3440
Brantley	2066	69.40	882	29.63	17	0.57	12	0.40	1184	39.77	2977
Brooks	2230	58.27	1546	40.40	39	1.02	12	0.31	684	17.87	3827
Bryan	1966	60.77	1212	37.47	51	1.58	6	0.19	754	23.31	3235
Bulloch	4921	55.16	3750	42.04	160	1.79	90	1.01	1171	13.13	8921
Burke	3047	61.05	1871	37.49	56	1.12	17	0.34	1176	23.56	4991
Butts	2574	66.94	1210	31.47	38	0.99	23	0.60	1364	35.47	3845
Calhoun	1414	67.75	652	31.24	16	0.77	5	0.24	762	36.51	2087
Camden	2924	65.81	1439	32.39	62	1.40	18	0.41	1485	33.42	4443
Candler	1358	56.09	1030	42.54	24	0.99	9	0.37	328	13.55	2421
Carroll	8202	56.66	5815	40.17	294	2.03	164	1.13	2387	16.49	14475
Catoosa	4921	44.50	5962	53.91	121	1.09	55	0.50	-1041	-9.41	11059
Charlton	1469	64.26	779	34.08	26	1.14	12	0.52	690	30.18	2286
Chatham	28413	50.04	26499	46.67	1244	2.19	625	1.10	1914	3.37	56781
Chattahoochee	476	63.30	256	34.04	16	2.13	4	0.53	220	29.26	752
Chattooga	4279	67.60	1946	30.74	61	0.96	44	0.70	2333	36.86	6330
Cherokee	6020	51.55	5250	44.96	230	1.97	178	1.52	770	6.59	11678
Clarke	10519	52.86	8094	40.68	1060	5.33	226	1.14	2425	12.19	19899
