County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,LIB_NUM,LIB_PCT,NEW_NUM,NEW_PCT,Margin_NUM,Margin_PCT,Total_NUM
Appling,3000,61.74,1837,37.81,13,0.27,9,0.19,1163,23.93,4859
Atkinson,1126,55.60,887,43.80,5,0.25,7,0.35,239,11.80,2025
Bacon,1407,64.13,780,35.55,5,0.23,2,0.09,627,28.58,2194
Baker,629,46.66,707,52.45,10,0.74,2,0.15,-78,-5.79,1348
Baldwin,5852,59.05,4008,40.44,26,0.26,25,0.25,1844,18.61,9911
Banks,1590,61.58,984,38.11,3,0.12,5,0.19,606,23.47,2582
Barrow,4738,65.64,2442,33.83,32,0.44,6,0.08,2296,31.81,7218
Bartow,8039,61.63,4884,37.44,113,0.87,8,0.06,3155,24.19,13044
Ben_Hill,2005,51.17,1867,47.65,32,0.82,14,0.36,138,3.52,3918
Berrien,2030,59.36,1381,40.38,7,0.20,2,0.06,649,18.98,3420
Bibb,22179,49.96,22084,49.74,78,0.18,55,0.12,95,0.21,44396
Bleckley,1950,62.14,1175,37.44,9,0.29,4,0.13,775,24.70,3138
Brantley,1539,51.18,1450,48.22,10,0.33,8,0.27,89,2.96,3007
Brooks,2136,58.54,1500,41.11,6,0.16,7,0.19,636,17.43,3649
Bryan,2802,66.16,1423,33.60,5,0.12,5,0.12,1379,32.56,4235
Bulloch,6354,64.88,3417,34.89,19,0.19,4,0.04,2937,29.99,9794
Burke,2988,50.89,2861,48.72,10,0.17,13,0.22,127,2.16,5872
Butts,2184,55.66,1730,44.09,4,0.10,6,0.15,454,11.57,3924
Calhoun,644,41.52,901,58.09,6,0.39,0,0.00,-257,-16.57,1551
Camden,2913,57.68,2090,41.39,35,0.69,12,0.24,823,16.30,5050
Candler,1261,58.82,877,40.90,4,0.19,2,0.09,384,17.91,2144
Carroll,10754,69.20,4706,30.28,49,0.32,32,0.21,6048,38.92,15541
Catoosa,9319,72.02,3588,27.73,21,0.16,12,0.09,5731,44.29,12940
Charlton,1327,57.60,943,40.93,18,0.78,16,0.69,384,16.67,2304
Chatham,35623,58.12,25063,40.89,336,0.55,267,0.44,10560,17.23,61289
Chattahoochee,454,55.57,362,44.31,1,0.12,0,0.00,92,11.26,817
Chattooga,3665,62.17,2206,37.42,22,0.37,2,0.03,1459,24.75,5895
Cherokee,14593,76.45,4378,22.94,101,0.53,16,0.08,10215,53.52,19088
Clarke,11150,49.66,11154,49.68,109,0.49,39,0.17,-4,-0.02,22452
Clay,398,40.04,595,59.86,1,0.10,0,0.00,-197,-19.82,994
Clayton,28225,65.43,14689,34.05,167,0.39,56,0.13,13536,31.38,43137
Clinch,863,58.91,594,40.55,4,0.27,4,0.27,269,18.36,1465
Cobb,106621,72.70,39297,26.79,607,0.41,133,0.09,67324,45.91,146658
Coffee,4019,58.91,2777,40.71,20,0.29,6,0.09,1242,18.21,6822
Colquitt,5653,65.04,2998,34.50,24,0.28,16,0.18,2655,30.55,8691
Columbia,16401,77.75,4617,21.89,56,0.27,20,0.09,11784,55.86,21094
Cook,1555,55.69,1226,43.91,4,0.14,7,0.25,329,11.78,2792
Coweta,9668,69.41,4212,30.24,33,0.24,16,0.11,5456,39.17,13929
Crawford,1235,47.55,1340,51.60,14,0.54,8,0.31,-105,-4.04,2597
Crisp,2916,62.94,1690,36.48,15,0.32,12,0.26,1226,26.46,4633
Dade,2539,69.16,1120,30.51,6,0.16,6,0.16,1419,38.65,3671
Dawson,1908,71.03,761,28.33,16,0.60,1,0.04,1147,42.70,2686
Decatur,3866,61.95,2348,37.62,9,0.14,18,0.29,1518,24.32,6241
DeKalb,90179,48.94,92521,50.21,945,0.51,605,0.33,-2342,-1.27,184250
Dodge,2677,54.95,2164,44.42,15,0.31,16,0.33,513,10.53,4872
Dooly,1386,45.88,1613,53.39,18,0.60,4,0.13,-227,-7.51,3021
Dougherty,15520,50.86,12579,41.22,1415,4.64,1003,3.29,2941,9.64,30517
