County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,PRO_PCT,PRO_NUM,SOC_PCT,SOC_NUM,PHB_PCT,PHB_NUM,Margin_PCT,Margin_NUM
Currituck,97.80,622,0.94,6,1.26,8,0.00,0,0.00,0,96.54,614
Northampton,93.66,1625,3.29,57,3.05,53,0.00,0,0.00,0,90.37,1568
Bertie,93.79,1571,2.57,43,3.64,61,0.00,0,0.00,0,90.15,1510
Halifax,92.85,2300,1.70,42,5.45,135,0.00,0,0.00,0,87.40,2165
Edgecombe,89.03,1851,4.91,102,3.70,77,2.36,49,0.00,0,84.13,1749
New_Hanover,89.11,2021,6.17,140,4.72,107,0.00,0,0.00,0,82.94,1881
Warren,86.20,987,9.78,112,4.02,46,0.00,0,0.00,0,76.42,875
Scotland,89.94,751,1.08,9,8.98,75,0.00,0,0.00,0,80.96,676
Hoke,85.87,626,8.64,63,5.49,40,0.00,0,0.00,0,77.23,563
Martin,82.63,1251,15.13,229,2.25,34,0.00,0,0.00,0,67.50,1022
Anson,85.95,1487,7.23,125,6.82,118,0.00,0,0.00,0,78.73,1362
Craven,87.12,1819,3.78,79,9.10,190,0.00,0,0.00,0,78.02,1629
Chowan,82.88,663,7.50,60,9.63,77,0.00,0,0.00,0,73.25,586
Caswell,77.99,705,17.04,154,4.98,45,0.00,0,0.00,0,60.95,551
Richmond,83.17,1319,5.17,82,10.97,174,0.19,3,0.50,8,72.19,1145
Mecklenburg,82.27,3967,5.89,284,11.05,533,0.79,38,0.00,0,71.22,3434
Hertford,81.72,742,6.72,61,11.56,105,0.00,0,0.00,0,70.15,637
Franklin,81.62,1856,3.12,71,15.22,346,0.04,1,0.00,0,66.40,1510
Perquimans,70.40,647,24.81,228,4.79,44,0.00,0,0.00,0,45.59,419
Jones,79.87,635,4.40,35,15.72,125,0.00,0,0.00,0,64.15,510
Pasquotank,78.83,972,6.24,77,14.92,184,0.00,0,0.00,0,63.91,788
Greene,76.41,894,10.60,124,12.99,152,0.00,0,0.00,0,63.42,742
Pitt,74.63,2303,11.24,347,14.03,433,0.10,3,0.00,0,60.60,1870
Vance,74.97,1204,10.46,168,14.57,234,0.00,0,0.00,0,60.40,970
Lenoir,76.98,1568,5.99,122,17.03,347,0.00,0,0.00,0,59.94,1221
Camden,74.81,303,9.88,40,15.31,62,0.00,0,0.00,0,59.51,241
Lee,62.78,862,32.85,451,4.37,60,0.00,0,0.00,0,29.93,411
Robeson,76.88,2706,4.38,154,18.75,660,0.00,0,0.00,0,58.13,2046
Granville,74.48,1561,9.16,192,16.36,343,0.00,0,0.00,0,58.11,1218
Union,75.87,1786,3.91,92,19.41,457,0.81,19,0.00,0,56.46,1329
Pender,77.11,967,1.52,19,21.37,268,0.00,0,0.00,0,55.74,699
