County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,PRO_PCT,PRO_NUM,Margin_PCT,Margin_NUM
Robeson,92.53,4064,7.15,314,0.32,14,85.38,3750
Currituck,91.16,670,7.07,52,1.77,13,84.08,618
Bertie,91.59,1785,8.16,159,0.26,5,83.43,1626
Northampton,91.17,1662,7.90,144,0.93,17,83.27,1518
Halifax,90.20,3232,7.48,268,2.32,83,82.72,2964
Edgecombe,89.04,2274,6.70,171,4.27,109,82.34,2103
Anson,90.47,2372,8.58,225,0.95,25,81.88,2147
Martin,89.88,1999,9.71,216,0.40,9,80.17,1783
Warren,88.43,1742,8.43,166,3.15,62,80.00,1576
Craven,88.86,2942,9.82,325,1.33,44,79.04,2617
Hoke,88.77,1146,10.92,141,0.31,4,77.85,1005
Chowan,87.39,714,12.00,98,0.61,5,75.40,616
Scotland,87.18,1469,12.17,205,0.65,11,75.01,1264
Franklin,86.34,1991,13.10,302,0.56,13,73.24,1689
Greene,85.55,1119,13.91,182,0.54,7,71.64,937
Pitt,84.91,3197,13.60,512,1.49,56,71.31,2685
Hertford,84.80,932,14.92,164,0.27,3,69.88,768
Granville,82.37,2220,17.11,461,0.52,14,65.27,1759
Pender,81.31,1175,17.51,253,1.18,17,63.81,922
Wilson,79.99,2619,17.53,574,2.47,81,62.46,2045
Vance,80.39,2013,18.77,470,0.84,21,61.62,1543
Lenoir,80.26,2191,18.83,514,0.92,25,61.43,1677
Pasquotank,79.59,1236,19.64,305,0.77,12,59.95,931
Union,79.45,2721,19.62,672,0.93,32,59.82,2049
Jones,79.27,692,20.50,179,0.23,2,58.76,513
Richmond,76.46,2475,18.50,599,5.04,163,57.95,1876
Nash,76.63,3129,20.16,823,3.21,131,56.48,2306
New_Hanover,74.80,4735,18.80,1190,6.40,405,56.00,3545
Camden,75.56,436,22.88,132,1.56,9,52.69,304
Gates,75.87,679,24.02,215,0.11,1,51.84,464
Mecklenburg,73.73,8443,22.46,2572,3.82,437,51.27,5871
Wake,70.77,8376,25.14,2975,4.10,485,45.63,5401
Onslow,71.19,1122,26.84,423,1.97,31,44.35,699
Lee,71.81,1834,27.80,710,0.39,10,44.01,1124
Wayne,70.32,3366,28.81,1379,0.88,42,41.51,1987
Caswell,69.53,1075,30.21,467,0.26,4,39.33,608
Cleveland,67.81,3749,31.52,1743,0.67,37,36.28,2006
Cumberland,67.47,2923,31.67,1372,0.85,37,35.80,1551
Hyde,67.04,653,31.31,305,1.64,16,35.73,348
Beaufort,65.65,3048,32.35,1502,2.00,93,33.30,1546
Bladen,65.72,1551,33.31,786,0.97,23,32.42,765
Duplin,64.93,2924,34.24,1542,0.82,37,30.69,1382
Haywood,65.18,4582,34.71,2440,0.11,8,30.47,2142
Perquimans,64.48,550,34.58,295,0.94,8,29.89,255
Gaston,64.24,6554,34.95,3566,0.80,82,29.29,2988
Iredell,63.54,6449,35.12,3565,1.34,136,28.41,2884
Orange,62.43,1879,35.38,1065,2.19,66,27.04,814
Pamlico,63.48,798,36.52,459,0.00,0,26.97,339
Rockingham,62.72,4467,36.03,2566,1.25,89,26.69,1901
Columbus,62.49,2757,36.92,1629,0.59,26,25.57,1128
Buncombe,59.93,10098,37.30,6285,2.77,467,22.63,3813
Durham,59.34,4837,37.95,3093,2.71,221,21.40,1744
Person,60.52,1576,39.36,1025,0.12,3,21.16,551
Alamance,59.48,4859,39.38,3217,1.14,93,20.10,1642
Tyrrell,59.02,638,40.89,442,0.09,1,18.13,196
Moore,57.93,2771,41.27,1974,0.79,38,16.66,797
Forsyth,56.18,7404,40.33,5315,3.48,459,15.85,2089
Caldwell,56.97,3348,42.59,2503,0.44,26,14.38,845
Alleghany,56.99,1643,42.80,1234,0.21,6,14.19,409
Rowan,52.84,4816,39.06,3560,8.10,738,13.78,1256
Dare,56.69,826,43.17,629,0.14,2,13.52,197
Rutherford,56.51,5101,43.17,3897,0.32,29,13.34,1204
Burke,56.46,4137,43.54,3190,0.00,0,12.92,947
Guilford,55.22,8804,42.79,6822,1.99,317,12.43,1982
Cabarrus,54.60,4449,43.08,3510,2.32,189,11.52,939
Chatham,55.44,3446,44.32,2755,0.24,15,11.12,691
Carteret,54.75,2261,44.89,1854,0.36,15,9.85,407
Yancey,54.35,2592,45.21,2156,0.44,21,9.14,436
Montgomery,54.39,2483,45.50,2077,0.11,5,8.89,406
McDowell,53.62,3023,45.94,2590,0.44,25,7.68,433
Harnett,53.14,3296,46.68,2895,0.18,11,6.47,401
Polk,52.52,1613,47.05,1445,0.42,13,5.47,168
Jackson,52.50,3100,47.21,2788,0.29,17,5.28,312
Ashe,52.28,4333,47.68,3952,0.04,3,4.60,381
Lincoln,51.86,2909,47.39,2658,0.75,42,4.47,251
Macon,51.72,2178,47.85,2015,0.43,18,3.87,163
Stanly,51.26,3832,48.07,3594,0.67,50,3.18,238
Washington,51.25,883,48.40,834,0.35,6,2.84,49
Davidson,50.88,6507,48.69,6227,0.44,56,2.19,280
Transylvania,49.17,1776,50.22,1814,0.61,22,-1.05,-38
Catawba,48.28,5754,50.32,5998,1.40,167,-2.05,-244
Johnston,48.56,4656,51.20,4910,0.24,23,-2.65,-254
Alexander,48.25,2291,51.33,2437,0.42,20,-3.07,-146
Stokes,47.76,2309,51.33,2482,0.91,44,-3.58,-173
Graham,47.81,841,51.56,907,0.63,11,-3.75,-66
Watauga,46.94,2365,52.90,2665,0.16,8,-5.95,-300
Surry,46.63,4418,52.67,4990,0.70,66,-6.04,-572
Clay,46.24,953,52.89,1090,0.87,18,-6.65,-137
Brunswick,45.54,1118,52.79,1296,1.67,41,-7.25,-178
Randolph,45.90,5397,53.89,6336,0.20,24,-7.99,-939
Henderson,45.54,3007,53.73,3548,0.73,48,-8.19,-541
Swain,44.55,1769,54.85,2178,0.60,24,-10.30,-409
Cherokee,42.71,1742,56.73,2314,0.56,23,-14.02,-572
Davie,40.07,1795,59.64,2672,0.29,13,-19.58,-877
Sampson,38.54,2021,60.79,3188,0.67,35,-22.25,-1167
Wilkes,36.86,3586,63.02,6131,0.11,11,-26.16,-2545
Yadkin,32.26,1381,67.48,2889,0.26,11,-35.23,-1508
Madison,30.66,1471,67.79,3252,1.54,74,-37.13,-1781
Mitchell,30.80,689,68.84,1540,0.36,8,-38.04,-851
Avery,13.95,357,85.51,2189,0.55,14,-71.56,-1832
