County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,DIX_PCT,DIX_NUM,PRO_PCT,PRO_NUM,Margin_PCT,Margin_NUM
Greene,96.45,2687,2.33,65,1.18,33,0.04,1,94.11,2622
Bertie,95.71,3034,2.68,85,1.48,47,0.13,4,93.03,2949
Martin,95.53,4636,3.36,163,1.07,52,0.04,2,92.17,4473
Northampton,92.17,3591,4.59,179,3.05,119,0.18,7,87.58,3412
Franklin,91.55,4538,4.72,234,3.57,177,0.16,8,86.83,4304
Pitt,89.47,8519,6.32,602,3.40,324,0.81,77,83.14,7917
Edgecombe,89.75,6410,6.69,478,3.00,214,0.56,40,83.06,5932
Hertford,88.80,2165,8.04,196,2.67,65,0.49,12,80.76,1969
Nash,88.50,7590,7.98,684,3.38,290,0.14,12,80.53,6906
Lenoir,88.54,5445,8.37,515,2.63,162,0.46,28,80.16,4930
Jones,88.05,1238,8.04,113,3.70,52,0.21,3,80.01,1125
Halifax,86.82,6172,7.10,505,5.95,423,0.13,9,79.72,5667
Onslow,87.34,3318,8.32,316,4.32,164,0.03,1,79.02,3002
Warren,85.75,2376,6.93,192,7.25,201,0.07,2,78.49,2175
Gates,86.94,939,8.24,89,4.63,50,0.19,2,78.70,850
Granville,85.25,3513,8.10,334,6.16,254,0.49,20,77.14,3179
Wilson,86.25,6008,9.55,665,3.57,249,0.63,44,76.70,5343
Chowan,83.99,1070,9.73,124,5.65,72,0.63,8,74.25,946
Currituck,83.63,1144,9.50,130,6.36,87,0.51,7,74.12,1014
Hoke,80.71,1339,8.56,142,10.61,176,0.12,2,70.10,1163
Person,82.28,3087,12.79,480,4.80,180,0.13,5,69.48,2607
Craven,80.26,5039,11.87,745,7.66,481,0.21,13,68.40,4294
Vance,79.51,3679,11.87,549,8.06,373,0.56,26,67.65,3130
Perquimans,80.09,849,12.74,135,6.98,74,0.19,2,67.36,714
Duplin,81.25,5866,14.18,1024,4.47,323,0.10,7,67.06,4842
Robeson,77.26,7056,11.34,1036,10.79,985,0.61,56,65.91,6020
Washington,81.43,1675,16.19,333,1.70,35,0.68,14,65.24,1342
Anson,72.54,2692,12.05,447,15.20,564,0.22,8,57.34,2128
Beaufort,77.53,4675,17.50,1055,4.89,295,0.08,5,60.03,3620
Columbus,74.79,5511,15.00,1105,10.06,741,0.16,12,59.79,4406
Bladen,72.33,2831,12.77,500,14.67,574,0.23,9,57.66,2257
Richmond,71.95,4376,14.24,866,13.58,826,0.23,14,57.71,3510
Camden,73.94,576,16.30,127,9.11,71,0.64,5,57.64,449
Scotland,69.42,1957,12.74,359,17.45,492,0.39,11,51.97,1465
Hyde,76.05,800,20.34,214,3.61,38,0.00,0,55.70,586
Lee,74.38,3234,20.03,871,5.47,238,0.11,5,54.35,2363
Caswell,68.82,1651,14.63,351,16.22,389,0.33,8,52.61,1262
Wake,73.45,17939,19.86,4850,5.90,1441,0.79,193,53.59,13089
Wayne,73.20,6111,19.86,1658,6.62,553,0.31,26,53.34,4453
Union,66.23,3407,14.35,738,19.23,989,0.19,10,47.01,2418
Harnett,74.11,6608,22.26,1985,3.50,312,0.12,11,51.85,4623
Pender,62.39,1334,14.22,304,21.94,469,1.45,31,40.46,865
Johnston,70.69,9188,24.71,3211,4.39,571,0.21,27,45.99,5977
Haywood,71.82,7373,26.14,2684,1.97,202,0.07,7,45.68,4689
Rockingham,68.89,8553,23.65,2936,7.24,899,0.22,27,45.24,5617
Cleveland,65.21,6039,20.57,1905,13.77,1275,0.45,42,44.64,4134
Pasquotank,67.76,1976,24.04,701,7.72,225,0.48,14,43.72,1275
Durham,65.45,11530,25.72,4531,5.61,989,3.20,563,39.73,6999
Carteret,67.66,3491,29.46,1520,2.60,134,0.29,15,38.20,1971
Cumberland,55.13,4996,19.21,1741,25.26,2289,0.40,36,29.87,2707
Tyrrell,65.77,732,30.19,336,3.86,43,0.18,2,35.58,396
Dare,66.06,802,30.72,373,3.05,37,0.16,2,35.34,429
Pamlico,62.36,1370,31.18,685,6.14,135,0.32,7,31.18,685
Orange,60.29,3523,31.03,1813,6.20,362,2.48,145,29.27,1710
Chatham,58.60,3396,34.65,2008,6.59,382,0.16,9,23.95,1388
Jackson,59.55,4005,37.47,2520,2.74,184,0.24,16,22.08,1485
Alamance,53.88,8287,33.32,5124,12.61,1939,0.20,30,20.57,3163
Yancey,59.69,3481,39.13,2282,1.13,66,0.05,3,20.56,1199
New_Hanover,47.92,5364,28.25,3162,23.24,2601,0.59,66,19.67,2202
Surry,56.77,6956,37.89,4643,5.13,629,0.20,25,18.88,2313
Buncombe,55.34,17072,37.15,11460,6.94,2140,0.58,179,18.19,5612
Swain,56.67,1908,41.25,1389,1.96,66,0.12,4,15.41,519
McDowell,53.20,3805,37.88,2709,8.63,617,0.29,21,15.32,1096
Graham,56.24,1527,41.07,1115,2.43,66,0.26,7,15.17,412
Gaston,47.27,8966,32.58,6180,19.80,3755,0.35,67,14.69,2786
Stokes,56.15,4431,41.71,3291,1.96,155,0.18,14,14.45,1140
Rutherford,51.00,5992,36.95,4342,11.86,1394,0.19,22,14.04,1650
Polk,52.07,2078,40.99,1636,6.82,272,0.13,5,11.07,442
Iredell,47.47,5761,36.59,4441,15.76,1913,0.17,21,10.88,1320
Moore,51.80,3341,42.16,2719,5.81,375,0.23,15,9.64,622
Alleghany,51.43,1667,42.39,1374,5.86,190,0.31,10,9.04,293
Guilford,48.73,17224,40.08,14167,10.06,3557,1.13,401,8.65,3057
Mecklenburg,43.24,14353,34.70,11518,21.61,7172,0.43,142,8.54,2835
Forsyth,49.35,12201,41.04,10147,6.79,1679,2.82,698,8.31,2054
Macon,52.46,2785,44.98,2388,2.45,130,0.11,6,7.48,397
Rowan,43.30,6799,36.44,5722,20.04,3146,0.22,35,6.86,1077
Cabarrus,39.44,5059,33.48,4294,26.80,3437,0.28,36,5.96,765
Montgomery,47.50,2165,43.33,1975,9.10,415,0.07,3,4.17,190
Ashe,50.76,4633,46.74,4266,2.39,218,0.11,10,4.02,367
Clay,50.76,1307,47.11,1213,1.90,49,0.23,6,3.65,94
Brunswick,43.82,2052,40.49,1896,15.27,715,0.43,20,3.33,156
Cherokee,49.73,2771,46.93,2615,2.98,166,0.36,20,2.80,156
Transylvania,48.27,2975,46.42,2861,5.05,311,0.26,16,1.85,114
Caldwell,46.67,5033,46.24,4987,6.89,743,0.20,22,0.43,46
Sampson,47.07,4965,46.76,4932,5.75,607,0.42,44,0.31,33
Lincoln,42.71,3570,43.49,3635,13.58,1135,0.22,18,-0.78,-65
Burke,46.16,6226,47.26,6374,6.47,872,0.12,16,-1.10,-148
Catawba,44.36,8844,47.50,9471,7.90,1576,0.23,46,-3.14,-627
Davidson,46.15,7991,49.32,8539,4.33,750,0.20,34,-3.17,-548
Alexander,42.65,2057,47.98,2314,9.10,439,0.27,13,-5.33,-257
Watauga,45.66,3379,52.04,3851,2.14,158,0.16,12,-6.38,-472
Randolph,41.88,6567,53.39,8372,4.62,724,0.12,19,-11.51,-1805
Stanly,37.82,4415,50.56,5902,11.39,1330,0.23,27,-12.74,-1487
Madison,42.67,2558,55.73,3341,1.32,79,0.28,17,-13.06,-783
Davie,38.66,1917,54.02,2679,7.10,352,0.22,11,-15.37,-762
Wilkes,40.17,5784,57.18,8234,2.50,360,0.15,22,-17.01,-2450
Henderson,34.38,3311,51.61,4971,13.69,1319,0.32,31,-17.23,-1660
Yadkin,35.10,2083,61.19,3631,3.51,208,0.20,12,-26.09,-1548
Avery,23.28,933,74.73,2995,1.77,71,0.22,9,-51.45,-2062
