County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,Margin_PCT,Margin_NUM
Martin,88.77,5826,11.23,737,77.54,5089
Northampton,87.52,4756,12.48,678,75.05,4078
Greene,87.27,3092,12.73,451,74.54,2641
Bertie,86.45,3682,13.55,577,72.90,3105
Franklin,82.10,5081,17.90,1108,64.19,3973
Warren,80.69,2997,19.31,717,61.39,2280
Gates,80.09,1549,19.91,385,60.19,1164
Hertford,79.90,3105,20.10,781,59.80,2324
Halifax,79.11,8872,20.89,2343,58.22,6529
Pitt,78.37,12526,21.63,3458,56.73,9068
Chowan,78.27,1920,21.73,533,56.54,1387
Currituck,78.06,1651,21.94,464,56.12,1187
Hoke,77.94,2106,22.06,596,55.88,1510
Edgecombe,77.93,8046,22.07,2279,55.85,5767
Jones,76.65,1920,23.35,585,53.29,1335
Robeson,76.45,11623,23.55,3580,52.90,8043
Camden,75.00,1014,25.00,338,50.00,676
Columbus,74.10,10455,25.90,3655,48.19,6800
Scotland,74.01,3643,25.99,1279,48.03,2364
Vance,73.89,5694,26.11,2012,47.78,3682
Granville,73.34,4945,26.66,1798,46.67,3147
Tyrrell,72.63,926,27.37,349,45.25,577
Nash,72.14,10086,27.86,3896,44.27,6190
Anson,72.07,4120,27.93,1597,44.13,2523
Wilson,72.03,8021,27.97,3114,44.07,4907
Richmond,71.63,8293,28.37,3285,43.25,5008
Pasquotank,71.26,4530,28.74,1827,42.52,2703
Duplin,71.11,7269,28.89,2953,42.22,4316
Hyde,70.45,1147,29.55,481,40.91,666
Washington,70.16,2415,29.84,1027,40.33,1388
Bladen,70.13,4353,29.87,1854,40.26,2499
Perquimans,69.62,1460,30.38,637,39.25,823
Beaufort,69.15,6039,30.85,2694,38.30,3345
Person,69.09,4305,30.91,1926,38.18,2379
Caswell,69.01,2832,30.99,1272,38.01,1560
Lenoir,68.96,8126,31.04,3658,37.92,4468
Pender,68.29,2744,31.71,1274,36.59,1470
Onslow,66.43,5564,33.57,2812,32.86,2752
Craven,66.05,7158,33.95,3680,32.09,3478
Union,64.72,7393,35.28,4030,29.44,3363
Lee,64.58,4673,35.42,2563,29.16,2110
Pamlico,61.53,1697,38.47,1061,23.06,636
Harnett,59.82,7892,40.18,5301,19.64,2591
Johnston,59.82,9914,40.18,6660,19.63,3254
Brunswick,59.63,4305,40.37,2915,19.25,1390
Cumberland,58.97,11601,41.03,8072,17.94,3529
Wayne,58.93,7856,41.07,5474,17.87,2382
Wake,58.56,26050,41.44,18436,17.12,7614
Orange,57.85,7180,42.15,5231,15.70,1949
New_Hanover,57.42,13182,42.58,9775,14.84,3407
Durham,57.40,19298,42.60,14322,14.80,4976
Cleveland,56.08,10545,43.92,8257,12.17,2288
Rockingham,54.24,11207,45.76,9456,8.47,1751
Dare,54.10,1247,45.90,1058,8.20,189
Carteret,53.95,5264,46.05,4493,7.90,771
Chatham,52.09,4683,47.91,4308,4.17,375
Alleghany,51.74,2121,48.26,1978,3.49,143
Sampson,50.98,7632,49.02,7338,1.96,294
Madison,50.69,4546,49.31,4422,1.38,124
Swain,50.69,2171,49.31,2112,1.38,59
Yancey,50.20,3310,49.80,3284,0.39,26
Lincoln,49.68,6728,50.32,6816,-0.65,-88
Jackson,49.26,3900,50.74,4017,-1.48,-117
Polk,49.16,2762,50.84,2856,-1.67,-94
Moore,48.83,5548,51.17,5815,-2.35,-267
Rutherford,48.75,8554,51.25,8993,-2.50,-439
Alexander,48.65,3956,51.35,4175,-2.69,-219
Gaston,48.61,20104,51.39,21250,-2.77,-1146
Haywood,48.38,8044,51.62,8583,-3.24,-539
Ashe,48.14,4477,51.86,4823,-3.72,-346
Stokes,47.94,4487,52.06,4872,-4.11,-385
Alamance,47.86,13599,52.14,14818,-4.29,-1219
Montgomery,47.47,3297,52.53,3649,-5.07,-352
Buncombe,45.39,23303,54.61,28040,-9.23,-4737
Macon,45.34,3098,54.66,3735,-9.32,-637
Mecklenburg,44.93,39362,55.07,48250,-10.14,-8888
Surry,44.92,8185,55.08,10035,-10.15,-1850
Transylvania,44.53,3388,55.47,4221,-10.95,-833
McDowell,44.30,4889,55.70,6148,-11.41,-1259
Graham,43.68,1335,56.32,1721,-12.63,-386
Burke,43.66,10015,56.34,12925,-12.69,-2910
Clay,43.27,1264,56.73,1657,-13.45,-393
Caldwell,43.02,8722,56.98,11553,-13.96,-2831
Stanly,42.71,8259,57.29,11080,-14.59,-2821
Cherokee,42.68,3197,57.32,4294,-14.64,-1097
Iredell,42.61,8973,57.39,12085,-14.78,-3112
Guilford,42.43,30486,57.57,41357,-15.13,-10871
Rowan,42.16,12919,57.84,17726,-15.69,-4807
Forsyth,41.87,24035,58.13,33374,-16.27,-9339
Catawba,41.35,13491,58.65,19135,-17.30,-5644
Davidson,41.10,13118,58.90,18797,-17.79,-5679
Watauga,40.66,3440,59.34,5020,-18.68,-1580
Randolph,38.30,9789,61.70,15772,-23.41,-5983
Wilkes,38.02,7986,61.98,13016,-23.95,-5030
Cabarrus,35.64,8680,64.36,15678,-28.73,-6998
Davie,34.04,2471,65.96,4788,-31.92,-2317
Henderson,29.85,4611,70.15,10835,-40.30,-6224
Yadkin,27.70,2785,72.30,7268,-44.59,-4483
Avery,20.05,1047,79.95,4176,-59.91,-3129
Mitchell,19.55,1174,80.45,4831,-60.90,-3657
