County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,DIX_PCT,DIX_NUM,Margin_PCT,Margin_NUM
Mitchell,72.65,3778,15.75,819,11.60,603,56.90,2959
Avery,70.76,3197,13.97,631,15.27,690,55.49,2507
Wilkes,60.29,11195,24.22,4497,15.49,2876,36.07,6698
Watauga,55.88,5081,32.46,2952,11.66,1060,23.41,2129
Ashe,53.15,4894,37.21,3426,9.64,888,15.94,1468
Clay,54.94,1390,33.48,847,11.58,293,21.46,543
Graham,52.44,1570,35.44,1061,12.12,363,17.00,509
Cherokee,53.18,3768,33.90,2402,12.91,915,19.28,1366
Yadkin,60.51,5885,14.84,1443,24.65,2397,35.87,3488
Jackson,48.14,3747,37.98,2956,13.88,1080,10.16,791
Catawba,56.33,18393,21.36,6974,22.31,7285,34.02,11108
Mecklenburg,52.40,56325,28.93,31102,18.67,20070,23.46,25223
Henderson,57.45,9334,18.79,3053,23.76,3861,33.68,5473
Madison,49.18,3130,34.58,2201,16.25,1034,14.60,929
Macon,50.48,3295,31.71,2070,17.80,1162,18.77,1225
Yancey,45.21,2448,40.90,2215,13.89,752,4.30,233
Surry,51.19,9638,27.02,5088,21.79,4103,24.16,4550
Swain,45.86,1494,37.66,1227,16.48,537,8.20,267
Cabarrus,52.35,13226,21.77,5501,25.88,6538,26.47,6688
Caldwell,51.46,10433,23.41,4746,25.13,5095,26.33,5338
Alexander,52.03,4379,21.79,1834,26.18,2203,25.86,2176
Stanly,51.43,9428,22.90,4199,25.67,4706,25.76,4722
Randolph,52.35,13450,20.83,5351,26.82,6892,25.52,6558
Forsyth,46.79,31623,30.01,20281,23.20,15681,16.78,11342
Burke,48.84,11068,25.17,5704,26.00,5892,22.84,5176
Guilford,46.23,38996,30.35,25604,23.42,19751,15.88,13392
Lincoln,46.20,6188,30.19,4044,23.60,3161,16.01,2144
Alleghany,45.80,1695,29.78,1102,24.43,904,16.02,593
Rutherford,46.11,7785,27.38,4622,26.51,4476,18.73,3163
Transylvania,46.85,4033,25.67,2210,27.47,2365,19.38,1668
Buncombe,44.23,21031,30.76,14624,25.01,11889,13.48,6407
Polk,45.89,2550,27.41,1523,26.71,1484,18.48,1027
Rowan,46.79,15207,24.84,8074,28.37,9220,18.42,5987
Wake,43.08,28928,31.24,20979,25.69,17250,11.84,7949
Davie,49.04,3866,19.05,1502,31.90,2515,17.14,1351
Moore,43.74,5322,29.45,3583,26.82,3263,14.29,1739
McDowell,46.01,4740,24.69,2543,29.30,3018,16.72,1722
Haywood,39.26,6205,36.08,5703,24.66,3898,3.18,502
Davidson,46.57,16678,21.20,7594,32.23,11544,14.33,5134
Carteret,40.23,4593,32.95,3762,26.81,3061,7.28,831
Sampson,41.44,6597,30.13,4797,28.43,4527,11.31,1800
Stokes,45.25,4781,22.47,2374,32.28,3410,12.98,1371
Orange,33.30,6097,45.70,8366,21.00,3845,-12.39,-2269
Gaston,43.77,18741,23.59,10100,32.64,13973,11.14,4768
Montgomery,39.67,3070,31.14,2410,29.19,2259,8.53,660
Dare,40.13,1035,27.14,700,32.73,844,7.41,191
Iredell,43.17,10557,19.95,4878,36.89,9021,6.28,1536
Chatham,36.22,3845,33.27,3532,30.51,3239,2.95,313
Union,38.67,5290,26.53,3630,34.80,4761,3.87,529
New_Hanover,37.03,10020,28.64,7750,34.33,9291,2.69,729
Cumberland,31.95,9143,34.72,9938,33.33,9539,1.39,399
Durham,29.68,12705,38.69,16563,31.63,13542,7.06,3021
Alamance,36.54,12310,24.46,8241,39.00,13139,-2.46,-829
Scotland,28.69,1717,37.63,2252,33.68,2016,3.94,236
Rockingham,33.46,8095,28.00,6774,38.54,9324,-5.08,-1229
Harnett,32.97,5184,25.49,4007,41.54,6531,-8.57,-1347
Tyrrell,22.61,291,45.14,581,32.25,415,12.90,166
Robeson,23.55,4526,42.92,8248,33.52,6441,9.40,1807
Cleveland,32.28,7298,25.04,5661,42.68,9649,-10.40,-2351
Brunswick,27.52,2404,34.03,2972,38.45,3358,-4.42,-386
Johnston,33.05,6764,21.95,4492,45.01,9212,-11.96,-2448
Lee,29.32,2586,28.61,2524,42.07,3711,-12.75,-1125
Pitt,25.41,5745,34.04,7696,40.55,9167,-6.51,-1471
Wayne,28.79,5678,27.06,5338,44.15,8709,-15.37,-3031
