County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,IND_PCT,IND_NUM,LIB_PCT,LIB_NUM,OTH_PCT,OTH_NUM,Margin_PCT,Margin_NUM
Mitchell,68.93,4322,28.15,1765,2.33,146,0.51,32,0.08,5,40.78,2557
Avery,67.14,3480,29.46,1527,2.84,147,0.42,22,0.14,7,37.68,1953
Randolph,64.72,19881,32.90,10107,1.83,563,0.47,145,0.07,23,31.82,9774
Yadkin,65.08,7530,33.28,3850,1.18,136,0.43,50,0.03,4,31.81,3680
Davie,63.79,6302,33.29,3289,2.26,223,0.64,63,0.03,3,30.50,3013
Wilkes,62.74,14462,35.51,8184,1.22,282,0.44,102,0.08,19,27.24,6278
Henderson,61.19,13573,34.16,7578,4.06,901,0.44,97,0.15,33,27.03,5995
Catawba,60.39,22873,36.63,13873,2.29,866,0.64,242,0.06,24,23.76,9000
Clay,60.19,2136,37.31,1324,1.49,53,0.79,28,0.23,8,22.88,812
Rowan,59.66,18566,37.50,11671,2.27,707,0.50,155,0.06,20,22.16,6895
Davidson,59.56,22794,38.10,14579,1.77,679,0.53,202,0.04,15,21.47,8215
Cabarrus,59.19,15143,38.18,9768,2.20,562,0.38,96,0.06,16,21.01,5375
Caldwell,58.11,12965,39.17,8738,1.97,440,0.61,135,0.14,32,18.95,4227
Alexander,57.39,6376,40.92,4546,1.23,137,0.40,44,0.05,6,16.47,1830
Nash,56.34,11043,41.75,8184,1.49,293,0.38,74,0.04,7,14.59,2859
Wayne,56.31,12860,41.98,9586,1.41,322,0.27,62,0.03,7,14.34,3274
Gaston,55.61,25139,42.07,19016,1.82,823,0.44,201,0.06,25,13.55,6123
Lenoir,55.50,9832,42.60,7546,1.48,263,0.32,57,0.09,16,12.91,2286
Polk,53.86,3021,42.34,2375,2.85,160,0.87,49,0.07,4,11.52,646
Ashe,54.72,5643,43.26,4461,1.49,154,0.46,47,0.07,7,11.46,1182
Stokes,54.92,7275,43.52,5764,1.14,151,0.38,50,0.05,6,11.41,1511
New_Hanover,53.48,17243,42.40,13670,3.45,1114,0.56,182,0.11,35,11.08,3573
Moore,53.71,10158,42.74,8084,2.98,563,0.48,91,0.09,17,10.97,2074
Stanly,54.54,9734,43.62,7784,1.39,248,0.39,69,0.07,12,10.93,1950
Cherokee,54.37,3849,43.99,3114,1.13,80,0.47,33,0.04,3,10.38,735
Iredell,53.70,14926,43.42,12067,2.25,624,0.57,158,0.07,19,10.29,2859
Graham,54.25,1961,44.48,1608,1.00,36,0.17,6,0.11,4,9.76,353
Watauga,51.42,6149,42.00,5022,5.39,645,0.88,105,0.31,37,9.42,1127
McDowell,53.55,5680,44.34,4703,1.65,175,0.41,44,0.04,4,9.21,977
Transylvania,52.59,4826,43.67,4008,2.99,274,0.63,58,0.12,11,8.91,818
Alamance,53.06,18077,44.15,15042,2.23,760,0.48,164,0.07,25,8.91,3035
Onslow,52.95,8861,44.04,7371,2.39,400,0.54,90,0.08,14,8.90,1490
Guilford,51.93,53291,43.38,44516,3.92,4019,0.62,636,0.16,168,8.55,8775
Carteret,52.37,7733,43.92,6485,3.12,460,0.49,73,0.11,16,8.45,1248
Lincoln,52.37,9009,45.32,7796,1.74,299,0.49,85,0.07,12,7.05,1213
Macon,52.34,4727,45.45,4105,1.69,153,0.43,39,0.08,7,6.89,622
Beaufort,51.95,6773,46.21,6024,1.43,186,0.38,49,0.04,5,5.75,749
Dare,49.92,2794,44.29,2479,4.65,260,0.89,50,0.25,14,5.63,315
Surry,51.86,10065,46.31,8987,1.32,256,0.47,92,0.04,8,5.55,1078
Burke,50.97,12956,45.95,11680,2.20,558,0.66,169,0.21,54,5.02,1276
Craven,50.97,8554,46.36,7781,2.12,356,0.48,81,0.07,11,4.61,773
Forsyth,49.98,42389,45.83,38870,3.42,2897,0.62,527,0.15,128,4.15,3519
Johnston,51.26,10444,47.12,9601,1.33,271,0.27,54,0.03,6,4.14,843
Buncombe,48.80,26124,46.40,24837,4.02,2153,0.56,299,0.22,119,2.40,1287
Wilson,49.86,8329,48.14,8042,1.45,243,0.43,71,0.11,19,1.72,287
Mecklenburg,47.80,68384,46.83,66995,4.59,6560,0.67,956,0.12,168,0.97,1389
Pitt,48.60,12816,47.74,12590,3.14,827,0.38,101,0.14,37,0.86,226
Wake,47.21,49768,46.49,49003,5.17,5455,0.70,741,0.43,449,0.73,765
Rutherford,49.29,8363,49.01,8315,1.20,203,0.46,78,0.04,7,0.28,48
Cumberland,47.63,21540,48.80,22073,2.79,1261,0.65,293,0.13,61,-1.18,-533
Rockingham,47.64,11205,49.77,11708,1.97,463,0.55,130,0.07,16,-2.14,-503
Alleghany,46.29,1995,51.00,2198,2.11,91,0.56,24,0.05,2,-4.71,-203
