County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,LIB_PCT,LIB_NUM,OTH_PCT,OTH_NUM,Margin_PCT,Margin_NUM
Avery,79.87,4702,19.69,1159,0.29,17,0.15,9,60.18,3543
Mitchell,78.51,4737,21.31,1286,0.17,10,0.02,1,57.19,3451
Randolph,77.36,25759,22.56,7511,0.07,23,0.02,6,54.80,18248
Yadkin,74.37,8976,25.48,3075,0.12,14,0.04,5,48.89,5901
Davie,73.72,8201,26.17,2911,0.11,12,0.01,1,47.55,5290
Gaston,73.36,39167,26.49,14142,0.13,70,0.02,13,46.87,25025
Wilkes,73.03,18670,26.80,6852,0.16,40,0.01,2,46.23,11818
Catawba,72.78,31476,27.05,11700,0.14,61,0.03,13,45.72,19776
Henderson,72.55,19369,27.05,7222,0.30,80,0.10,26,45.50,12147
Davidson,72.55,30471,27.31,11469,0.13,54,0.02,7,45.24,19002
Cabarrus,72.54,22528,27.29,8477,0.14,43,0.03,10,45.24,14051
Dare,71.83,4738,27.88,1839,0.24,16,0.05,3,43.95,2899
Onslow,70.75,13928,29.02,5713,0.17,34,0.06,12,41.73,8215
Union,70.45,16885,29.41,7048,0.11,27,0.03,8,41.04,9837
Alexander,70.22,8502,29.58,3581,0.17,20,0.03,4,40.65,4921
Rowan,70.20,25207,29.64,10643,0.14,52,0.01,5,40.56,14564
Iredell,70.14,23641,29.67,9999,0.16,55,0.03,9,40.48,13642
Caldwell,69.79,17024,29.97,7311,0.20,50,0.04,9,39.82,9713
Alamance,69.74,26063,30.05,11230,0.18,68,0.02,9,39.69,14833
Stanly,67.99,13116,31.82,6138,0.15,29,0.05,9,36.17,6978
Lincoln,67.64,12621,32.13,5996,0.20,38,0.02,4,35.51,6625
Lee,67.47,8198,32.30,3925,0.21,25,0.02,3,35.17,4273
Moore,67.40,14681,32.42,7063,0.14,30,0.04,9,34.97,7618
Johnston,67.32,16210,32.53,7833,0.10,24,0.05,13,34.79,8377
Nash,66.73,17295,33.14,8588,0.09,23,0.04,11,33.60,8707
Carteret,66.28,11637,33.50,5882,0.20,35,0.02,3,32.78,5755
Stokes,65.63,9515,34.14,4950,0.19,28,0.03,5,31.49,4565
New_Hanover,65.21,23771,34.54,12591,0.21,75,0.04,15,30.67,11180
McDowell,65.08,7639,34.73,4076,0.14,17,0.04,5,30.36,3563
Macon,64.93,6661,34.80,3570,0.20,21,0.06,6,30.13,3091
Transylvania,64.91,6956,34.83,3733,0.23,25,0.03,3,30.07,3223
Polk,64.73,4046,34.70,2169,0.54,34,0.03,2,30.03,1877
Surry,64.88,13340,34.96,7188,0.13,26,0.04,8,29.92,6152
Watauga,64.27,9370,35.41,5163,0.28,41,0.03,5,28.86,4207
Burke,64.32,18766,35.48,10353,0.17,51,0.03,8,28.83,8413
Wayne,64.13,17961,35.74,10011,0.11,30,0.02,6,28.38,7950
Craven,64.04,12893,35.69,7186,0.20,41,0.07,14,28.35,5707
Cherokee,63.72,4894,36.15,2776,0.10,8,0.03,2,27.58,2118
Currituck,63.24,2885,36.56,1668,0.18,8,0.02,1,26.68,1217
Mecklenburg,62.67,106754,37.10,63190,0.20,337,0.03,58,25.57,43564
Rockingham,62.70,17895,37.16,10605,0.11,32,0.02,7,25.54,7290
Graham,62.63,2514,37.22,1494,0.10,4,0.05,2,25.41,1020
Clay,62.39,2259,37.01,1340,0.52,19,0.08,3,25.38,919
Cleveland,62.22,17095,37.44,10288,0.30,82,0.04,12,24.77,6807
Person,62.30,5854,37.54,3528,0.12,11,0.04,4,24.75,2326
Rutherford,62.23,11369,37.56,6862,0.18,33,0.02,4,24.67,4507
Ashe,62.10,6611,37.66,4009,0.21,22,0.03,3,24.44,2602
Buncombe,61.61,37698,38.14,23337,0.20,122,0.05,29,23.47,14361
Wake,61.61,81251,38.16,50323,0.20,267,0.02,30,23.45,30928
