County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,NEW_PCT,NEW_NUM,WRT_PCT,WRT_NUM,Margin_PCT,Margin_NUM
Mitchell,76.82,4620,22.90,1377,0.28,17,0,0,53.92,3243
Avery,75.33,4277,24.08,1367,0.39,22,0.21,12,51.25,2910
Randolph,73.32,23881,26.53,8641,0.15,49,0,0,46.79,15240
Davie,71.37,7988,28.29,3166,0.34,38,0,0,43.08,4822
Yadkin,71.10,7918,28.69,3195,0.22,24,0,0,42.41,4723
Gaston,70.32,34775,29.49,14582,0.18,87,0.01,7,40.83,20193
Catawba,69.01,28872,30.89,12922,0.11,44,0,0,38.12,15950
Davidson,68.11,28374,31.72,13215,0.17,70,0.01,3,36.39,15159
Henderson,67.68,19711,32.06,9338,0.20,58,0.06,18,35.62,10373
Cabarrus,67.75,22524,32.14,10686,0.08,26,0.04,12,35.61,11838
Wilkes,67.65,15231,32.11,7230,0.24,53,0,0,35.54,8001
Iredell,67.02,21536,32.77,10530,0.19,62,0.02,7,34.25,11006
Caldwell,65.78,15176,34.08,7862,0.14,33,0,0,31.70,7314
Union,65.71,17015,34.06,8820,0.18,46,0.06,15,31.65,8195
Alexander,65.56,7968,34.13,4148,0.27,33,0.04,5,31.43,3820
Rowan,65.48,23192,34.24,12127,0.27,96,0.00,1,31.24,11065
Alamance,65.48,24131,34.31,12642,0.19,69,0.02,9,31.18,11489
Moore,65.37,14543,34.35,7642,0.12,27,0.16,36,31.02,6901
Dare,64.85,5234,34.77,2806,0.36,29,0.02,2,30.08,2428
Nash,64.34,15906,35.35,8740,0.13,32,0.18,44,28.99,7166
Lincoln,64.26,11651,35.54,6444,0.18,32,0.02,3,28.72,5207
Stanly,64.13,11885,35.76,6627,0.09,17,0.02,3,28.37,5258
Johnston,63.97,15563,35.83,8717,0.14,35,0.06,14,28.14,6846
Cherokee,63.78,4557,35.93,2567,0.29,21,0,0,27.85,1990
Onslow,62.87,12253,36.75,7162,0.36,71,0.01,2,26.12,5091
Clay,62.47,2174,37.04,1289,0.37,13,0.11,4,25.43,885
Lee,62.47,7104,37.21,4231,0.30,34,0.02,2,25.27,2873
Wayne,62.48,15292,37.33,9135,0.19,47,0,0,25.16,6157
Craven,62.10,12057,37.66,7313,0.24,46,0.01,1,24.43,4744
Transylvania,61.86,7009,37.78,4280,0.17,19,0.19,22,24.09,2729
Stokes,61.81,8661,37.96,5319,0.19,27,0.04,5,23.85,3342
Carteret,61.55,11076,38.12,6859,0.28,51,0.04,8,23.44,4217
Macon,61.39,6026,38.44,3773,0.13,13,0.04,4,22.95,2253
Graham,61.16,2091,38.40,1313,0.44,15,0,0,22.76,778
