County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,OTH_PCT,OTH_NUM,Total_NUM
Alamance,44.91,28590,54.19,34501,0.90,576,63667
Alexander,29.96,5153,68.31,11747,1.73,297,17197
Alleghany,38.40,2017,59.35,3117,2.25,118,5252
Anson,60.34,6293,38.99,4067,0.67,70,10430
Ashe,37.31,4861,60.53,7885,2.16,281,13027
Avery,27.51,2163,71.43,5617,1.07,84,7864
Beaufort,41.06,9426,58.53,13437,0.42,96,22959
Bertie,65.03,6248,34.74,3338,0.23,22,9608
Bladen,50.71,7846,48.67,7530,0.61,95,15471
Brunswick,40.56,21280,58.44,30662,1.00,524,52466
Buncombe,56.33,69415,42.39,52236,1.29,1585,123236
Burke,39.71,14623,59.10,21766,1.19,440,36829
Cabarrus,40.48,31191,58.84,45340,0.68,524,77055
Caldwell,34.35,12007,64.08,22397,1.57,548,34952
Camden,33.14,1587,65.11,3118,1.75,84,4789
Carteret,32.32,11079,66.70,22868,0.98,336,34283
Caswell,50.84,5466,48.15,5177,1.01,109,10752
Catawba,36.91,25535,61.93,42843,1.16,802,69180
Chatham,54.34,17783,44.59,14591,1.07,350,32724
Cherokee,29.99,3748,68.74,8591,1.26,158,12497
Chowan,48.99,3652,50.32,3751,0.68,51,7454
Clay,31.33,1731,66.82,3692,1.85,102,5525
Cleveland,39.60,17274,59.49,25950,0.90,394,43618
Columbus,45.63,11088,53.49,12998,0.87,212,24298
Craven,42.44,17335,56.71,23163,0.84,345,40843
Cumberland,58.55,73926,40.87,51596,0.58,731,126253
Currituck,33.58,3685,65.23,7159,1.19,131,10975
Dare,44.07,7760,54.63,9621,1.30,229,17610
Davidson,32.61,22192,66.32,45135,1.07,729,68056
Davie,30.27,6102,68.69,13846,1.04,209,20157
Duplin,44.98,8866,54.45,10734,0.57,112,19712
Durham,75.53,102237,23.67,32040,0.80,1088,135365
Edgecombe,67.14,17365,32.54,8416,0.32,82,25863
Forsyth,54.85,90712,44.32,73304,0.83,1374,165390
Franklin,49.17,13022,49.77,13183,1.06,281,26486
Gaston,37.21,31247,62.18,52220,0.61,511,83978
Gates,52.20,2827,47.01,2546,0.79,43,5416
Graham,30.33,1265,67.71,2824,1.97,82,4171
Granville,52.91,13010,46.26,11373,0.83,204,24587
Greene,46.78,3774,52.78,4258,0.43,35,8067
Guilford,58.75,141680,40.44,97511,0.81,1952,241143
Halifax,63.73,15726,35.93,8867,0.34,83,24676
Harnett,41.12,16519,58.03,23311,0.85,341,40171
Haywood,45.36,12724,53.12,14902,1.52,427,28053
Henderson,38.90,20062,59.93,30903,1.17,602,51567
Hertford,70.49,7479,29.06,3083,0.45,48,10610
Hoke,59.16,9133,40.14,6197,0.69,107,15437
Hyde,50.12,1225,49.22,1203,0.65,16,2444
Iredell,37.33,27201,61.72,44979,0.96,696,72876
Jackson,51.89,8671,46.64,7793,1.47,246,16710
Johnston,37.69,26475,61.45,43164,0.85,600,70239
Jones,45.44,2364,53.95,2807,0.62,32,5203
Lee,45.38,10703,53.65,12652,0.97,229,23584
Lenoir,49.54,13157,50.01,13281,0.44,118,26556
Lincoln,32.71,11674,66.02,23561,1.27,454,35689
Macon,38.47,6603,59.78,10262,1.75,301,17166
Madison,48.43,5011,50.01,5175,1.56,161,10347
Martin,52.13,6488,47.51,5914,0.36,45,12447
McDowell,35.84,6514,62.62,11382,1.55,281,18177
Mecklenburg,61.83,252642,37.43,152957,0.74,3011,408610
Mitchell,28.46,2220,70.14,5472,1.40,109,7801
Montgomery,43.78,4870,55.06,6125,1.16,129,11124
Moore,38.89,17534,60.25,27165,0.86,390,45089
Nash,49.00,23013,50.38,23660,0.62,291,46964
New_Hanover,48.80,48588,50.22,50004,0.98,976,99568
Northampton,65.03,6893,34.55,3662,0.42,44,10599
Onslow,38.85,19296,60.29,29942,0.86,426,49664
Orange,71.83,53712,27.05,20226,1.12,838,74776
Pamlico,42.22,2820,57.02,3809,0.76,51,6680
Pasquotank,56.44,10170,42.84,7720,0.72,130,18020
