County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,LIB_PCT,LIB_NUM,OTH_PCT,OTH_NUM,Total_NUM
Alamance,53.50,46056,45.10,38825,0.80,686,0.61,524,86091
Alexander,78.51,15888,20.48,4145,0.63,127,0.38,76,20236
Alleghany,74.51,4527,24.46,1486,0.58,35,0.46,28,6076
Anson,47.53,5321,51.72,5789,0.37,41,0.38,43,11194
Ashe,72.41,11451,26.33,4164,0.80,126,0.46,73,15814
Avery,75.83,7172,23.17,2191,0.59,56,0.41,39,9458
Beaufort,62.46,16437,36.61,9633,0.52,137,0.41,108,26315
Bertie,38.89,3817,60.51,5939,0.30,29,0.31,30,9815
Bladen,56.50,9676,42.78,7326,0.40,68,0.32,55,17125
Brunswick,61.94,55850,36.94,33310,0.71,642,0.41,373,90175
Buncombe,38.63,62412,59.74,96515,0.90,1460,0.74,1182,161569
Burke,69.55,31019,29.41,13118,0.61,270,0.44,195,44602
Cabarrus,53.94,63237,44.50,52162,0.93,1096,0.62,732,117227
Caldwell,74.99,32119,23.92,10245,0.64,273,0.45,192,42829
Camden,72.43,4312,25.82,1537,1.28,76,0.47,28,5953
Carteret,70.33,30028,28.32,12093,0.87,373,0.47,201,42695
Caswell,58.82,7089,40.33,4860,0.53,64,0.32,38,12051
Catawba,67.83,56588,30.79,25689,0.78,652,0.59,496,83425
Chatham,43.59,21186,55.12,26787,0.75,366,0.53,260,48599
Cherokee,76.89,12628,21.82,3583,0.58,95,0.71,117,16423
Chowan,57.44,4471,41.71,3247,0.60,47,0.24,19,7784
Clay,74.16,5112,24.65,1699,0.67,46,0.52,36,6893
Cleveland,65.87,33798,33.05,16955,0.64,329,0.44,226,51308
Columbus,63.65,16832,35.72,9446,0.33,88,0.30,80,26446
Craven,58.48,31032,39.85,21148,1.18,626,0.49,259,53065
Cumberland,40.80,60032,57.40,84469,1.12,1645,0.68,1004,147150
Currituck,72.19,11657,25.98,4195,1.29,209,0.53,86,16147
Dare,57.52,13938,41.00,9936,0.92,223,0.56,135,24232
Davidson,73.05,64658,25.57,22636,0.79,703,0.58,517,88514
Davie,72.02,18228,26.52,6713,0.84,213,0.62,157,25311
Duplin,60.72,13793,38.60,8767,0.37,84,0.31,71,22715
Durham,18.04,32459,80.42,144688,0.84,1504,0.70,1263,179914
Edgecombe,36.13,9206,63.15,16089,0.38,97,0.33,85,25477
Forsyth,42.26,85064,56.16,113033,0.89,1785,0.69,1388,201270
Franklin,55.96,20901,42.51,15879,0.89,333,0.64,238,37351
Gaston,63.23,73033,35.46,40959,0.79,910,0.52,596,115498
Gates,56.39,3367,42.64,2546,0.69,41,0.28,17,5971
Graham,79.53,3710,19.40,905,0.56,26,0.52,24,4665
Granville,52.68,16647,46.09,14565,0.77,244,0.45,142,31598
Greene,55.68,4874,43.78,3832,0.30,26,0.24,21,8753
Guilford,37.72,107294,60.84,173086,0.78,2232,0.66,1874,284486
Halifax,39.13,10080,60.35,15545,0.24,62,0.28,72,25759
Harnett,60.35,35177,37.90,22093,1.21,708,0.54,315,58293
Haywood,62.49,22834,35.97,13144,0.91,334,0.63,230,36542
Henderson,58.55,40032,39.80,27211,0.98,670,0.67,458,68371
Hertford,32.72,3479,66.74,7097,0.26,28,0.28,30,10634
Hoke,43.69,9453,54.55,11804,1.21,262,0.55,120,21639
Hyde,56.90,1418,41.97,1046,0.68,17,0.44,11,2492
Iredell,65.46,67010,33.10,33888,0.89,907,0.55,566,102371
Jackson,53.00,11356,44.76,9591,1.20,257,1.05,224,21428
Johnston,61.38,68353,37.05,41257,1.05,1164,0.52,583,111357
Jones,59.37,3280,39.76,2197,0.62,34,0.25,14,5525
Lee,56.77,16469,41.86,12143,0.81,235,0.56,161,29008
Lenoir,51.36,14590,47.89,13605,0.44,126,0.31,88,28409
Lincoln,72.37,36341,26.43,13274,0.74,373,0.46,229,50217
Macon,68.51,14211,30.03,6230,0.81,169,0.65,133,20743
Madison,61.02,7979,37.48,4901,0.79,103,0.71,93,13076
Martin,52.09,6532,47.14,5911,0.47,59,0.30,38,12540
McDowell,73.39,16883,25.35,5832,0.80,184,0.45,104,23003
Mecklenburg,31.60,179211,66.68,378107,0.96,5427,0.76,4308,567053
Mitchell,78.42,7090,20.65,1867,0.52,47,0.41,37,9041
Montgomery,65.46,8411,33.68,4327,0.61,78,0.26,33,12849
Moore,63.02,36764,35.62,20779,0.89,520,0.47,276,58339
Nash,49.41,25827,49.64,25947,0.55,287,0.40,210,52271
New_Hanover,48.04,63331,50.17,66138,1.15,1521,0.63,840,131830
Northampton,39.46,3989,60.03,6069,0.30,30,0.22,22,10110
Onslow,63.79,46078,33.59,24266,2.08,1506,0.53,385,72235
Orange,23.74,20176,74.82,63594,0.77,653,0.68,574,84997
Pamlico,63.54,4849,35.55,2713,0.58,44,0.33,25,7631
