County DEM_PCT DEM_NUM GOP_PCT GOP_NUM SOC_PCT SOC_NUM PHB_PCT PHB_NUM Margin_PCT Margin_NUM 
Northampton	97.12	1518	2.88	45	0.00	0	0.00	0	94.24	1473
Edgecombe	92.69	2028	6.17	135	1.10	24	0.05	1	86.52	1893
Bertie	92.64	1461	7.36	116	0.00	0	0.00	0	85.29	1345
Currituck	91.48	945	8.42	87	0.00	0	0.10	1	83.06	858
Halifax	88.51	2312	11.45	299	0.04	1	0.00	0	77.07	2013
Hoke	87.64	780	12.36	110	0.00	0	0.00	0	75.28	670
Scotland	87.26	938	12.74	137	0.00	0	0.00	0	74.51	801
Anson	87.18	2046	12.82	301	0.00	0	0.00	0	74.35	1745
Chowan	86.89	610	12.96	91	0.00	0	0.14	1	73.93	519
Warren	84.28	1217	15.72	227	0.00	0	0.00	0	68.56	990
Martin	83.97	1472	16.03	281	0.00	0	0.00	0	67.94	1191
Franklin	83.86	2057	16.14	396	0.00	0	0.00	0	67.71	1661
New_Hanover	82.72	2355	17.28	492	0.00	0	0.00	0	65.44	1863
Hertford	82.31	977	17.61	209	0.00	0	0.08	1	64.70	768
Pasquotank	81.28	1177	18.65	270	0.00	0	0.07	1	62.64	907
Camden	80.70	368	18.86	86	0.00	0	0.44	2	61.84	282
Pitt	79.79	2839	20.21	719	0.00	0	0.00	0	59.58	2120
Union	79.04	2662	20.84	702	0.12	4	0.00	0	58.19	1960
Greene	78.38	1066	21.62	294	0.00	0	0.00	0	56.76	772
Mecklenburg	78.11	4508	21.78	1257	0.10	6	0.00	0	56.33	3251
Craven	76.66	1780	23.34	542	0.00	0	0.00	0	53.32	1238
Jones	75.34	712	24.66	233	0.00	0	0.00	0	50.69	479
Hyde	74.73	840	24.64	277	0.36	4	0.27	3	50.09	563
Wilson	73.76	2052	26.24	730	0.00	0	0.00	0	47.52	1322
Gates	72.78	826	27.22	309	0.00	0	0.00	0	45.55	517
Granville	72.55	1713	27.45	648	0.00	0	0.00	0	45.11	1065
Nash	72.15	2189	27.22	826	0.63	19	0.00	0	44.92	1363
Vance	72.22	1451	27.78	558	0.00	0	0.00	0	44.45	893
Caswell	71.52	849	28.48	338	0.00	0	0.00	0	43.05	511
Lenoir	71.35	1666	28.57	667	0.09	2	0.00	0	42.78	999
Pender	70.80	970	29.20	400	0.00	0	0.00	0	41.61	570
Richmond	70.49	1553	29.51	650	0.00	0	0.00	0	40.99	903
Perquimans	69.06	645	30.84	288	0.00	0	0.11	1	38.22	357
