County DEM_PCT DEM_NUM GOP_PCT GOP_NUM Margin_PCT Margin_NUM 
Martin	97.76	4628	2.24	106	95.52	4522
Northampton	97.33	3826	2.67	105	94.66	3721
Bertie	97.10	3287	2.90	98	94.21	3189
Greene	96.64	2990	3.36	104	93.28	2886
Pitt	96.46	10067	3.54	369	92.93	9698
Hertford	96.40	2464	3.60	92	92.80	2372
Edgecombe	95.97	7516	4.03	316	91.93	7200
Halifax	95.67	7982	4.33	361	91.35	7621
Franklin	95.42	4724	4.58	227	90.83	4497
Granville	94.85	3924	5.15	213	89.70	3711
Chowan	94.68	1547	5.32	87	89.35	1460
Hoke	94.21	1904	5.79	117	88.42	1787
Currituck	93.76	1532	6.24	102	87.52	1430
Lenoir	93.42	6247	6.58	440	86.84	5807
Nash	93.24	8456	6.76	613	86.48	7843
Wilson	93.13	7912	6.87	584	86.25	7328
Gates	92.78	1388	7.22	108	85.56	1280
Anson	92.46	4552	7.54	371	84.93	4181
Scotland	92.26	2981	7.74	250	84.52	2731
Union	91.89	7179	8.11	634	83.77	6545
Vance	91.80	4252	8.20	380	83.59	3872
Warren	91.55	2676	8.45	247	83.10	2429
Robeson	90.86	9251	9.14	931	81.71	8320
Onslow	89.79	2383	10.21	271	79.58	2112
Richmond	89.34	6530	10.66	779	78.68	5751
Craven	88.70	4916	11.30	626	77.41	4290
Person	88.23	3239	11.77	432	76.46	2807
Pender	88.06	2249	11.94	305	76.12	1944
Camden	87.76	961	12.24	134	75.53	827
Lee	87.48	3682	12.52	527	74.96	3155
Wake	87.16	18083	12.84	2665	74.31	15418
Caswell	86.93	2335	13.07	351	73.86	1984
Pasquotank	86.75	3314	13.25	506	73.51	2808
Columbus	86.33	5900	13.67	934	72.67	4966
Durham	85.60	14810	14.40	2491	71.20	12319
Beaufort	85.52	5528	14.48	936	71.04	4592
Jones	85.47	1371	14.53	233	70.95	1138
Cumberland	84.40	6050	15.60	1118	68.81	4932
Bladen	84.34	2925	15.66	543	68.69	2382
New_Hanover	84.03	8600	15.97	1635	68.05	6965
Perquimans	83.76	1176	16.24	228	67.52	948
Washington	82.65	1724	17.35	362	65.29	1362
Cleveland	82.59	9346	17.41	1970	65.18	7376
Rockingham	82.51	11315	17.49	2398	65.03	8917
Cabarrus	82.03	11776	17.97	2579	64.07	9197
Wayne	81.41	7222	18.59	1649	62.82	5573
Duplin	81.06	5394	18.94	1260	62.13	4134
Mecklenburg	80.40	28768	19.60	7013	60.80	21755
Gaston	80.08	17262	19.92	4294	60.16	12968
Hyde	79.55	1202	20.45	309	59.10	893
Dare	79.40	1214	20.60	315	58.80	899
Haywood	78.55	8631	21.45	2357	57.10	6274
Alamance	77.17	11429	22.83	3382	54.33	8047
Orange	76.95	3673	23.05	1100	53.91	2573
Rowan	76.24	13023	23.76	4059	52.48	8964
Forsyth	74.36	20664	25.64	7125	48.72	13539
Harnett	74.33	6602	25.67	2280	48.66	4322
Buncombe	74.04	24878	25.96	8723	48.08	16155
Tyrrell	73.31	1140	26.69	415	46.62	725
Guilford	73.11	26565	26.89	9770	46.22	16795
Iredell	73.00	10328	27.00	3820	46.00	6508
McDowell	70.48	5290	29.52	2216	40.95	3074
Johnston	70.41	9976	29.59	4192	40.82	5784
Chatham	68.76	4025	31.24	1829	37.51	2196
Carteret	68.53	3896	31.47	1789	37.06	2107
Surry	67.98	8871	32.02	4178	35.96	4693
Rutherford	67.84	8869	32.16	4204	35.68	4665
Caldwell	67.82	6334	32.18	3005	35.65	3329
Catawba	66.51	11233	33.49	5656	33.02	5577
Pamlico	66.48	1448	33.52	730	32.97	718
Jackson	65.44	4563	34.56	2410	30.88	2153
Brunswick	64.10	2717	35.90	1522	28.19	1195
Henderson	63.06	6336	36.94	3712	26.11	2624
Swain	62.96	2422	37.04	1425	25.92	997
Montgomery	62.70	3007	37.30	1789	25.40	1218
Moore	62.60	4330	37.40	2587	25.20	1743
Transylvania	62.13	3312	37.87	2019	24.25	1293
Polk	61.63	2454	38.37	1528	23.25	926
Alleghany	61.60	1952	38.40	1217	23.19	735
Davidson	61.37	11084	38.63	6978	22.73	4106
Lincoln	61.26	4901	38.74	3099	22.53	1802
Stokes	61.18	4274	38.82	2712	22.36	1562
Burke	59.70	7242	40.30	4889	19.40	2353
Yancey	58.10	3489	41.90	2516	16.20	973
Stanly	58.04	6321	41.96	4569	16.09	1752
Graham	56.32	1404	43.68	1089	12.64	315
Macon	55.99	2941	44.01	2312	11.97	629
Alexander	55.27	2739	44.73	2217	10.53	522
Randolph	54.51	8455	45.49	7056	9.02	1399
Cherokee	54.32	3180	45.68	2674	8.64	506
Clay	53.43	1349	46.57	1176	6.85	173
Davie	53.35	2896	46.65	2532	6.71	364
Ashe	53.04	4716	46.96	4175	6.08	541
Watauga	49.16	3615	50.84	3739	-1.69	-124
Yadkin	47.31	3660	52.69	4077	-5.39	-417
Sampson	46.96	5107	53.04	5769	-6.09	-662
Wilkes	46.36	7299	53.64	8446	-7.28	-1147
Madison	40.72	3171	59.28	4617	-18.57	-1446
Mitchell	30.59	1450	69.41	3290	-38.82	-1840
Avery	28.85	1194	71.15	2944	-42.29	-1750
