County GOP_PCT GOP_NUM DEM_PCT DEM_NUM AIP_PCT AIP_NUM Margin_PCT Margin_NUM 
Avery	83.99	3510	15.00	627	1.01	42	68.99	2883
Mitchell	83.45	4240	15.74	800	0.81	41	67.70	3440
Henderson	80.17	12134	17.85	2701	1.98	300	62.33	9433
Onslow	80.05	10343	18.76	2424	1.19	154	61.29	7919
Yadkin	79.16	6824	18.47	1592	2.38	205	60.69	5232
Johnston	79.24	14272	19.37	3488	1.39	251	59.87	10784
Craven	78.74	9372	20.03	2384	1.23	147	58.71	6988
Davie	75.69	5613	21.28	1578	3.03	225	54.41	4035
Randolph	76.02	18724	21.71	5346	2.27	559	54.32	13378
Cabarrus	76.45	18384	22.19	5336	1.36	328	54.26	13048
Gaston	75.76	27956	22.93	8462	1.31	483	52.83	19494
Greene	75.68	2788	22.99	847	1.33	49	52.69	1941
Davidson	74.79	24875	23.12	7691	2.09	696	51.66	17184
Alamance	74.61	22046	23.12	6833	2.27	670	51.48	15213
New_Hanover	74.41	19060	23.01	5894	2.58	661	51.40	13166
Iredell	73.79	16736	22.43	5088	3.78	858	51.35	11648
Dare	75.20	1986	24.01	634	0.80	21	51.19	1352
Catawba	74.46	24106	23.92	7744	1.62	525	50.54	16362
Harnett	74.64	10259	24.35	3347	1.00	138	50.29	6912
Carteret	74.14	8463	24.57	2805	1.29	147	49.57	5658
Lenoir	73.89	11065	24.52	3672	1.59	238	49.37	7393
Rowan	73.34	20735	24.17	6834	2.49	705	49.17	13901
Wilson	73.04	12060	25.23	4166	1.73	286	47.81	7894
Lee	72.71	5836	25.22	2024	2.07	166	47.50	3812
Wilkes	72.83	13105	25.75	4634	1.42	255	47.08	8471
McDowell	72.09	6570	25.76	2348	2.15	196	46.32	4222
Nash	71.39	12679	25.35	4503	3.26	579	46.03	8176
Wayne	72.33	14352	26.38	5234	1.29	256	45.95	9118
Cleveland	72.06	13726	26.22	4994	1.72	328	45.84	8732
Person	71.89	5941	27.18	2246	0.93	77	44.71	3695
Caldwell	71.41	12976	26.89	4886	1.70	309	44.52	8090
Union	71.60	10264	27.11	3886	1.30	186	44.49	6378
Hyde	69.28	1112	25.11	403	5.61	90	44.17	709
