County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,PHB_NUM,PHB_PCT,SOC_NUM,SOC_PCT,POP_NUM,POP_PCT,Margin_NUM,Margin_PCT,Total_NUM
Baker,1458,46.14,1615,51.11,40,1.27,40,1.27,4,0.13,-157,-4.97,3160
Benton,931,52.13,764,42.78,81,4.54,7,0.39,4,0.22,167,9.35,1786
Clackamas,2234,53.86,1641,39.56,118,2.84,125,3.01,22,0.53,593,14.30,4148
Clatsop,1329,62.48,688,32.35,38,1.79,62,2.91,5,0.24,641,30.14,2127
Columbia,863,64.79,403,30.26,31,2.33,29,2.18,5,0.38,460,34.53,1332
Coos,1153,53.90,888,41.51,53,2.48,30,1.40,15,0.70,265,12.39,2139
Crook,474,52.96,381,42.57,16,1.79,19,2.12,3,0.34,93,10.39,895
Curry,308,66.09,152,32.62,3,0.64,2,0.43,1,0.21,156,33.48,466
Douglas,1910,51.92,1624,44.14,75,2.04,51,1.39,17,0.46,286,7.77,3679
Gilliam,419,52.97,343,43.36,22,2.78,6,0.76,2,0.25,76,9.61,791
Grant,911,58.03,613,39.04,15,0.96,25,1.59,5,0.32,298,18.98,1570
Harney,372,47.27,387,49.17,2,0.25,22,2.80,7,0.89,-15,-1.91,787
Jackson,1565,48.17,1525,46.94,68,2.09,72,2.22,25,0.77,40,1.23,3249
Josephine,919,52.51,744,42.51,45,2.57,36,2.06,2,0.11,175,10.00,1750
Klamath,428,55.44,324,41.97,8,1.04,3,0.39,7,0.91,104,13.47,772
Lake,456,65.71,233,33.57,1,0.14,0,0.00,1,0.14,223,32.13,694
Lane,2521,53.12,2037,42.92,133,2.80,47,0.99,7,0.15,484,10.20,4746
Lincoln,472,59.97,266,33.80,8,1.02,33,4.19,5,0.64,206,26.18,787
Linn,1927,45.13,1997,46.77,228,5.34,94,2.20,27,0.63,-70,-1.64,4270
Malheur,478,48.04,486,48.84,18,1.81,6,0.60,5,0.50,-8,-0.80,995
Marion,3112,54.36,2318,40.49,187,3.27,85,1.48,21,0.37,794,13.87,5725
Morrow,723,62.65,358,31.02,41,3.55,27,2.34,3,0.26,365,31.63,1154
Multnomah,9948,65.46,4436,29.19,455,2.99,354,2.33,12,0.08,5512,36.27,15198
Polk,1163,50.61,991,43.12,102,4.44,18,0.78,25,1.09,172,7.48,2298
Sherman,451,48.65,385,41.53,82,8.85,6,0.65,1,0.11,66,7.12,927
Tillamook,623,60.19,313,30.24,73,7.05,24,2.32,2,0.19,310,29.95,1035
Umatilla,1975,52.06,1638,43.17,130,3.43,45,1.19,7,0.18,337,8.88,3794
Union,1512,45.93,1646,50.00,57,1.73,66,2.00,10,0.30,-134,-4.07,3292
Wallowa,651,52.33,559,44.94,21,1.69,7,0.56,5,0.40,92,7.40,1244
Wasco,1576,57.37,1038,37.79,85,3.09,35,1.27,18,0.66,538,19.59,2747
Washington,1655,56.14,1114,37.79,126,4.27,47,1.59,6,0.20,541,18.35,2948
Wheeler,426,62.01,243,35.37,10,1.46,5,0.73,3,0.44,183,26.64,687
Yamhill,1583,52.35,1235,40.84,164,5.42,36,1.19,3,0.10,348,11.51,3024
Totals,46526,55.25,33385,39.64,2536,3.01,1464,1.74,285,0.34,13141,15.60,84216
