County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,SOC_NUM,SOC_PCT,PHB_NUM,PHB_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,1984,74.11,501,18.71,187,6.99,5,0.19,1483,55.40,2677
Andrews,71,95.95,0,0.00,3,4.05,0,0.00,68,91.89,74
Angelina,1344,76.54,75,4.27,335,19.08,2,0.11,1009,57.46,1756
Aransas,179,84.83,24,11.37,6,2.84,2,0.95,155,73.46,211
Archer,527,78.54,104,15.50,34,5.07,6,0.89,423,63.04,671
Armstrong,353,86.73,43,10.57,6,1.47,5,1.23,310,76.17,407
Atascosa,635,78.40,119,14.69,44,5.43,12,1.48,516,63.70,810
Austin,960,58.43,673,40.96,10,0.61,0,0.00,287,17.47,1643
Bandera,537,71.41,168,22.34,44,5.85,3,0.40,369,49.07,752
Bastrop,1335,69.93,550,28.81,21,1.10,3,0.16,785,41.12,1909
Baylor,711,85.05,47,5.62,74,8.85,4,0.48,637,76.20,836
Bee,584,76.14,152,19.82,29,3.78,2,0.26,432,56.32,767
Bell,3615,86.75,356,8.54,162,3.89,34,0.82,3259,78.21,4167
Bexar,7008,55.12,5483,43.13,187,1.47,36,0.28,1525,11.99,12714
Blanco,628,70.96,235,26.55,19,2.15,3,0.34,393,44.41,885
Borden,84,92.31,1,1.10,3,3.30,3,3.30,81,89.01,91
Bosque,1561,85.91,179,9.85,73,4.02,4,0.22,1382,76.06,1817
Bowie,1941,73.69,414,15.72,273,10.36,6,0.23,1527,57.97,2634
Brazoria,1033,59.78,581,33.62,80,4.63,34,1.97,452,26.16,1728
Brazos,1027,78.52,273,20.87,3,0.23,5,0.38,754,57.65,1308
Brewster,207,80.23,43,16.67,7,2.71,1,0.39,164,63.57,258
Briscoe,260,90.91,4,1.40,22,7.69,0,0.00,238,83.22,286
Brooks,101,60.48,63,37.72,1,0.60,2,1.20,38,22.75,167
Brown,1986,87.22,181,7.95,104,4.57,6,0.26,1805,79.27,2277
Burleson,1208,80.80,262,17.53,23,1.54,2,0.13,946,63.28,1495
Burnet,913,86.29,115,10.87,23,2.17,7,0.66,798,75.43,1058
Caldwell,1216,83.40,225,15.43,15,1.03,2,0.14,991,67.97,1458
Calhoun,388,71.32,84,15.44,64,11.76,8,1.47,304,55.88,544
Callahan,959,85.55,74,6.60,83,7.40,5,0.45,876,78.14,1121
Cameron,1260,73.43,420,24.48,25,1.46,11,0.64,840,48.95,1716
Camp,721,74.79,206,21.37,35,3.63,2,0.21,515,53.42,964
Carson,326,78.74,78,18.84,7,1.69,3,0.72,248,59.90,414
Cass,1505,64.43,707,30.27,124,5.31,0,0.00,798,34.16,2336
Castro,176,69.84,69,27.38,5,1.98,2,0.79,107,42.46,252
Chambers,239,61.92,101,26.17,43,11.14,3,0.78,138,35.75,386
Cherokee,2002,80.34,241,9.67,245,9.83,4,0.16,1757,70.51,2492
Childress,948,89.52,31,2.93,77,7.27,3,0.28,871,82.25,1059
Clay,1324,84.87,177,11.35,54,3.46,5,0.32,1147,73.53,1560
Coke,484,86.74,29,5.20,42,7.53,3,0.54,442,79.21,558
Coleman,1700,85.86,96,4.85,182,9.19,2,0.10,1518,76.67,1980
Collin,4141,83.94,594,12.04,190,3.85,8,0.16,3547,71.90,4933
Collingsworth,589,86.62,31,4.56,54,7.94,6,0.88,535,78.68,680
Colorado,1041,70.29,358,24.17,76,5.13,6,0.41,683,46.12,1481
Comal,432,35.61,743,61.25,38,3.13,0,0.00,-311,-25.64,1213
Comanche,1494,76.38,148,7.57,301,15.39,13,0.66,1193,60.99,1956
Concho,418,82.12,36,7.07,53,10.41,2,0.39,365,71.71,509
Cooke,2273,83.11,353,12.91,106,3.88,3,0.11,1920,70.20,2735
Coryell,1802,87.26,188,9.10,72,3.49,3,0.15,1614,78.16,2065
Cottle,455,85.05,12,2.24,67,12.52,1,0.19,388,72.52,535
Crockett,65,75.58,16,18.60,5,5.81,0,0.00,49,56.98,86
Crosby,456,85.55,31,5.82,46,8.63,0,0.00,410,76.92,533
Culberson,124,97.64,2,1.57,1,0.79,0,0.00,122,96.06,127
Dallam,363,74.08,81,16.53,39,7.96,7,1.43,282,57.55,490
Dallas,13410,82.51,2554,15.71,184,1.13,105,0.65,10856,66.79,16253
