County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,PRO_NUM,PRO_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,374,31.40,562,47.19,255,21.41,-188,-15.79,1191
Andrews,60,84.51,7,9.86,4,5.63,53,74.65,71
Angelina,3914,88.57,333,7.54,172,3.89,3581,81.04,4419
Aransas,195,70.14,75,26.98,8,2.88,120,43.17,278
Archer,883,79.05,146,13.07,88,7.88,737,65.98,1117
Armstrong,426,76.62,106,19.06,24,4.32,320,57.55,556
Atascosa,869,62.56,303,21.81,217,15.62,566,40.75,1389
Austin,2601,71.71,457,12.60,569,15.69,2032,56.02,3627
Bailey,166,66.40,63,25.20,21,8.40,103,41.20,250
Bandera,425,46.00,442,47.84,57,6.17,-17,-1.84,924
Bastrop,2711,78.53,494,14.31,247,7.16,2217,64.22,3452
Baylor,1012,87.02,135,11.61,16,1.38,877,75.41,1163
Bee,897,45.14,944,47.51,146,7.35,-47,-2.37,1987
Bell,7273,76.91,1632,17.26,552,5.84,5641,59.65,9457
Bexar,10838,43.88,9898,40.07,3963,16.05,940,3.81,24699
Blanco,586,54.36,317,29.41,175,16.23,269,24.95,1078
Borden,73,42.69,98,57.31,0,0.00,-25,-14.62,171
Bosque,2524,83.94,403,13.40,80,2.66,2121,70.54,3007
Bowie,3455,77.40,740,16.58,269,6.03,2715,60.82,4464
Brazoria,1761,58.82,1114,37.21,119,3.97,647,21.61,2994
Brazos,2128,87.07,255,10.43,61,2.50,1873,76.64,2444
Brewster,366,73.20,113,22.60,21,4.20,253,50.60,500
Briscoe,397,83.40,53,11.13,26,5.46,344,72.27,476
Brooks,205,76.49,59,22.01,4,1.49,146,54.48,268
Brown,3467,87.48,396,9.99,100,2.52,3071,77.49,3963
Burleson,2496,90.96,224,8.16,24,0.87,2272,82.80,2744
Burnet,1725,83.74,277,13.45,58,2.82,1448,70.29,2060
Caldwell,2194,78.44,399,14.27,204,7.29,1795,64.18,2797
Calhoun,686,76.05,181,20.07,35,3.88,505,55.99,902
Callahan,1614,82.94,244,12.54,88,4.52,1370,70.40,1946
Cameron,2225,60.68,1266,34.52,176,4.80,959,26.15,3667
Camp,1186,83.76,187,13.21,43,3.04,999,70.55,1416
Carson,611,64.18,306,32.14,35,3.68,305,32.04,952
Cass,2125,66.18,997,31.05,89,2.77,1128,35.13,3211
Castro,219,59.35,68,18.43,82,22.22,137,37.13,369
Chambers,315,57.80,219,40.18,11,2.02,96,17.61,545
Cherokee,4343,85.17,666,13.06,90,1.77,3677,72.11,5099
Childress,1117,81.77,178,13.03,71,5.20,939,68.74,1366
Clay,1402,76.49,318,17.35,113,6.16,1084,59.14,1833
Cochran,59,81.94,9,12.50,4,5.56,50,69.44,72
Coke,673,87.86,80,10.44,13,1.70,593,77.42,766
Coleman,2763,82.70,502,15.03,76,2.27,2261,67.67,3341
Collin,7215,77.04,1981,21.15,169,1.80,5234,55.89,9365
Collingsworth,731,73.99,234,23.68,23,2.33,497,50.30,988
Colorado,2105,66.57,681,21.54,376,11.89,1424,45.03,3162
Comal,330,13.39,312,12.66,1823,73.96,-1493,-60.57,2465
Comanche,376,39.75,456,48.20,114,12.05,-80,-8.46,946
Concho,668,85.53,90,11.52,23,2.94,578,74.01,781
Cooke,3170,77.58,525,12.85,391,9.57,2645,64.73,4086
Coryell,2890,85.28,429,12.66,70,2.07,2461,72.62,3389
Cottle,580,88.15,59,8.97,19,2.89,521,79.18,658
Crockett,69,37.91,112,61.54,1,0.55,-43,-23.63,182
Crosby,1242,79.92,278,17.89,34,2.19,964,62.03,1554
Culberson,93,79.49,15,12.82,9,7.69,78,66.67,117
Dallam,506,48.42,254,24.31,285,27.27,221,21.15,1045
Dallas,30207,76.99,8018,20.43,1012,2.58,22189,56.55,39237
Dawson,1079,83.06,185,14.24,35,2.69,894,68.82,1299
De_Witt,2131,56.21,868,22.90,792,20.89,1263,33.32,3791
Deaf_Smith,538,70.51,192,25.16,33,4.33,346,45.35,763
Delta,2186,80.49,479,17.64,51,1.88,1707,62.85,2716
Denton,4708,81.10,712,12.27,385,6.63,3996,68.84,5805
Dickens,849,83.24,161,15.78,10,0.98,688,67.45,1020
Dimmit,289,58.62,180,36.51,24,4.87,109,22.11,493
Donley,893,72.37,273,22.12,68,5.51,620,50.24,1234
Duval,1290,92.14,89,6.36,21,1.50,1201,85.79,1400
Eastland,4548,80.04,972,17.11,162,2.85,3576,62.94,5682
Ector,138,89.03,12,7.74,5,3.23,126,81.29,155
Edwards,204,36.17,346,61.35,14,2.48,-142,-25.18,564
El_Paso,6220,54.90,4078,35.99,1032,9.11,2142,18.91,11330
Ellis,7678,84.93,1220,13.50,142,1.57,6458,71.44,9040
Erath,3396,85.89,406,10.27,152,3.84,2990,75.62,3954
Falls,2817,81.51,448,12.96,191,5.53,2369,68.55,3456
Fannin,5596,86.60,653,10.11,213,3.30,4943,76.49,6462
Fayette,3851,59.66,1450,22.46,1154,17.88,2401,37.20,6455
Fisher,1653,82.12,302,15.00,58,2.88,1351,67.11,2013
Floyd,1197,85.99,166,11.93,29,2.08,1031,74.07,1392
Foard,585,81.82,95,13.29,35,4.90,490,68.53,715
Fort_Bend,1690,75.11,356,15.82,204,9.07,1334,59.29,2250
Franklin,1157,86.60,118,8.83,61,4.57,1039,77.77,1336
Freestone,2484,78.31,608,19.17,80,2.52,1876,59.14,3172
Frio,637,78.84,158,19.55,13,1.61,479,59.28,808
Gaines,342,77.55,37,8.39,62,14.06,280,63.49,441
Galveston,5068,66.52,1912,25.10,639,8.39,3156,41.42,7619
Garza,588,62.29,331,35.06,25,2.65,257,27.22,944
Gillespie,352,13.03,768,28.42,1582,58.55,-814,-30.13,2702
Glasscock,89,81.65,14,12.84,6,5.50,75,68.81,109
Goliad,733,54.99,438,32.86,162,12.15,295,22.13,1333
Gonzales,2499,75.96,463,14.07,328,9.97,2036,61.88,3290
Gray,608,51.14,581,48.86,0,0.00,27,2.27,1189
Grayson,7413,71.73,1973,19.09,949,9.18,5440,52.64,10335
Gregg,1286,76.96,177,10.59,208,12.45,1078,64.51,1671
Grimes,2136,91.09,177,7.55,32,1.36,1959,83.54,2345
Guadalupe,831,20.32,1657,40.52,1601,39.15,56,1.37,4089
Hale,1446,70.85,507,24.84,88,4.31,939,46.01,2041
Hall,1060,78.34,229,16.93,64,4.73,831,61.42,1353
Hamilton,2035,87.45,202,8.68,90,3.87,1833,78.77,2327
Hansford,263,72.45,76,20.94,24,6.61,187,51.52,363
Hardeman,1099,78.05,256,18.18,53,3.76,843,59.87,1408
Hardin,1516,66.55,645,28.31,117,5.14,871,38.24,2278
Harris,20648,63.57,8953,27.57,2878,8.86,11695,36.01,32479
Harrison,2573,78.88,463,14.19,226,6.93,2110,64.68,3262
Hartley,156,64.20,61,25.10,26,10.70,95,39.09,243
Haskell,2050,78.66,428,16.42,128,4.91,1622,62.24,2606
Hays,1616,77.36,394,18.86,79,3.78,1222,58.50,2089
Hemphill,405,62.99,167,25.97,71,11.04,238,37.01,643
Henderson,3819,88.73,405,9.41,80,1.86,3414,79.32,4304
Hidalgo,3662,75.16,996,20.44,214,4.39,2666,54.72,4872
Hill,5778,86.39,807,12.07,103,1.54,4971,74.33,6688
Hockley,69,73.40,20,21.28,5,5.32,49,52.13,94
Hood,1074,85.51,122,9.71,60,4.78,952,75.80,1256
Hopkins,4156,85.97,557,11.52,121,2.50,3599,74.45,4834
Houston,3289,86.92,457,12.08,38,1.00,2832,74.84,3784
Howard,1100,76.02,186,12.85,161,11.13,914,63.17,1447
Hudspeth,84,59.15,34,23.94,24,16.90,50,35.21,142
Hunt,6828,87.43,836,10.70,146,1.87,5992,76.72,7810
Hutchinson,159,67.95,69,29.49,6,2.56,90,38.46,234
Irion,205,71.18,73,25.35,10,3.47,132,45.83,288
Jack,1154,78.50,290,19.73,26,1.77,864,58.78,1470
Jackson,758,64.84,354,30.28,57,4.88,404,34.56,1169
Jasper,1526,88.77,176,10.24,17,0.99,1350,78.53,1719
Jeff_Davis,117,63.59,49,26.63,18,9.78,68,36.96,184
Jefferson,5925,55.09,4348,40.42,483,4.49,1577,14.66,10756
Jim_Hogg,139,87.97,19,12.03,0,0.00,120,75.95,158
Jim_Wells,654,65.93,213,21.47,125,12.60,441,44.46,992
Johnson,4600,79.85,851,14.77,310,5.38,3749,65.08,5761
Jones,3010,81.86,566,15.39,101,2.75,2444,66.47,3677
Karnes,1727,69.19,531,21.27,238,9.54,1196,47.92,2496
Kaufman,5573,85.33,884,13.54,74,1.13,4689,71.80,6531
Kendall,136,11.04,689,55.93,407,33.04,282,22.89,1232
Kenedy,67,89.33,7,9.33,1,1.33,60,80.00,75
Kent,386,81.43,80,16.88,8,1.69,306,64.56,474
Kerr,735,40.63,892,49.31,182,10.06,-157,-8.68,1809
Kimble,465,65.77,223,31.54,19,2.69,242,34.23,707
King,83,95.40,4,4.60,0,0.00,79,90.80,87
Kinney,144,45.71,158,50.16,13,4.13,-14,-4.44,315
Kleberg,721,63.52,206,18.15,208,18.33,513,45.20,1135
Knox,1399,72.30,455,23.51,81,4.19,944,48.79,1935
La_Salle,458,84.66,73,13.49,10,1.85,385,71.16,541
Lamar,5224,87.37,596,9.97,159,2.66,4628,77.40,5979
Lamb,356,70.22,121,23.87,30,5.92,235,46.35,507
Lampasas,1596,86.46,228,12.35,22,1.19,1368,74.11,1846
Lavaca,3290,62.42,746,14.15,1235,23.43,2055,38.99,5271
Lee,1561,68.35,271,11.87,452,19.79,1109,48.56,2284
Leon,2004,83.71,311,12.99,79,3.30,1693,70.72,2394
Liberty,1506,68.80,639,29.19,44,2.01,867,39.61,2189
Limestone,4868,89.58,523,9.62,43,0.79,4345,79.96,5434
Lipscomb,430,45.31,405,42.68,114,12.01,25,2.63,949
Live_Oak,596,57.20,353,33.88,93,8.93,243,23.32,1042
Llano,928,86.17,88,8.17,61,5.66,840,77.99,1077
Loving,12,85.71,2,14.29,0,0.00,10,71.43,14
Lubbock,1710,73.93,411,17.77,192,8.30,1299,56.16,2313
Lynn,1131,75.35,313,20.85,57,3.80,818,54.50,1501
Madison,1592,91.34,146,8.38,5,0.29,1446,82.96,1743
Marion,620,58.99,347,33.02,84,7.99,273,25.98,1051
Martin,327,76.76,92,21.60,7,1.64,235,55.16,426
Mason,384,53.48,171,23.82,163,22.70,213,29.67,718
Matagorda,1353,56.99,893,37.62,128,5.39,460,19.38,2374
Maverick,199,40.53,261,53.16,31,6.31,-62,-12.63,491
McCulloch,1327,71.96,495,26.84,22,1.19,832,45.12,1844
McLennan,7882,73.52,2384,22.24,455,4.24,5498,51.28,10721
McMullen,109,48.88,111,49.78,3,1.35,-2,-0.90,223
Medina,986,43.26,816,35.81,477,20.93,170,7.46,2279
Menard,304,52.60,247,42.73,27,4.67,57,9.86,578
Midland,399,89.26,44,9.84,4,0.89,355,79.42,447
Milam,5087,80.31,930,14.68,317,5.00,4157,65.63,6334
Mills,1289,85.08,175,11.55,51,3.37,1114,73.53,1515
Mitchell,1242,85.89,169,11.69,35,2.42,1073,74.20,1446
Montague,2236,68.40,586,17.93,447,13.67,1650,50.47,3269
Montgomery,1500,88.81,166,9.83,23,1.36,1334,78.98,1689
Moore,82,89.13,9,9.78,1,1.09,73,79.35,92
Morris,964,81.76,215,18.24,0,0.00,749,63.53,1179
Motley,453,86.29,62,11.81,10,1.90,391,74.48,525
Nacogdoches,3418,93.16,204,5.56,47,1.28,3214,87.60,3669
Navarro,6408,85.66,996,13.31,77,1.03,5412,72.34,7481
Newton,782,82.49,145,15.30,21,2.22,637,67.19,948
Nolan,1421,77.23,337,18.32,82,4.46,1084,58.91,1840
Nueces,3214,65.89,1537,31.51,127,2.60,1677,34.38,4878
Ochiltree,352,62.63,155,27.58,55,9.79,197,35.05,562
Oldham,187,68.75,71,26.10,14,5.15,116,42.65,272
Orange,1385,71.65,509,26.33,39,2.02,876,45.32,1933
Palo_Pinto,1926,73.20,473,17.98,232,8.82,1453,55.23,2631
Panola,2088,93.51,119,5.33,26,1.16,1969,88.18,2233
Parker,2391,80.26,438,14.70,150,5.04,1953,65.56,2979
Parmer,214,62.76,91,26.69,36,10.56,123,36.07,341
Pecos,440,66.47,192,29.00,30,4.53,248,37.46,662
Polk,1839,85.85,272,12.70,31,1.45,1567,73.16,2142
Potter,2394,62.82,831,21.81,586,15.38,1563,41.01,3811
Presidio,267,76.72,68,19.54,13,3.74,199,57.18,348
Rains,899,81.88,151,13.75,48,4.37,748,68.12,1098
Randall,627,74.20,154,18.22,64,7.57,473,55.98,845
Reagan,111,77.08,31,21.53,2,1.39,80,55.56,144
Real,188,37.75,300,60.24,10,2.01,-112,-22.49,498
Red_River,3183,89.84,311,8.78,49,1.38,2872,81.06,3543
Reeves,387,75.59,96,18.75,29,5.66,291,56.84,512
Refugio,585,62.63,256,27.41,93,9.96,329,35.22,934
Roberts,241,69.45,104,29.97,2,0.58,137,39.48,347
Robertson,1487,64.60,751,32.62,64,2.78,736,31.97,2302
Rockwall,1371,93.20,93,6.32,7,0.48,1278,86.88,1471
Runnels,2564,81.09,458,14.48,140,4.43,2106,66.60,3162
Rusk,3097,81.18,651,17.06,67,1.76,2446,64.12,3815
Sabine,1150,94.42,61,5.01,7,0.57,1089,89.41,1218
San_Augustine,1475,94.43,78,4.99,9,0.58,1397,89.44,1562
San_Jacinto,585,83.57,104,14.86,11,1.57,481,68.71,700
San_Patricio,1197,52.89,987,43.61,79,3.49,210,9.28,2263
San_Saba,1814,89.94,187,9.27,16,0.79,1627,80.66,2017
Schleicher,246,67.40,118,32.33,1,0.27,128,35.07,365
Scurry,1292,80.25,269,16.71,49,3.04,1023,63.54,1610
Shackelford,729,50.07,727,49.93,0,0.00,2,0.14,1456
Shelby,3408,92.16,160,4.33,130,3.52,3248,87.83,3698
Sherman,188,62.67,87,29.00,25,8.33,101,33.67,300
Smith,4473,78.16,1079,18.85,171,2.99,3394,59.30,5723
Somervell,403,85.93,42,8.96,24,5.12,361,76.97,469
Starr,756,97.05,23,2.95,0,0.00,733,94.09,779
Stephens,2184,82.07,372,13.98,105,3.95,1812,68.09,2661
Sterling,243,90.33,25,9.29,1,0.37,218,81.04,269
Stonewall,778,72.91,171,16.03,118,11.06,607,56.89,1067
Sutton,143,53.16,124,46.10,2,0.74,19,7.06,269
Swisher,573,65.19,272,30.94,34,3.87,301,34.24,879
Tarrant,13673,61.73,5859,26.45,2619,11.82,7814,35.28,22151
Taylor,3157,86.26,441,12.05,62,1.69,2716,74.21,3660
Terrell,109,34.49,122,38.61,85,26.90,-13,-4.11,316
Terry,823,82.22,160,15.98,18,1.80,663,66.23,1001
Throckmorton,539,74.97,174,24.20,6,0.83,365,50.76,719
Titus,1589,81.70,348,17.89,8,0.41,1241,63.80,1945
Tom_Green,2116,75.73,554,19.83,124,4.44,1562,55.91,2794
Travis,7573,77.06,1909,19.43,345,3.51,5664,57.64,9827
Trinity,1504,88.89,146,8.63,42,2.48,1358,80.26,1692
Tyler,929,88.98,90,8.62,25,2.39,839,80.36,1044
Upshur,2611,89.69,258,8.86,42,1.44,2353,80.83,2911
Upton,35,87.50,4,10.00,1,2.50,31,77.50,40
Uvalde,1312,76.50,351,20.47,52,3.03,961,56.03,1715
Val_Verde,434,43.49,457,45.79,107,10.72,-23,-2.30,998
Van_Zandt,3957,79.16,1038,20.76,4,0.08,2919,58.39,4999
Victoria,1653,68.36,459,18.98,306,12.66,1194,49.38,2418
Walker,1792,89.78,201,10.07,3,0.15,1591,79.71,1996
Waller,1239,84.80,203,13.89,19,1.30,1036,70.91,1461
Ward,206,75.18,42,15.33,26,9.49,164,59.85,274
Washington,3568,86.25,496,11.99,73,1.76,3072,74.26,4137
Webb,1313,73.19,429,23.91,52,2.90,884,49.28,1794
Wharton,2020,67.58,858,28.71,111,3.71,1162,38.88,2989
Wheeler,908,78.89,197,17.12,46,4.00,711,61.77,1151
Wichita,5831,68.75,2189,25.81,461,5.44,3642,42.94,8481
Wilbarger,1222,77.44,269,17.05,87,5.51,953,60.39,1578
Willacy,307,70.74,110,25.35,17,3.92,197,45.39,434
Williamson,6324,83.45,934,12.33,320,4.22,5390,71.13,7578
Wilson,1633,66.54,495,20.17,326,13.28,1138,46.37,2454
Winkler,15,93.75,1,6.25,0,0.00,14,87.50,16
Wise,2958,81.24,532,14.61,151,4.15,2426,66.63,3641
Wood,2806,85.55,342,10.43,132,4.02,2464,75.12,3280
Yoakum,95,84.82,9,8.04,8,7.14,86,76.79,112
Young,2000,84.28,322,13.57,51,2.15,1678,70.71,2373
Zapata,300,60.24,197,39.56,1,0.20,103,20.68,498
Zavala,326,71.96,95,20.97,32,7.06,231,50.99,453
Totals,484605,73.70,130023,19.78,42881,6.52,355621,53.92,675509
