County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,1814,50.94,1747,49.06,0,0.00,67,1.88,3561
Andrews,66,72.53,25,27.47,0,0.00,41,45.05,91
Angelina,1209,34.41,2305,65.59,0,0.00,-1096,-31.19,3514
Aransas,161,51.44,152,48.56,0,0.00,9,2.88,313
Archer,799,48.02,865,51.98,0,0.00,-66,-3.97,1664
Armstrong,316,45.80,373,54.06,1,0.14,-57,-8.26,690
Atascosa,888,56.56,682,43.44,0,0.00,206,13.12,1570
Austin,466,17.94,2129,81.98,2,0.08,-1663,-64.04,2597
Bailey,410,74.28,142,25.72,0,0.00,268,48.55,552
Bandera,936,74.52,317,25.24,3,0.24,619,49.28,1256
Bastrop,850,35.65,1534,64.35,0,0.00,-684,-28.69,2384
Baylor,491,38.51,784,61.49,0,0.00,-293,-22.98,1275
Bee,1189,53.18,1043,46.65,4,0.18,146,6.53,2236
Bell,3366,52.17,3079,47.72,7,0.11,287,4.45,6452
Bexar,16477,49.69,16626,50.14,57,0.17,-149,-0.45,33160
Blanco,615,53.25,539,46.67,1,0.09,76,6.58,1155
Borden,98,57.31,73,42.69,0,0.00,25,14.62,171
Bosque,1526,55.19,1235,44.67,4,0.14,291,10.52,2765
Bowie,2225,42.57,3002,57.43,0,0.00,-777,-14.87,5227
Brazoria,1588,59.39,1086,40.61,0,0.00,502,18.77,2674
Brazos,738,33.23,1480,66.64,3,0.14,-742,-33.41,2221
Brewster,406,59.36,273,39.91,5,0.73,133,19.44,684
Briscoe,301,46.96,336,52.42,4,0.62,-35,-5.46,641
Brooks,160,32.52,332,67.48,0,0.00,-172,-34.96,492
Brown,2033,50.46,1992,49.44,4,0.10,41,1.02,4029
Burleson,339,17.87,1558,82.13,0,0.00,-1219,-64.26,1897
Burnet,936,66.67,467,33.26,1,0.07,469,33.40,1404
Caldwell,1189,49.54,1211,50.46,0,0.00,-22,-0.92,2400
Calhoun,333,46.84,375,52.74,3,0.42,-42,-5.91,711
Callahan,979,51.02,940,48.98,0,0.00,39,2.03,1919
Cameron,3544,52.45,3202,47.39,11,0.16,342,5.06,6757
Camp,494,43.56,640,56.44,0,0.00,-146,-12.87,1134
Carson,891,60.04,592,39.89,1,0.07,299,20.15,1484
Cass,1323,43.79,1698,56.21,0,0.00,-375,-12.41,3021
Castro,319,45.38,384,54.62,0,0.00,-65,-9.25,703
Chambers,256,51.41,242,48.59,0,0.00,14,2.81,498
Cherokee,1933,49.94,1938,50.06,0,0.00,-5,-0.13,3871
Childress,1438,66.45,726,33.55,0,0.00,712,32.90,2164
Clay,1327,53.36,1160,46.64,0,0.00,167,6.71,2487
Cochran,197,64.38,109,35.62,0,0.00,88,28.76,306
Coke,450,68.60,206,31.40,0,0.00,244,37.20,656
Coleman,1645,53.00,1459,47.00,0,0.00,186,5.99,3104
Collin,3476,50.55,3377,49.11,23,0.33,99,1.44,6876
Collingsworth,1179,65.98,608,34.02,0,0.00,571,31.95,1787
Colorado,891,33.22,1787,66.63,4,0.15,-896,-33.41,2682
Comal,508,21.14,1893,78.78,2,0.08,-1385,-57.64,2403
Comanche,1483,53.08,1311,46.92,0,0.00,172,6.16,2794
Concho,446,50.97,426,48.69,3,0.34,20,2.29,875
Cooke,2262,53.99,1924,45.92,4,0.10,338,8.07,4190
Coryell,1123,46.21,1306,53.74,1,0.04,-183,-7.53,2430
Cottle,473,51.19,451,48.81,0,0.00,22,2.38,924
Crane,127,44.41,159,55.59,0,0.00,-32,-11.19,286
Crockett,291,81.97,64,18.03,0,0.00,227,63.94,355
Crosby,1004,57.97,728,42.03,0,0.00,276,15.94,1732
Culberson,72,45.86,85,54.14,0,0.00,-13,-8.28,157
Dallam,618,53.00,539,46.23,9,0.77,79,6.78,1166
Dallas,27272,60.89,17437,38.93,78,0.17,9835,21.96,44787
Dawson,1448,77.23,427,22.77,0,0.00,1021,54.45,1875
Deaf_Smith,570,58.10,411,41.90,0,0.00,159,16.21,981
Delta,753,43.96,958,55.93,2,0.12,-205,-11.97,1713
Denton,2587,51.89,2384,47.81,15,0.30,203,4.07,4986
DeWitt,1142,41.66,1594,58.15,5,0.18,-452,-16.49,2741
Dickens,741,64.10,415,35.90,0,0.00,326,28.20,1156
Dimmit,626,70.81,258,29.19,0,0.00,368,41.63,884
Donley,1092,68.90,491,30.98,2,0.13,601,37.92,1585
Duval,434,25.85,1245,74.15,0,0.00,-811,-48.30,1679
Eastland,3233,56.38,2501,43.62,0,0.00,732,12.77,5734
Ector,168,52.66,151,47.34,0,0.00,17,5.33,319
Edwards,546,89.66,59,9.69,4,0.66,487,79.97,609
Ellis,3569,44.72,4399,55.12,13,0.16,-830,-10.40,7981
El_Paso,6050,49.74,6114,50.26,0,0.00,-64,-0.53,12164
Erath,1923,56.94,1372,40.63,82,2.43,551,16.32,3377
Falls,877,26.04,2484,73.75,7,0.21,-1607,-47.71,3368
Fannin,2122,45.62,2525,54.29,4,0.09,-403,-8.66,4651
Fayette,689,15.87,3647,84.01,5,0.12,-2958,-68.14,4341
Fisher,1259,60.07,837,39.93,0,0.00,422,20.13,2096
Floyd,1176,63.84,666,36.16,0,0.00,510,27.69,1842
Foard,430,47.51,466,51.49,9,0.99,-36,-3.98,905
Fort_Bend,631,26.77,1724,73.14,2,0.08,-1093,-46.37,2357
Franklin,386,35.12,713,64.88,0,0.00,-327,-29.75,1099
Freestone,1178,47.14,1318,52.74,3,0.12,-140,-5.60,2499
Frio,673,72.21,258,27.68,1,0.11,415,44.53,932
Gaines,312,69.03,140,30.97,0,0.00,172,38.05,452
