County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,SOC_NUM,SOC_PCT,LIB_NUM,LIB_PCT,COM_NUM,COM_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,4354,94.10,259,5.60,14,0.30,0,0.00,0,0.00,4095,88.50,4627
Andrews,186,96.37,6,3.11,0,0.00,1,0.52,0,0.00,180,93.26,193
Angelina,4962,94.46,287,5.46,4,0.08,0,0.00,0,0.00,4675,89.00,5253
Aransas,268,87.01,39,12.66,1,0.32,0,0.00,0,0.00,229,74.35,308
Archer,1555,94.01,97,5.86,2,0.12,0,0.00,0,0.00,1458,88.15,1654
Armstrong,813,92.70,63,7.18,1,0.11,0,0.00,0,0.00,750,85.52,877
Atascosa,2101,91.07,192,8.32,14,0.61,0,0.00,0,0.00,1909,82.75,2307
Austin,2806,94.96,142,4.81,7,0.24,0,0.00,0,0.00,2664,90.15,2955
Bailey,851,88.83,104,10.86,3,0.31,0,0.00,0,0.00,747,77.97,958
Bandera,883,70.70,359,28.74,6,0.48,1,0.08,0,0.00,524,41.95,1249
Bastrop,3077,94.42,180,5.52,1,0.03,0,0.00,1,0.03,2897,88.89,3259
Baylor,1437,96.25,55,3.68,1,0.07,0,0.00,0,0.00,1382,92.57,1493
Bee,2180,80.03,534,19.60,8,0.29,0,0.00,2,0.07,1646,60.43,2724
Bell,7607,91.06,724,8.67,23,0.28,0,0.00,0,0.00,6883,82.39,8354
Bexar,37765,82.83,7466,16.37,332,0.73,18,0.04,13,0.03,30299,66.45,45594
Blanco,1233,90.20,127,9.29,7,0.51,0,0.00,0,0.00,1106,80.91,1367
Borden,242,97.19,7,2.81,0,0.00,0,0.00,0,0.00,235,94.38,249
Bosque,3214,92.12,272,7.80,3,0.09,0,0.00,0,0.00,2942,84.32,3489
Bowie,5269,90.39,541,9.28,19,0.33,0,0.00,0,0.00,4728,81.11,5829
Brazoria,2948,82.44,617,17.25,11,0.31,0,0.00,0,0.00,2331,65.18,3576
Brazos,2588,92.40,195,6.96,18,0.64,0,0.00,0,0.00,2393,85.43,2801
