County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,UNI_NUM,UNI_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,3749,92.80,289,7.15,0,0.00,2,0.05,3460,85.64,4040
Andrews,287,93.79,18,5.88,0,0.00,1,0.33,269,87.91,306
Angelina,3943,91.91,342,7.97,1,0.02,4,0.09,3601,83.94,4290
Aransas,206,74.37,60,21.66,8,2.89,3,1.08,146,52.71,277
Archer,1672,91.77,146,8.01,4,0.22,0,0.00,1526,83.75,1822
Armstrong,897,96.14,33,3.54,3,0.32,0,0.00,864,92.60,933
Atascosa,2041,86.85,285,12.13,17,0.72,7,0.30,1756,74.72,2350
Austin,1635,84.76,290,15.03,2,0.10,2,0.10,1345,69.73,1929
Bailey,788,79.36,191,19.23,10,1.01,4,0.40,597,60.12,993
Bandera,720,61.49,431,36.81,18,1.54,2,0.17,289,24.68,1171
Bastrop,2395,92.04,198,7.61,7,0.27,2,0.08,2197,84.44,2602
Baylor,1541,93.85,100,6.09,0,0.00,1,0.06,1441,87.76,1642
Bee,1462,70.22,603,28.96,11,0.53,6,0.29,859,41.26,2082
Bell,6119,92.42,475,7.17,21,0.32,6,0.09,5644,85.24,6621
Bexar,35781,72.74,12951,26.33,205,0.42,250,0.51,22830,46.41,49187
Blanco,1056,76.97,313,22.81,0,0.00,3,0.22,743,54.15,1372
Borden,220,88.71,26,10.48,1,0.40,1,0.40,194,78.23,248
Bosque,2283,86.54,350,13.27,2,0.08,3,0.11,1933,73.28,2638
Bowie,5030,91.11,472,8.55,12,0.22,7,0.13,4558,82.56,5521
Brazoria,2284,82.01,462,16.59,29,1.04,10,0.36,1822,65.42,2785
Brazos,2610,98.16,45,1.69,0,0.00,4,0.15,2565,96.46,2659
Brewster,828,84.40,151,15.39,2,0.20,0,0.00,677,69.01,981
Briscoe,849,92.99,64,7.01,0,0.00,0,0.00,785,85.98,913
Brooks,365,75.57,117,24.22,0,0.00,1,0.21,248,51.35,483
Brown,3971,89.08,448,10.05,34,0.76,5,0.11,3523,79.03,4458
Burleson,1466,91.57,135,8.43,0,0.00,0,0.00,1331,83.14,1601
Burnet,1581,93.33,111,6.55,1,0.06,1,0.06,1470,86.78,1694
Caldwell,3019,91.76,247,7.51,24,0.73,0,0.00,2772,84.26,3290
Calhoun,685,87.71,92,11.78,1,0.13,3,0.38,593,75.93,781
Callahan,1739,87.34,245,12.31,2,0.10,5,0.25,1494,75.04,1991
Cameron,5887,71.74,2160,26.32,150,1.83,9,0.11,3727,45.42,8206
Camp,939,92.33,78,7.67,0,0.00,0,0.00,861,84.66,1017
Carson,1568,90.74,147,8.51,13,0.75,0,0.00,1421,82.23,1728
Cass,2461,93.57,169,6.43,0,0.00,0,0.00,2292,87.15,2630
Castro,950,92.68,65,6.34,10,0.98,0,0.00,885,86.34,1025
Chambers,984,87.78,134,11.95,2,0.18,1,0.09,850,75.83,1121
Cherokee,3908,92.65,302,7.16,3,0.07,5,0.12,3606,85.49,4218
Childress,2076,89.99,209,9.06,13,0.56,9,0.39,1867,80.93,2307
Clay,2168,91.09,196,8.24,11,0.46,5,0.21,1972,82.86,2380
Cochran,683,91.19,58,7.74,1,0.13,7,0.93,625,83.44,749
Coke,888,91.93,68,7.04,3,0.31,7,0.72,820,84.89,966
Coleman,2900,91.28,269,8.47,4,0.13,4,0.13,2631,82.81,3177
Collin,5669,91.29,531,8.55,2,0.03,8,0.13,5138,82.74,6210
Collingsworth,2012,92.63,158,7.27,0,0.00,2,0.09,1854,85.36,2172
Colorado,1435,79.06,372,20.50,3,0.17,5,0.28,1063,58.57,1815
Comal,1611,74.21,554,25.52,4,0.18,2,0.09,1057,48.69,2171
Comanche,2587,86.09,355,11.81,60,2.00,3,0.10,2232,74.28,3005
Concho,1089,93.48,76,6.52,0,0.00,0,0.00,1013,86.95,1165
Cooke,3686,83.93,686,15.62,12,0.27,8,0.18,3000,68.31,4392
Coryell,2064,92.85,150,6.75,5,0.22,4,0.18,1914,86.10,2223
Cottle,1265,93.08,86,6.33,5,0.37,3,0.22,1179,86.75,1359
Crane,622,96.14,25,3.86,0,0.00,0,0.00,597,92.27,647
Crockett,231,75.00,75,24.35,2,0.65,0,0.00,156,50.65,308
Crosby,1711,91.64,153,8.19,3,0.16,0,0.00,1558,83.45,1867
Culberson,239,91.22,23,8.78,0,0.00,0,0.00,216,82.44,262
Dallam,1436,83.15,220,12.74,68,3.94,3,0.17,1216,70.41,1727
Dallas,42153,84.89,7204,14.51,175,0.35,125,0.25,34949,70.38,49657
Dawson,1829,91.82,156,7.83,6,0.30,1,0.05,1673,83.99,1992
Deaf_Smith,1236,89.11,142,10.24,9,0.65,0,0.00,1094,78.88,1387
Delta,1466,94.64,82,5.29,1,0.06,0,0.00,1384,89.35,1549
Denton,5021,90.91,476,8.62,15,0.27,11,0.20,4545,82.29,5523
De_Witt,1977,75.98,616,23.67,1,0.04,8,0.31,1361,52.31,2602
Dickens,1445,92.57,115,7.37,0,0.00,1,0.06,1330,85.20,1561
Dimmit,704,68.95,296,28.99,21,2.06,0,0.00,408,39.96,1021
Donley,1513,90.93,133,7.99,17,1.02,1,0.06,1380,82.93,1664
Duval,2901,94.56,163,5.31,4,0.13,0,0.00,2738,89.24,3068
Eastland,4659,85.99,724,13.36,17,0.31,18,0.33,3935,72.63,5418
Ector,816,89.87,81,8.92,10,1.10,1,0.11,735,80.95,908
Edwards,354,68.87,157,30.54,3,0.58,0,0.00,197,38.33,514
Ellis,5644,94.46,319,5.34,4,0.07,8,0.13,5325,89.12,5975
El_Paso,11920,86.32,1773,12.84,96,0.70,20,0.14,10147,73.48,13809
Erath,2694,89.95,290,9.68,4,0.13,7,0.23,2404,80.27,2995
Falls,3411,95.92,140,3.94,0,0.00,5,0.14,3271,91.99,3556
Fannin,5242,93.32,368,6.55,1,0.02,6,0.11,4874,86.77,5617
Fayette,2820,82.46,595,17.40,4,0.12,1,0.03,2225,65.06,3420
Fisher,2068,92.78,155,6.95,2,0.09,4,0.18,1913,85.82,2229
Floyd,1863,88.93,217,10.36,14,0.67,1,0.05,1646,78.57,2095
Foard,928,92.34,74,7.36,2,0.20,1,0.10,854,84.98,1005
Fort_Bend,2588,93.26,176,6.34,9,0.32,2,0.07,2412,86.92,2775
Franklin,925,90.95,90,8.85,1,0.10,1,0.10,835,82.10,1017
Freestone,1929,93.23,134,6.48,0,0.00,6,0.29,1795,86.76,2069
Frio,1019,83.59,193,15.83,7,0.57,0,0.00,826,67.76,1219
Gaines,680,93.66,42,5.79,0,0.00,4,0.55,638,87.88,726
Galveston,9370,84.37,1666,15.00,44,0.40,26,0.23,7704,69.37,11106
Garza,807,85.67,132,14.01,2,0.21,1,0.11,675,71.66,942
Gillespie,1016,40.41,1421,56.52,69,2.74,8,0.32,-405,-16.11,2514
Glasscock,252,89.05,29,10.25,0,0.00,2,0.71,223,78.80,283
Goliad,1184,78.36,323,21.38,2,0.13,2,0.13,861,56.98,1511
Gonzales,2674,88.16,352,11.61,3,0.10,4,0.13,2322,76.56,3033
Gray,4347,89.83,464,9.59,21,0.43,7,0.14,3883,80.24,4839
Grayson,10627,91.64,947,8.17,12,0.10,11,0.09,9680,83.47,11597
Gregg,6489,91.12,621,8.72,6,0.08,5,0.07,5868,82.40,7121
Grimes,1851,93.06,136,6.84,0,0.00,2,0.10,1715,86.22,1989
Guadalupe,2962,69.91,1266,29.88,3,0.07,6,0.14,1696,40.03,4237
Hale,3109,86.80,451,12.59,12,0.34,10,0.28,2658,74.20,3582
Hall,2195,93.56,126,5.37,20,0.85,5,0.21,2069,88.19,2346
Hamilton,1929,90.48,202,9.47,0,0.00,1,0.05,1727,81.00,2132
Hansford,826,89.69,74,8.03,16,1.74,5,0.54,752,81.65,921
Hardeman,1991,90.17,207,9.38,7,0.32,3,0.14,1784,80.80,2208
Hardin,2351,95.18,119,4.82,0,0.00,0,0.00,2232,90.36,2470
Harris,59205,87.67,8083,11.97,109,0.16,136,0.20,51122,75.70,67533
Harrison,3400,91.69,302,8.14,0,0.00,6,0.16,3098,83.55,3708
Hartley,560,93.33,40,6.67,0,0.00,0,0.00,520,86.67,600
Haskell,2713,94.46,156,5.43,2,0.07,1,0.03,2557,89.03,2872
Hays,1964,86.94,286,12.66,9,0.40,0,0.00,1678,74.28,2259
Hemphill,1008,88.89,121,10.67,5,0.44,0,0.00,887,78.22,1134
Henderson,3259,92.45,260,7.38,0,0.00,6,0.17,2999,85.08,3525
Hidalgo,6782,67.46,2962,29.46,285,2.83,24,0.24,3820,38.00,10053
Hill,4710,94.58,265,5.32,4,0.08,1,0.02,4445,89.26,4980
Hockley,1731,94.44,90,4.91,2,0.11,10,0.55,1641,89.53,1833
Hood,988,90.31,102,9.32,3,0.27,1,0.09,886,80.99,1094
Hopkins,2753,91.22,261,8.65,0,0.00,4,0.13,2492,82.57,3018
Houston,2458,96.05,99,3.87,1,0.04,1,0.04,2359,92.18,2559
Howard,3094,92.75,230,6.89,4,0.12,8,0.24,2864,85.85,3336
Hudspeth,363,93.56,24,6.19,0,0.00,1,0.26,339,87.37,388
Hunt,5801,94.37,335,5.45,7,0.11,4,0.07,5466,88.92,6147
Hutchinson,2478,86.25,390,13.57,1,0.03,4,0.14,2088,72.68,2873
Irion,476,89.81,49,9.25,0,0.00,5,0.94,427,80.57,530
Jack,1113,85.22,183,14.01,7,0.54,3,0.23,930,71.21,1306
Jackson,952,84.40,171,15.16,4,0.35,1,0.09,781,69.24,1128
Jasper,1500,93.05,109,6.76,3,0.19,0,0.00,1391,86.29,1612
Jeff_Davis,291,89.54,33,10.15,1,0.31,0,0.00,258,79.38,325
Jefferson,18187,87.40,2544,12.23,32,0.15,45,0.22,15643,75.18,20808
Jim_Hogg,712,93.68,48,6.32,0,0.00,0,0.00,664,87.37,760
Jim_Wells,1691,82.97,338,16.58,7,0.34,2,0.10,1353,66.39,2038
Johnson,4281,92.12,337,7.25,24,0.52,5,0.11,3944,84.87,4647
Jones,3396,91.71,305,8.24,0,0.00,2,0.05,3091,83.47,3703
Karnes,2067,84.47,371,15.16,8,0.33,1,0.04,1696,69.31,2447
Kaufman,3943,94.44,229,5.49,1,0.02,2,0.05,3714,88.96,4175
Kendall,405,36.68,693,62.77,4,0.36,2,0.18,-288,-26.09,1104
Kenedy,96,76.19,30,23.81,0,0.00,0,0.00,66,52.38,126
Kent,533,94.50,31,5.50,0,0.00,0,0.00,502,89.01,564
Kerr,1586,61.26,994,38.39,8,0.31,1,0.04,592,22.87,2589
Kimble,681,81.75,151,18.13,0,0.00,1,0.12,530,63.63,833
King,211,94.20,13,5.80,0,0.00,0,0.00,198,88.39,224
Kinney,357,67.11,175,32.89,0,0.00,0,0.00,182,34.21,532
Kleberg,1488,87.12,156,9.13,61,3.57,3,0.18,1332,77.99,1708
Knox,1823,91.15,171,8.55,1,0.05,5,0.25,1652,82.60,2000
Lamar,5621,94.65,308,5.19,10,0.17,0,0.00,5313,89.46,5939
Lamb,2320,88.21,300,11.41,4,0.15,6,0.23,2020,76.81,2630
Lampasas,1462,91.43,134,8.38,3,0.19,0,0.00,1328,83.05,1599
La_Salle,704,90.49,74,9.51,0,0.00,0,0.00,630,80.98,778
Lavaca,2204,84.12,403,15.38,10,0.38,3,0.11,1801,68.74,2620
Lee,1155,80.94,271,18.99,0,0.00,1,0.07,884,61.95,1427
Leon,1748,94.69,97,5.25,0,0.00,1,0.05,1651,89.44,1846
Liberty,2813,91.69,244,7.95,6,0.20,5,0.16,2569,83.74,3068
Limestone,3857,95.05,196,4.83,4,0.10,1,0.02,3661,90.22,4058
Lipscomb,973,77.65,273,21.79,4,0.32,3,0.24,700,55.87,1253
Live_Oak,874,76.33,231,20.17,32,2.79,8,0.70,643,56.16,1145
Llano,1302,92.41,107,7.59,0,0.00,0,0.00,1195,84.81,1409
Loving,118,72.39,21,12.88,19,11.66,5,3.07,97,59.51,163
Lubbock,6425,90.97,622,8.81,11,0.16,5,0.07,5803,82.16,7063
Lynn,1983,91.89,169,7.83,0,0.00,6,0.28,1814,84.06,2158
McCulloch,1722,83.55,323,15.67,7,0.34,9,0.44,1399,67.88,2061
McLennan,12489,90.77,1116,8.11,115,0.84,39,0.28,11373,82.66,13759
McMullen,265,87.75,37,12.25,0,0.00,0,0.00,228,75.50,302
Madison,1127,96.16,45,3.84,0,0.00,0,0.00,1082,92.32,1172
Marion,919,87.69,129,12.31,0,0.00,0,0.00,790,75.38,1048
Martin,775,90.75,70,8.20,8,0.94,1,0.12,705,82.55,854
Mason,787,68.61,359,31.30,1,0.09,0,0.00,428,37.31,1147
Matagorda,1700,78.56,459,21.21,3,0.14,2,0.09,1241,57.35,2164
Maverick,890,81.20,166,15.15,37,3.38,3,0.27,724,66.06,1096
Medina,2050,67.63,969,31.97,10,0.33,2,0.07,1081,35.66,3031
Menard,734,86.05,115,13.48,1,0.12,3,0.35,619,72.57,853
Midland,1229,86.06,190,13.31,8,0.56,1,0.07,1039,72.76,1428
Milam,4077,93.02,288,6.57,0,0.00,18,0.41,3789,86.45,4383
Mills,1005,85.90,165,14.10,0,0.00,0,0.00,840,71.79,1170
Mitchell,2035,91.21,192,8.61,1,0.04,3,0.13,1843,82.61,2231
Montague,2789,89.16,324,10.36,0,0.00,15,0.48,2465,78.80,3128
Montgomery,2443,92.61,186,7.05,2,0.08,7,0.27,2257,85.56,2638
Moore,583,92.39,47,7.45,0,0.00,1,0.16,536,84.94,631
Morris,1220,95.91,52,4.09,0,0.00,0,0.00,1168,91.82,1272
Motley,867,92.93,64,6.86,1,0.11,1,0.11,803,86.07,933
Nacogdoches,4075,95.01,209,4.87,2,0.05,3,0.07,3866,90.14,4289
Navarro,5815,95.02,293,4.79,9,0.15,3,0.05,5522,90.23,6120
Newton,1111,92.12,93,7.71,1,0.08,1,0.08,1018,84.41,1206
Nolan,2913,91.15,268,8.39,11,0.34,4,0.13,2645,82.76,3196
Nueces,6597,83.09,1234,15.54,104,1.31,5,0.06,5363,67.54,7940
Ochiltree,1111,88.03,109,8.64,41,3.25,1,0.08,1002,79.40,1262
Oldham,437,94.59,20,4.33,5,1.08,0,0.00,417,90.26,462
Orange,2281,92.01,190,7.66,3,0.12,5,0.20,2091,84.35,2479
Palo_Pinto,2738,87.67,371,11.88,9,0.29,5,0.16,2367,75.79,3123
