County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,REG_NUM,REG_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,4342,79.32,467,8.53,660,12.06,5,0.09,3682,67.26,5474
Andrews,329,81.44,48,11.88,21,5.20,6,1.49,281,69.55,404
Angelina,4387,74.38,1001,16.97,508,8.61,2,0.03,3386,57.41,5898
Aransas,456,73.43,150,24.15,12,1.93,3,0.48,306,49.28,621
Archer,1674,79.83,194,9.25,227,10.82,2,0.10,1447,69.00,2097
Armstrong,623,77.88,132,16.50,44,5.50,1,0.13,491,61.38,800
Atascosa,1757,66.40,685,25.89,202,7.63,2,0.08,1072,40.51,2646
Austin,1316,41.33,619,19.44,1248,39.20,1,0.03,68,2.14,3184
Bailey,943,64.68,358,24.55,153,10.49,4,0.27,585,40.12,1458
Bandera,532,42.29,634,50.40,92,7.31,0,0.00,-102,-8.11,1258
Bastrop,2604,79.17,385,11.71,299,9.09,1,0.03,2219,67.47,3289
Baylor,1568,87.65,102,5.70,118,6.60,1,0.06,1450,81.05,1789
Bee,1306,54.17,848,35.17,246,10.20,11,0.46,458,19.00,2411
Bell,6960,77.72,763,8.52,1216,13.58,16,0.18,5744,64.14,8955
Bexar,35024,57.96,23588,39.04,1697,2.81,118,0.20,11436,18.93,60427
Blanco,846,55.95,533,35.25,133,8.80,0,0.00,313,20.70,1512
Borden,237,76.95,34,11.04,36,11.69,1,0.32,201,65.26,308
Bosque,2502,75.02,504,15.11,324,9.72,5,0.15,1998,59.91,3335
Bowie,7045,79.14,790,8.87,1063,11.94,4,0.04,5982,67.20,8902
Brazoria,5543,72.07,850,11.05,1286,16.72,12,0.16,4257,55.35,7691
Brazos,3358,76.75,464,10.61,548,12.53,5,0.11,2810,64.23,4375
Brewster,864,72.85,237,19.98,83,7.00,2,0.17,627,52.87,1186
Briscoe,615,74.28,80,9.66,131,15.82,2,0.24,484,58.45,828
Brooks,403,63.46,142,22.36,86,13.54,4,0.63,261,41.10,635
Brown,2426,68.45,430,12.13,675,19.05,13,0.37,1751,49.41,3544
Burleson,1992,82.76,158,6.56,256,10.64,1,0.04,1736,72.12,2407
Burnet,1697,80.35,228,10.80,183,8.66,4,0.19,1469,69.55,2112
Caldwell,2916,75.00,704,18.11,266,6.84,2,0.05,2212,56.89,3888
Calhoun,732,68.22,158,14.73,176,16.40,7,0.65,556,51.82,1073
Callahan,1962,79.66,224,9.09,276,11.21,1,0.04,1686,68.45,2463
Cameron,5998,50.63,5309,44.82,510,4.31,29,0.24,689,5.82,11846
Camp,977,71.42,180,13.16,210,15.35,1,0.07,767,56.07,1368
Carson,1216,68.97,446,25.30,97,5.50,4,0.23,770,43.68,1763
Cass,2866,76.59,541,14.46,331,8.85,4,0.11,2325,62.13,3742
