County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,DIX_NUM,DIX_PCT,PRO_NUM,PRO_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,3242,62.37,1199,23.07,735,14.14,3,0.06,19,0.37,2043,39.30,5198
Andrews,816,85.27,101,10.55,35,3.66,5,0.52,0,0.00,715,74.72,957
Angelina,4377,69.05,1000,15.78,928,14.64,6,0.09,28,0.44,3377,53.27,6339
Aransas,418,61.02,235,34.31,26,3.80,4,0.58,2,0.29,183,26.71,685
Archer,1599,86.20,191,10.30,58,3.13,0,0.00,7,0.38,1408,75.90,1855
Armstrong,686,84.07,97,11.89,31,3.80,2,0.25,0,0.00,589,72.18,816
Atascosa,1895,69.36,704,25.77,120,4.39,4,0.15,9,0.33,1191,43.59,2732
Austin,1252,43.70,1260,43.98,345,12.04,2,0.07,6,0.21,-8,-0.28,2865
Bailey,1115,76.79,234,16.12,93,6.40,1,0.07,9,0.62,881,60.67,1452
Bandera,445,39.31,570,50.35,107,9.45,1,0.09,9,0.80,-125,-11.04,1132
Bastrop,2518,77.79,443,13.69,265,8.19,5,0.15,6,0.19,2075,64.10,3237
Baylor,1522,90.81,101,6.03,47,2.80,3,0.18,3,0.18,1421,84.78,1676
Bee,1441,60.70,801,33.74,123,5.18,4,0.17,5,0.21,640,26.96,2374
Bell,7548,82.83,1069,11.73,436,4.78,41,0.45,19,0.21,6479,71.10,9113
Bexar,35970,54.27,26202,39.53,3418,5.16,384,0.58,305,0.46,9768,14.74,66279
Blanco,1003,63.93,497,31.68,66,4.21,2,0.13,1,0.06,506,32.25,1569
Borden,203,87.12,18,7.73,9,3.86,0,0.00,3,1.29,185,79.39,233
Bosque,2303,77.91,501,16.95,141,4.77,6,0.20,5,0.17,1802,60.96,2956
Bowie,7028,67.95,1161,11.22,2096,20.26,34,0.33,24,0.23,4932,47.69,10343
Brazoria,4783,57.19,2133,25.51,1408,16.84,15,0.18,24,0.29,2650,31.68,8363
Brazos,3459,62.55,1533,27.72,522,9.44,6,0.11,10,0.18,1926,34.83,5530
Brewster,940,70.10,312,23.27,82,6.11,2,0.15,5,0.37,628,46.83,1341
Briscoe,692,85.75,83,10.29,28,3.47,1,0.12,3,0.37,609,75.46,807
Brooks,1029,80.27,217,16.93,30,2.34,3,0.23,3,0.23,812,63.34,1282
Brown,5059,78.06,1071,16.53,327,5.05,3,0.05,21,0.32,3988,61.53,6481
Burleson,2051,84.26,240,9.86,135,5.55,2,0.08,6,0.25,1811,74.40,2434
Burnet,1955,84.12,287,12.35,78,3.36,1,0.04,3,0.13,1668,71.77,2324
Caldwell,2792,77.21,623,17.23,169,4.67,9,0.25,23,0.64,2169,59.98,3616
Calhoun,589,57.18,346,33.59,87,8.45,0,0.00,8,0.78,243,23.59,1030
Callahan,1844,83.40,258,11.67,104,4.70,1,0.05,4,0.18,1586,71.73,2211
Cameron,6778,57.15,4689,39.54,342,2.88,20,0.17,30,0.25,2089,17.61,11859
Camp,923,62.03,180,12.10,385,25.87,0,0.00,0,0.00,538,36.16,1488
Carson,1301,74.17,413,23.55,32,1.82,5,0.29,3,0.17,888,50.62,1754
Cass,2540,65.14,457,11.72,878,22.52,3,0.08,21,0.54,1662,42.62,3899
Castro,1158,84.28,189,13.76,20,1.46,1,0.07,6,0.44,969,70.52,1374
Chambers,787,56.54,302,21.70,299,21.48,0,0.00,4,0.29,485,34.84,1392
Cherokee,3079,64.07,1154,24.01,544,11.32,4,0.08,25,0.52,1925,40.06,4806
Childress,2415,86.22,273,9.75,94,3.36,4,0.14,15,0.54,2142,76.47,2801
Clay,2131,82.50,332,12.85,107,4.14,2,0.08,11,0.43,1799,69.65,2583
Cochran,971,81.87,119,10.03,94,7.93,0,0.00,2,0.17,852,71.84,1186
Coke,909,90.18,65,6.45,30,2.98,4,0.40,0,0.00,844,83.73,1008
Coleman,2695,78.59,545,15.89,176,5.13,2,0.06,11,0.32,2150,62.70,3429
Collin,5516,76.08,1155,15.93,543,7.49,17,0.23,19,0.26,4361,60.15,7250
Collingsworth,1779,85.16,198,9.48,98,4.69,5,0.24,9,0.43,1581,75.68,2089
