County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,DIX_NUM,DIX_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,4181,60.47,2710,39.20,23,0.33,1471,21.28,6914
Andrews,1131,53.53,968,45.81,14,0.66,163,7.71,2113
Angelina,5274,52.24,4781,47.36,41,0.41,493,4.88,10096
Aransas,757,63.67,425,35.74,7,0.59,332,27.92,1189
Archer,825,43.44,1067,56.19,7,0.37,-242,-12.74,1899
Armstrong,372,46.62,422,52.88,4,0.50,-50,-6.27,798
Atascosa,1804,54.55,1492,45.12,11,0.33,312,9.43,3307
Austin,2501,67.12,1215,32.61,10,0.27,1286,34.51,3726
Bailey,871,40.49,1274,59.23,6,0.28,-403,-18.74,2151
Bandera,1083,76.05,336,23.60,5,0.35,747,52.46,1424
Bastrop,1531,37.85,2504,61.90,10,0.25,-973,-24.05,4045
Baylor,715,40.49,1047,59.29,4,0.23,-332,-18.80,1766
Bee,2401,55.26,1929,44.40,15,0.35,472,10.86,4345
Bell,4285,30.76,9603,68.93,44,0.32,-5318,-38.17,13932
Bexar,65901,58.15,46790,41.29,640,0.56,19111,16.86,113331
Blanco,796,56.14,615,43.37,7,0.49,181,12.76,1418
Borden,127,34.51,240,65.22,1,0.27,-113,-30.71,368
Bosque,1654,49.65,1670,50.14,7,0.21,-16,-0.48,3331
Bowie,6823,46.73,7675,52.56,104,0.71,-852,-5.83,14602
Brazoria,9536,56.49,7137,42.28,208,1.23,2399,14.21,16881
Brazos,4942,58.58,3463,41.05,31,0.37,1479,17.53,8436
Brewster,837,63.22,479,36.18,8,0.60,358,27.04,1324
Briscoe,357,35.42,648,64.29,3,0.30,-291,-28.87,1008
Brooks,802,41.77,1108,57.71,10,0.52,-306,-15.94,1920
Brown,3664,53.26,3195,46.44,21,0.31,469,6.82,6880
Burleson,1173,40.24,1726,59.21,16,0.55,-553,-18.97,2915
Burnet,1163,44.90,1422,54.90,5,0.19,-259,-10.00,2590
Caldwell,1747,40.96,2513,58.92,5,0.12,-766,-17.96,4265
Calhoun,1912,63.90,1067,35.66,13,0.43,845,28.24,2992
Callahan,1140,48.45,1199,50.96,14,0.59,-59,-2.51,2353
Cameron,11952,56.85,8829,42.00,241,1.15,3123,14.86,21022
Camp,958,47.22,1053,51.90,18,0.89,-95,-4.68,2029
Carson,1061,51.91,976,47.75,7,0.34,85,4.16,2044
Cass,2970,54.91,2395,44.28,44,0.81,575,10.63,5409
Castro,697,34.75,1305,65.05,4,0.20,-608,-30.31,2006
Chambers,1520,63.52,860,35.94,13,0.54,660,27.58,2393
Cherokee,4022,57.78,2912,41.83,27,0.39,1110,15.95,6961
Childress,1268,45.61,1503,54.06,9,0.32,-235,-8.45,2780
Clay,990,35.26,1813,64.57,5,0.18,-823,-29.31,2808
Cochran,599,39.33,923,60.60,1,0.07,-324,-21.27,1523
Coke,549,44.10,690,55.42,6,0.48,-141,-11.33,1245
Coleman,2247,58.50,1577,41.06,17,0.44,670,17.44,3841
Collin,3823,41.84,5280,57.79,34,0.37,-1457,-15.95,9137
Collingsworth,815,39.66,1229,59.81,11,0.54,-414,-20.15,2055
Colorado,2691,61.62,1648,37.74,28,0.64,1043,23.88,4367
Comal,3397,74.54,1140,25.02,20,0.44,2257,49.53,4557
Comanche,1900,48.99,1962,50.59,16,0.41,-62,-1.60,3878
Concho,574,50.26,567,49.65,1,0.09,7,0.61,1142
Cooke,4164,64.33,2272,35.10,37,0.57,1892,29.23,6473
Coryell,1509,38.86,2372,61.09,2,0.05,-863,-22.23,3883
Cottle,329,22.40,1138,77.47,2,0.14,-809,-55.07,1469
Crane,626,46.44,707,52.45,15,1.11,-81,-6.01,1348
Crockett,702,69.57,305,30.23,2,0.20,397,39.35,1009
Crosby,704,28.00,1804,71.76,6,0.24,-1100,-43.75,2514
Culberson,324,54.36,269,45.13,3,0.50,55,9.23,596
Dallam,1018,48.41,1074,51.07,11,0.52,-56,-2.66,2103
Dallas,125361,65.06,65472,33.98,1862,0.97,59889,31.08,192695
Dawson,1615,44.01,2049,55.83,6,0.16,-434,-11.83,3670
Deaf_Smith,1685,55.16,1361,44.55,9,0.29,324,10.61,3055
Delta,605,32.23,1262,67.23,10,0.53,-657,-35.00,1877
Denton,5350,51.71,4972,48.06,24,0.23,378,3.65,10346
DeWitt,3401,70.14,1435,29.59,13,0.27,1966,40.54,4849
Dickens,565,31.25,1243,68.75,0,0.00,-678,-37.50,1808
Dimmit,705,61.90,427,37.49,7,0.61,278,24.41,1139
Donley,826,47.72,903,52.17,2,0.12,-77,-4.45,1731
Duval,1459,31.89,3110,67.98,6,0.13,-1651,-36.09,4575
Eastland,3580,58.61,2512,41.13,16,0.26,1068,17.49,6108
Ector,8805,62.41,5109,36.21,194,1.38,3696,26.20,14108
Edwards,533,79.67,133,19.88,3,0.45,400,59.79,669
Ellis,3585,40.65,5211,59.08,24,0.27,-1626,-18.44,8820
El_Paso,18532,54.70,15157,44.73,193,0.57,3375,9.96,33882
Erath,2775,53.66,2377,45.97,19,0.37,398,7.70,5171
Falls,1819,40.36,2674,59.33,14,0.31,-855,-18.97,4507
Fannin,1910,29.75,4504,70.16,6,0.09,-2594,-40.40,6420
Fayette,3574,60.54,2282,38.65,48,0.81,1292,21.88,5904
Fisher,673,28.72,1664,71.02,6,0.26,-991,-42.30,2343
Floyd,1445,44.86,1767,54.86,9,0.28,-322,-10.00,3221
Foard,243,26.07,687,73.71,2,0.21,-444,-47.64,932
Fort_Bend,3779,59.83,2464,39.01,73,1.16,1315,20.82,6316
Franklin,556,33.88,1082,65.94,3,0.18,-526,-32.05,1641
Freestone,1627,47.09,1813,52.47,15,0.43,-186,-5.38,3455
Frio,825,47.94,886,51.48,10,0.58,-61,-3.54,1721
Gaines,1244,44.76,1527,54.95,8,0.29,-283,-10.18,2779
Galveston,17567,52.43,15603,46.57,336,1.00,1964,5.86,33506
Garza,628,44.38,786,55.55,1,0.07,-158,-11.17,1415
Gillespie,3070,92.61,240,7.24,5,0.15,2830,85.37,3315
Glasscock,224,56.28,174,43.72,0,0.00,50,12.56,398
Goliad,902,72.33,338,27.11,7,0.56,564,45.23,1247
Gonzales,1767,43.77,2260,55.98,10,0.25,-493,-12.21,4037
Gray,5047,61.90,3034,37.21,72,0.88,2013,24.69,8153
Grayson,7402,45.33,8876,54.35,52,0.32,-1474,-9.03,16330
Gregg,9440,65.02,4881,33.62,198,1.36,4559,31.40,14519
Grimes,1281,53.96,1079,45.45,14,0.59,202,8.51,2374
Guadalupe,4296,66.86,2099,32.67,30,0.47,2197,34.19,6425
Hale,3804,49.64,3848,50.22,11,0.14,-44,-0.57,7663
Hall,687,31.53,1487,68.24,5,0.23,-800,-36.71,2179
Hamilton,1709,60.11,1124,39.54,10,0.35,585,20.58,2843
Hansford,919,62.73,545,37.20,1,0.07,374,25.53,1465
Hardeman,1119,46.45,1281,53.18,9,0.37,-162,-6.72,2409
Hardin,2130,47.12,2371,52.46,19,0.42,-241,-5.33,4520
Harris,155555,61.11,93961,36.91,5033,1.98,61594,24.20,254549
Harrison,5048,64.76,2668,34.23,79,1.01,2380,30.53,7795
Hartley,353,43.96,448,55.79,2,0.25,-95,-11.83,803
Haskell,993,29.72,2340,70.04,8,0.24,-1347,-40.32,3341
Hays,1873,47.98,2017,51.66,14,0.36,-144,-3.69,3904
Hemphill,620,60.67,401,39.24,1,0.10,219,21.43,1022
Henderson,2479,44.51,3065,55.04,25,0.45,-586,-10.52,5569
Hidalgo,13270,56.89,9804,42.03,253,1.08,3466,14.86,23327
Hill,2487,37.08,4199,62.61,21,0.31,-1712,-25.53,6707
Hockley,2001,38.58,3175,61.22,10,0.19,-1174,-22.64,5186
Hood,751,40.55,1095,59.13,6,0.32,-344,-18.57,1852
Hopkins,2206,41.26,3118,58.31,23,0.43,-912,-17.06,5347
Houston,1941,49.04,1998,50.48,19,0.48,-57,-1.44,3958
Howard,3051,40.30,4506,59.52,14,0.18,-1455,-19.22,7571
Hudspeth,316,45.66,368,53.18,8,1.16,-52,-7.51,692
Hunt,4508,52.47,4051,47.15,33,0.38,457,5.32,8592
Hutchinson,5110,54.73,4184,44.82,42,0.45,926,9.92,9336
Irion,252,58.33,178,41.20,2,0.46,74,17.13,432
Jack,1327,56.54,997,42.48,23,0.98,330,14.06,2347
Jackson,2259,58.64,1571,40.78,22,0.57,688,17.86,3852
Jasper,2430,56.41,1856,43.08,22,0.51,574,13.32,4308
Jeff_Davis,239,58.72,165,40.54,3,0.74,74,18.18,407
Jefferson,30102,54.31,25057,45.21,270,0.49,5045,9.10,55429
Jim_Hogg,282,31.13,617,68.10,7,0.77,-335,-36.98,906
Jim_Wells,3348,54.69,2752,44.95,22,0.36,596,9.74,6122
Johnson,3750,51.09,3560,48.50,30,0.41,190,2.59,7340
Jones,2073,44.32,2594,55.46,10,0.21,-521,-11.14,4677
Karnes,1764,51.62,1636,47.88,17,0.50,128,3.75,3417
Kaufman,2816,48.97,2902,50.47,32,0.56,-86,-1.50,5750
Kendall,1519,81.10,341,18.21,13,0.69,1178,62.89,1873
Kenedy,125,92.59,10,7.41,0,0.00,115,85.19,135
Kent,234,30.99,519,68.74,2,0.26,-285,-37.75,755
Kerr,3555,77.38,1025,22.31,14,0.30,2530,55.07,4594
Kimble,821,62.82,484,37.03,2,0.15,337,25.78,1307
King,46,20.54,177,79.02,1,0.45,-131,-58.48,224
Kinney,368,55.93,289,43.92,1,0.15,79,12.01,658
Kleberg,2121,46.39,2436,53.28,15,0.33,-315,-6.89,4572
Knox,835,39.76,1262,60.10,3,0.14,-427,-20.33,2100
Lamar,4154,49.56,4202,50.14,25,0.30,-48,-0.57,8381
Lamb,1840,35.54,3325,64.23,12,0.23,-1485,-28.68,5177
Lampasas,1308,53.45,1134,46.34,5,0.20,174,7.11,2447
La_Salle,449,43.85,574,56.05,1,0.10,-125,-12.21,1024
Lavaca,2509,50.78,2412,48.82,20,0.40,97,1.96,4941
Lee,1200,52.77,1061,46.66,13,0.57,139,6.11,2274
Leon,1079,45.99,1260,53.71,7,0.30,-181,-7.72,2346
Liberty,4129,63.49,2318,35.65,56,0.86,1811,27.85,6503
Limestone,2097,40.55,3067,59.31,7,0.14,-970,-18.76,5171
Lipscomb,806,69.84,345,29.90,3,0.26,461,39.95,1154
Live_Oak,1077,65.71,521,31.79,41,2.50,556,33.92,1639
Llano,672,39.32,1034,60.50,3,0.18,-362,-21.18,1709
Loving,55,60.44,36,39.56,0,0.00,19,20.88,91
Lubbock,13970,52.57,12540,47.19,66,0.25,1430,5.38,26576
Lynn,861,32.28,1800,67.49,6,0.22,-939,-35.21,2667
McCulloch,1292,52.63,1158,47.17,5,0.20,134,5.46,2455
McLennan,15561,48.85,16181,50.80,111,0.35,-620,-1.95,31853
McMullen,226,54.72,185,44.79,2,0.48,41,9.93,413
Madison,733,50.27,713,48.90,12,0.82,20,1.37,1458
Marion,1126,60.93,709,38.37,13,0.70,417,22.56,1848
Martin,318,25.92,903,73.59,6,0.49,-585,-47.68,1227
Mason,885,63.67,504,36.26,1,0.07,381,27.41,1390
Matagorda,3927,66.46,1904,32.22,78,1.32,2023,34.24,5909
Maverick,721,46.22,820,52.56,19,1.22,-99,-6.35,1560
Medina,2668,63.51,1516,36.09,17,0.40,1152,27.42,4201
Menard,614,65.88,318,34.12,0,0.00,296,31.76,932
Midland,8287,69.99,3468,29.29,86,0.73,4819,40.70,11841
Milam,2486,45.48,2969,54.32,11,0.20,-483,-8.84,5466
Mills,912,55.34,735,44.60,1,0.06,177,10.74,1648
Mitchell,1091,36.59,1891,63.41,0,0.00,-800,-26.83,2982
Montague,2003,45.81,2358,53.93,11,0.25,-355,-8.12,4372
Montgomery,3360,56.24,2572,43.05,42,0.70,788,13.19,5974
Moore,1820,44.95,2219,54.80,10,0.25,-399,-9.85,4049
Morris,1463,47.58,1592,51.77,20,0.65,-129,-4.20,3075
Motley,411,44.38,511,55.18,4,0.43,-100,-10.80,926
Nacogdoches,3285,53.28,2855,46.31,25,0.41,430,6.97,6165
Navarro,3193,40.26,4723,59.55,15,0.19,-1530,-19.29,7931
