County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,3296,47.21,3642,52.16,44,0.63,-346,-4.95,6982
Andrews,1821,53.42,1550,45.47,38,1.11,271,7.95,3409
Angelina,7046,56.32,5169,41.32,295,2.36,1877,15.00,12510
Aransas,948,54.23,792,45.31,8,0.46,156,8.92,1748
Archer,1341,66.29,680,33.61,2,0.10,661,32.68,2023
Armstrong,365,42.44,488,56.74,7,0.81,-123,-14.30,860
Atascosa,2544,58.34,1812,41.55,5,0.11,732,16.79,4361
Austin,1725,46.15,1978,52.92,35,0.94,-253,-6.77,3738
Bailey,1064,46.85,1180,51.96,27,1.19,-116,-5.11,2271
Bandera,539,36.32,942,63.48,3,0.20,-403,-27.16,1484
Bastrop,2866,70.25,1208,29.61,6,0.15,1658,40.64,4080
Baylor,1199,62.68,713,37.27,1,0.05,486,25.41,1913
Bee,2557,53.42,2220,46.38,10,0.21,337,7.04,4787
Bell,10651,69.67,4606,30.13,31,0.20,6045,39.54,15288
Bexar,75373,53.74,63934,45.59,938,0.67,11439,8.15,140245
Blanco,830,59.54,557,39.96,7,0.50,273,19.58,1394
Borden,230,55.96,166,40.39,15,3.65,64,15.57,411
Bosque,1852,52.54,1653,46.89,20,0.57,199,5.65,3525
Bowie,9198,60.54,5927,39.01,68,0.45,3271,21.53,15193
Brazoria,10561,48.66,10880,50.13,264,1.22,-319,-1.47,21705
Brazos,5907,56.38,4553,43.46,17,0.16,1354,12.92,10477
Brewster,716,49.14,736,50.51,5,0.34,-20,-1.37,1457
Briscoe,570,51.26,533,47.93,9,0.81,37,3.33,1112
Brooks,1934,77.02,567,22.58,10,0.40,1367,54.44,2511
Brown,3720,51.11,3512,48.26,46,0.63,208,2.85,7278
Burleson,2466,78.46,672,21.38,5,0.16,1794,57.08,3143
Burnet,1770,59.48,1189,39.95,17,0.57,581,19.53,2976
Caldwell,2729,64.64,1482,35.10,11,0.26,1247,29.54,4222
Calhoun,1961,54.56,1599,44.49,34,0.95,362,10.07,3594
Callahan,1559,54.93,1261,44.43,18,0.63,298,10.50,2838
Cameron,12416,54.84,10190,45.01,34,0.15,2226,9.83,22640
Camp,1307,59.41,873,39.68,20,0.91,434,19.73,2200
Carson,1009,41.92,1387,57.62,11,0.46,-378,-15.70,2407
Cass,2934,55.46,2322,43.89,34,0.64,612,11.57,5290
Castro,1544,64.82,810,34.01,28,1.18,734,30.81,2382
Chambers,1524,54.12,1260,44.74,32,1.14,264,9.38,2816
Cherokee,4544,57.65,3233,41.02,105,1.33,1311,16.63,7882
Childress,1189,42.97,1571,56.78,7,0.25,-382,-13.81,2767
Clay,1692,62.25,1019,37.49,7,0.26,673,24.76,2718
Cochran,1028,61.41,646,38.59,0,0.00,382,22.82,1674
Coke,799,57.56,575,41.43,14,1.01,224,16.13,1388
Coleman,1835,46.14,2127,53.48,15,0.38,-292,-7.34,3977
Collin,5229,57.10,3865,42.20,64,0.70,1364,14.90,9158
Collingsworth,691,38.78,1084,60.83,7,0.39,-393,-22.05,1782
Colorado,2299,54.13,1909,44.95,39,0.92,390,9.18,4247
Comal,1845,37.34,3082,62.38,14,0.28,-1237,-25.04,4941
Comanche,1979,51.67,1828,47.73,23,0.60,151,3.94,3830
Concho,718,57.81,522,42.03,2,0.16,196,15.78,1242
Cooke,3168,44.15,3983,55.50,25,0.35,-815,-11.35,7176
Coryell,2700,64.41,1477,35.23,15,0.36,1223,29.18,4192
Cottle,986,72.45,370,27.19,5,0.37,616,45.26,1361
Crane,848,54.08,678,43.24,42,2.68,170,10.84,1568
Crockett,517,44.72,635,54.93,4,0.35,-118,-10.21,1156
Crosby,1783,66.46,889,33.13,11,0.41,894,33.33,2683
Culberson,343,52.77,300,46.15,7,1.08,43,6.62,650
Dallam,835,46.18,961,53.15,12,0.66,-126,-6.97,1808
Dallas,88876,36.99,149369,62.16,2054,0.85,-60493,-25.17,240299
Dawson,2063,48.59,2161,50.89,22,0.52,-98,-2.30,4246
Deaf_Smith,1299,38.79,2024,60.44,26,0.78,-725,-21.65,3349
Delta,1360,74.24,460,25.11,12,0.66,900,49.13,1832
Denton,5366,48.26,5724,51.48,29,0.26,-358,-3.22,11119
Dewitt,2253,44.80,2763,54.94,13,0.26,-510,-10.14,5029
Dickens,1075,66.89,521,32.42,11,0.68,554,34.47,1607
Dimmit,886,57.64,648,42.16,3,0.20,238,15.48,1537
Donley,764,44.42,951,55.29,5,0.29,-187,-10.87,1720
Duval,3803,82.42,809,17.53,2,0.04,2994,64.89,4614
Eastland,3058,47.42,3359,52.09,32,0.50,-301,-4.67,6449
Ector,8996,43.52,11145,53.91,531,2.57,-2149,-10.39,20672
Edwards,168,26.29,463,72.46,8,1.25,-295,-46.17,639
Ellis,5841,61.21,3666,38.42,36,0.38,2175,22.79,9543
El_Paso,26027,54.59,21551,45.20,99,0.21,4476,9.39,47677
Erath,2490,47.74,2696,51.69,30,0.58,-206,-3.95,5216
Falls,3399,68.46,1559,31.40,7,0.14,1840,37.06,4965
Fannin,4282,69.76,1844,30.04,12,0.20,2438,39.72,6138
Fayette,3462,60.75,2213,38.83,24,0.42,1249,21.92,5699
Fisher,1966,74.05,679,25.57,10,0.38,1287,48.48,2655
Floyd,1437,47.24,1580,51.94,25,0.82,-143,-4.70,3042
Foard,723,72.66,270,27.14,2,0.20,453,45.52,995
Fort_Bend,4339,56.27,3301,42.81,71,0.92,1038,13.46,7711
Franklin,1148,64.71,620,34.95,6,0.34,528,29.76,1774
Freestone,1997,54.71,1629,44.63,24,0.66,368,10.08,3650
Frio,1068,59.66,713,39.83,9,0.50,355,19.83,1790
Gaines,1498,49.26,1520,49.98,23,0.76,-22,-0.72,3041
Galveston,23940,58.64,16373,40.10,515,1.26,7567,18.54,40828
