County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,AIP_NUM,AIP_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,3447,36.40,2828,29.86,3196,33.75,0,0,251,2.65,9471
Andrews,922,25.37,1400,38.53,1312,36.10,0,0,88,2.43,3634
Angelina,5174,32.48,4645,29.16,6111,38.36,0,0,-937,-5.88,15930
Aransas,1222,45.01,1076,39.63,417,15.36,0,0,146,5.38,2715
Archer,1308,55.49,636,26.98,413,17.52,0,0,672,28.51,2357
Armstrong,301,31.99,434,46.12,206,21.89,0,0,-133,-14.13,941
Atascosa,2522,49.47,1805,35.41,771,15.12,0,0,717,14.06,5098
Austin,1299,29.83,1971,45.27,1084,24.90,0,0,-672,-15.44,4354
Bailey,820,32.06,1174,45.90,563,22.01,1,0.04,-354,-13.84,2558
Bandera,535,29.72,842,46.78,423,23.50,0,0,-307,-17.06,1800
Bastrop,2687,52.51,1455,28.43,975,19.05,0,0,1232,24.08,5117
Baylor,1064,49.17,657,30.36,443,20.47,0,0,407,18.81,2164
Bee,2957,53.34,1995,35.98,589,10.62,3,0.05,962,17.36,5544
Bell,11893,56.24,5705,26.98,3547,16.77,0,0,6188,29.26,21145
Bexar,95325,51.56,72951,39.46,16598,8.98,0,0,22374,12.10,184874
Blanco,620,42.55,614,42.14,223,15.31,0,0,6,0.41,1457
Borden,157,40.67,117,30.31,112,29.02,0,0,40,10.36,386
Bosque,1817,46.34,1377,35.12,727,18.54,0,0,440,11.22,3921
Bowie,6468,33.00,5966,30.44,7165,36.56,0,0,-697,-3.56,19599
Brazoria,11439,38.00,10631,35.32,8026,26.66,7,0.02,808,2.68,30103
Brazos,6299,40.43,6839,43.90,2437,15.64,4,0.03,-540,-3.47,15579
Brewster,958,45.82,790,37.78,342,16.36,1,0.05,168,8.04,2091
Briscoe,528,45.60,411,35.49,219,18.91,0,0,117,10.11,1158
Brooks,1904,73.12,534,20.51,166,6.37,0,0,1370,52.61,2604
Brown,3999,46.49,2997,34.84,1606,18.67,0,0,1002,11.65,8602
Burleson,1678,51.43,891,27.31,694,21.27,0,0,787,24.12,3263
Burnet,1876,47.16,1459,36.68,643,16.16,0,0,417,10.48,3978
Caldwell,2889,56.32,1402,27.33,837,16.32,2,0.04,1487,28.99,5130
Calhoun,2612,48.82,1672,31.25,1065,19.91,1,0.02,940,17.57,5350
Callahan,1437,46.41,921,29.75,737,23.80,1,0.03,516,16.66,3096
Cameron,15726,53.26,11759,39.82,2042,6.92,0,0,3967,13.44,29527
Camp,1272,43.85,555,19.13,1074,37.02,0,0,198,6.83,2901
Carson,904,33.67,1211,45.10,570,21.23,0,0,-307,-11.43,2685
Cass,2536,34.50,1930,26.26,2883,39.22,1,0.01,-347,-4.72,7350
Castro,1181,41.61,1033,36.40,623,21.95,1,0.04,148,5.21,2838
Chambers,1217,33.74,1061,29.42,1329,36.85,0,0,-112,-3.11,3607
Cherokee,3242,33.74,2575,26.80,3791,39.46,0,0,-549,-5.72,9608
Childress,1093,39.62,1045,37.88,621,22.51,0,0,48,1.74,2759
Clay,1573,49.56,936,29.49,665,20.95,0,0,637,20.07,3174
Cochran,633,38.83,548,33.62,449,27.55,0,0,85,5.21,1630
Coke,563,48.58,387,33.39,208,17.95,1,0.09,176,15.19,1159
Coleman,1449,35.26,1507,36.68,1153,28.06,0,0,-58,-1.42,4109
Collin,5918,36.39,6494,39.93,3850,23.67,0,0,-576,-3.54,16262
Collingsworth,746,38.59,712,36.83,475,24.57,0,0,34,1.76,1933
Colorado,1976,36.34,2296,42.22,1163,21.39,3,0.06,-320,-5.88,5438
Comal,2338,34.84,3646,54.34,724,10.79,2,0.03,-1308,-19.50,6710
Comanche,1980,48.00,1436,34.81,708,17.16,1,0.02,544,13.19,4125
Concho,502,45.23,411,37.03,197,17.75,0,0,91,8.20,1110
Cooke,2711,34.22,3799,47.96,1412,17.82,0,0,-1088,-13.74,7922
Coryell,2987,51.00,1698,28.99,1172,20.01,0,0,1289,22.01,5857
Cottle,742,58.15,268,21.00,266,20.85,0,0,474,37.15,1276
Crane,498,29.24,493,28.95,712,41.81,0,0,-214,-12.57,1703
Crockett,571,42.02,509,37.45,279,20.53,0,0,62,4.57,1359
Crosby,1574,55.42,865,30.46,401,14.12,0,0,709,24.96,2840
Culberson,330,42.69,298,38.55,145,18.76,0,0,32,4.14,773
Dallam,588,29.28,990,49.30,430,21.41,0,0,-402,-20.02,2008
Dallas,123809,34.06,184193,50.66,55552,15.28,0,0,-60384,-16.60,363554
Dawson,1522,33.72,2091,46.33,900,19.94,0,0,-569,-12.61,4513
Deaf_Smith,1545,32.78,2474,52.49,691,14.66,3,0.06,-929,-19.71,4713
Delta,1037,55.10,370,19.66,475,25.24,0,0,562,29.86,1882
Denton,7463,39.56,8222,43.59,3178,16.85,0,0,-759,-4.03,18863
Dewitt,1871,35.68,2589,49.37,784,14.95,0,0,-718,-13.69,5244
Dickens,811,52.87,428,27.90,295,19.23,0,0,383,24.97,1534
Dimmit,896,53.98,584,35.18,177,10.66,3,0.18,312,18.80,1660
Donley,543,33.37,816,50.15,268,16.47,0,0,-273,-16.78,1627
Duval,3978,88.74,384,8.57,121,2.70,0,0,3594,80.17,4483
Eastland,2884,45.42,2453,38.63,1013,15.95,0,0,431,6.79,6350
Ector,5312,21.65,10557,43.02,8671,35.33,0,0,1886,7.69,24540
Edwards,148,23.16,409,64.01,82,12.83,0,0,-261,-40.85,639
Ellis,5431,45.01,3794,31.44,2838,23.52,4,0.03,1637,13.57,12067
El_Paso,32658,47.94,30347,44.55,5111,7.50,0,0,2311,3.39,68116
Erath,2915,48.11,2209,36.46,935,15.43,0,0,706,11.65,6059
Falls,2990,52.47,1345,23.60,1364,23.93,0,0,1626,28.54,5699
Fannin,3931,54.77,1585,22.08,1661,23.14,0,0,2270,31.63,7177
Fayette,1833,31.74,2380,41.21,1562,27.05,0,0,-547,-9.47,5775
Fisher,1560,65.41,555,23.27,268,11.24,2,0.08,1005,42.14,2385
Floyd,1305,36.08,1465,40.50,847,23.42,0,0,-160,-4.42,3617
Foard,594,60.74,216,22.09,168,17.18,0,0,378,38.65,978
Fort_Bend,4493,39.02,4573,39.72,2447,21.25,1,0.01,-80,-0.70,11514
Franklin,1001,50.33,481,24.18,507,25.49,0,0,494,24.84,1989
Freestone,2066,50.48,958,23.41,1069,26.12,0,0,997,24.36,4093
Frio,1330,54.69,795,32.69,307,12.62,0,0,535,22.00,2432
Gaines,1087,30.78,1401,39.68,1037,29.37,6,0.17,-314,-8.90,3531
Galveston,26041,49.52,16229,30.86,10322,19.63,0,0,9812,18.66,52592
Garza,662,39.88,615,37.05,383,23.07,0,0,47,2.83,1660
Gillespie,725,17.66,2945,71.74,432,10.52,3,0.07,-2220,-54.08,4105
Glasscock,106,23.71,169,37.81,172,38.48,0,0,-3,-0.67,447
Goliad,690,44.43,707,45.52,156,10.05,0,0,-17,-1.09,1553
Gonzales,1930,43.97,1476,33.63,983,22.40,0,0,454,10.34,4389
Gray,2374,21.99,5994,55.53,2427,22.48,0,0,3567,33.05,10795
Grayson,10379,45.12,8007,34.81,4615,20.06,0,0,2372,10.31,23001
Gregg,5733,24.80,9278,40.13,8109,35.07,0,0,1169,5.06,23120
Grimes,1473,41.79,1076,30.52,976,27.69,0,0,397,11.27,3525
Guadalupe,3529,38.77,4332,47.59,1241,13.63,0,0,-803,-8.82,9102
Hale,3293,31.98,4696,45.60,2309,22.42,0,0,-1403,-13.62,10298
Hall,1038,46.65,753,33.84,434,19.51,0,0,285,12.81,2225
Hamilton,1116,39.38,1266,44.67,452,15.95,0,0,-150,-5.29,2834
Hansford,392,17.92,1359,62.11,437,19.97,0,0,922,42.14,2188
Hardeman,1145,44.92,873,34.25,531,20.83,0,0,272,10.67,2549
Hardin,2894,32.66,1986,22.41,3979,44.90,3,0.03,-1085,-12.24,8862
Harris,182546,38.75,202079,42.90,86412,18.35,0,0,-19533,-4.15,471037
Harrison,4959,35.55,3668,26.29,5324,38.16,0,0,-365,-2.61,13951
Hartley,299,25.78,597,51.47,264,22.76,0,0,-298,-25.69,1160
Haskell,1888,58.80,713,22.20,610,19.00,0,0,1175,36.60,3211
Hays,3546,57.35,1993,32.23,643,10.40,1,0.02,1553,25.12,6183
Hemphill,400,30.77,699,53.77,201,15.46,0,0,-299,-23.00,1300
Henderson,3119,39.32,2315,29.19,2497,31.48,1,0.01,622,7.84,7932
Hidalgo,20087,54.13,14455,38.95,2569,6.92,0,0,5632,15.18,37111
Hill,3415,48.95,1809,25.93,1751,25.10,2,0.03,1606,23.02,6977
Hockley,2426,39.47,2265,36.85,1456,23.69,0,0,161,2.62,6147
Hood,1155,53.45,593,27.44,411,19.02,2,0.09,562,26.01,2161
Hopkins,2700,41.59,1860,28.65,1932,29.76,0,0,768,11.83,6492
Houston,2782,44.60,1391,22.30,2062,33.06,2,0.03,720,11.54,6237
Howard,3897,37.11,3812,36.30,2789,26.56,3,0.03,85,0.81,10501
Hudspeth,289,40.88,285,40.31,132,18.67,1,0.14,4,0.57,707
Hunt,4785,37.08,4651,36.04,3469,26.88,0,0,134,1.04,12905
Hutchinson,2416,23.81,4813,47.43,2919,28.76,0,0,1894,18.67,10148
Irion,187,38.16,211,43.06,92,18.78,0,0,-24,-4.90,490
Jack,1133,43.39,966,37.00,512,19.61,0,0,167,6.39,2611
Jackson,1698,39.62,1438,33.55,1145,26.71,5,0.12,260,6.07,4286
Jasper,2438,33.94,1839,25.60,2906,40.46,0,0,-468,-6.52,7183
Jeff_Davis,239,48.19,191,38.51,66,13.31,0,0,48,9.68,496
Jefferson,30032,38.57,26007,33.40,21824,28.03,5,0.01,4025,5.17,77868
Jim_Hogg,1276,82.06,223,14.34,53,3.41,3,0.19,1053,67.72,1555
Jim_Wells,6304,62.73,2827,28.13,913,9.08,6,0.06,3477,34.60,10050
Johnson,5330,42.95,4372,35.23,2709,21.83,0,0,958,7.72,12411
Jones,2372,47.64,1676,33.66,931,18.70,0,0,696,13.98,4979
Karnes,2271,52.83,1342,31.22,686,15.96,0,0,929,21.61,4299
Kaufman,3311,40.92,2431,30.04,2350,29.04,0,0,880,10.88,8092
Kendall,538,21.77,1569,63.50,364,14.73,0,0,-1031,-41.73,2471
Kenedy,100,54.64,76,41.53,7,3.83,0,0,24,13.11,183
Kent,303,47.79,143,22.56,188,29.65,0,0,115,18.14,634
Kerr,1878,28.27,3692,55.58,1073,16.15,0,0,-1814,-27.31,6643
Kimble,463,33.85,640,46.78,264,19.30,1,0.07,-177,-12.93,1368
King,109,48.66,44,19.64,71,31.70,0,0,38,16.96,224
Kinney,333,55.59,198,33.06,68,11.35,0,0,135,22.53,599
Kleberg,4633,57.80,2713,33.84,670,8.36,0,0,1920,23.96,8016
Knox,1222,57.45,580,27.27,325,15.28,0,0,642,30.18,2127
Lamar,4635,42.39,3395,31.05,2903,26.55,0,0,1240,11.34,10933
Lamb,2267,35.86,2595,41.05,1460,23.09,0,0,-328,-5.19,6322
Lampasas,1423,50.50,935,33.18,460,16.32,0,0,488,17.32,2818
La_Salle,645,59.67,324,29.97,112,10.36,0,0,321,29.70,1081
Lavaca,2165,40.74,1698,31.95,1451,27.31,0,0,467,8.79,5314
Lee,1283,42.92,1075,35.97,631,21.11,0,0,208,6.95,2989
Leon,1536,49.95,659,21.43,880,28.62,0,0,656,21.33,3075
Liberty,3469,36.11,2746,28.58,3393,35.31,0,0,76,0.80,9608
Limestone,2796,49.20,1485,26.13,1402,24.67,0,0,1311,23.07,5683
Lipscomb,279,18.06,1079,69.84,187,12.10,0,0,-800,-51.78,1545
Live_Oak,922,39.33,938,40.02,484,20.65,0,0,-16,-0.69,2344
Llano,1282,45.38,1079,38.19,464,16.42,0,0,203,7.19,2825
Loving,18,22.22,23,28.40,40,49.38,0,0,-17,-20.98,81
Lubbock,15430,30.77,25646,51.13,9078,18.10,0,0,-10216,-20.36,50154
Lynn,1333,46.25,1005,34.87,544,18.88,0,0,328,11.38,2882
Madison,994,41.99,608,25.69,765,32.32,0,0,229,9.67,2367
Marion,1260,44.15,637,22.32,957,33.53,0,0,303,10.62,2854
Martin,373,29.72,343,27.33,539,42.95,0,0,-166,-13.23,1255
Mason,560,36.89,789,51.98,169,11.13,0,0,-229,-15.09,1518
Matagorda,3595,42.46,3094,36.55,1777,20.99,0,0,501,5.91,8466
Maverick,1570,62.65,771,30.77,165,6.58,0,0,799,31.88,2506
McCulloch,1353,50.88,947,35.61,359,13.50,0,0,406,15.27,2659
McLennan,22388,48.00,15958,34.22,8268,17.73,25,0.05,6430,13.78,46639
McMullen,160,37.38,169,39.49,99,23.13,0,0,-9,-2.11,428
Medina,2471,47.06,2058,39.19,722,13.75,0,0,413,7.87,5251
Menard,362,37.28,491,50.57,118,12.15,0,0,-129,-13.29,971
Midland,4756,20.48,12789,55.07,5675,24.44,2,0.01,7114,30.63,23222
Milam,3269,51.01,1614,25.18,1525,23.79,1,0.02,1655,25.83,6409
Mills,722,43.42,645,38.79,296,17.80,0,0,77,4.63,1663
Mitchell,1589,53.30,893,29.96,499,16.74,0,0,696,23.34,2981
Montague,2555,49.09,1736,33.35,914,17.56,0,0,819,15.74,5205
Montgomery,4021,30.34,4353,32.84,4879,36.81,2,0.02,-526,-3.97,13255
Moore,1359,27.20,2378,47.60,1258,25.18,1,0.02,-1019,-20.40,4996
Morris,1701,41.61,1064,26.03,1323,32.36,0,0,378,9.25,4088
Motley,397,35.86,415,37.49,295,26.65,0,0,-18,-1.63,1107
Nacogdoches,3449,34.91,3235,32.74,3196,32.35,0,0,214,2.17,9880
Navarro,5296,50.98,2845,27.39,2245,21.61,2,0.02,2451,23.59,10388
Newton,1476,41.68,555,15.67,1509,42.62,1,0.03,-33,-0.94,3541
Nolan,2784,46.88,1969,33.16,1185,19.96,0,0,815,13.72,5938
Nueces,39025,57.82,21307,31.57,7159,10.61,0,0,17718,26.25,67491
Ochiltree,432,13.79,2208,70.50,492,15.71,0,0,1716,54.79,3132
Oldham,237,30.08,320,40.61,230,29.19,1,0.13,-83,-10.53,788
