County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,IND_NUM,IND_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Anderson,5970,52.69,5163,45.57,137,1.21,60,0.53,807,7.12,11330
Andrews,2800,69.77,1155,28.78,39,0.97,19,0.47,1645,40.99,4013
Angelina,9900,48.54,10140,49.72,232,1.14,122,0.60,-240,-1.18,20394
Aransas,3081,60.79,1800,35.52,134,2.64,53,1.05,1281,25.28,5068
Archer,1804,54.85,1444,43.90,30,0.91,11,0.33,360,10.95,3289
Armstrong,709,66.57,333,31.27,9,0.85,14,1.31,376,35.31,1065
Atascosa,4364,51.53,3980,46.99,93,1.10,32,0.38,384,4.53,8469
Austin,3734,64.91,1893,32.90,87,1.51,39,0.68,1841,32.00,5753
Bailey,1809,68.14,800,30.13,26,0.98,20,0.75,1009,38.00,2655
Bandera,2373,70.63,894,26.61,64,1.90,29,0.86,1479,44.02,3360
Bastrop,3768,43.07,4716,53.91,205,2.34,59,0.67,-948,-10.84,8748
Baylor,1098,47.61,1183,51.30,14,0.61,11,0.48,-85,-3.69,2306
Bee,4171,52.59,3606,45.47,125,1.58,29,0.37,565,7.12,7931
Bell,20729,54.72,15823,41.77,934,2.47,399,1.05,4906,12.95,37885
Bexar,159578,51.73,137729,44.65,9467,3.07,1700,0.55,21849,7.08,308474
Blanco,1434,62.32,794,34.51,52,2.26,21,0.91,640,27.81,2301
Borden,279,67.23,131,31.57,3,0.72,2,0.48,148,35.66,415
Bosque,2908,53.49,2431,44.71,62,1.14,36,0.66,477,8.77,5437
Bowie,13942,54.35,11339,44.21,244,0.95,125,0.49,2603,10.15,25650
Brazoria,27614,58.08,18253,38.39,1205,2.53,472,0.99,9361,19.69,47544
Brazos,17798,60.25,9856,33.37,1453,4.92,432,1.46,7942,26.89,29539
Brewster,1496,51.73,1271,43.95,89,3.08,36,1.24,225,7.78,2892
Briscoe,562,48.87,561,48.78,13,1.13,14,1.22,1,0.09,1150
Brooks,780,23.40,2488,74.65,43,1.29,22,0.66,-1708,-51.25,3333
Brown,6515,56.41,4867,42.14,102,0.88,65,0.56,1648,14.27,11549
Burleson,1943,42.16,2615,56.74,33,0.72,18,0.39,-672,-14.58,4609
Burnet,4033,50.84,3711,46.78,132,1.66,57,0.72,322,4.06,7933
Caldwell,2879,46.56,3155,51.02,112,1.81,38,0.61,-276,-4.46,6184
Calhoun,3312,50.57,3034,46.33,136,2.08,67,1.02,278,4.24,6549
Callahan,2284,52.74,2002,46.22,29,0.67,16,0.37,282,6.51,4331
Cameron,22041,47.62,23200,50.12,801,1.73,243,0.53,-1159,-2.50,46285
Camp,1531,42.32,2052,56.72,19,0.53,16,0.44,-521,-14.40,3618
Carson,1888,64.17,1006,34.19,26,0.88,22,0.75,882,29.98,2942
Cass,4993,46.79,5578,52.27,60,0.56,41,0.38,-585,-5.48,10672
Castro,1955,60.75,1199,37.26,44,1.37,20,0.62,756,23.49,3218
Chambers,3140,54.08,2517,43.35,96,1.65,53,0.91,623,10.73,5806
Cherokee,5629,49.01,5726,49.85,92,0.80,39,0.34,-97,-0.84,11486
Childress,1443,53.19,1222,45.04,33,1.22,15,0.55,221,8.15,2713
Clay,1824,44.39,2233,54.34,40,0.97,12,0.29,-409,-9.95,4109
Cochran,1064,66.21,513,31.92,23,1.43,7,0.44,551,34.29,1607
Coke,708,45.44,838,53.79,10,0.64,2,0.13,-130,-8.34,1558
Coleman,2228,55.78,1719,43.04,33,0.83,14,0.35,509,12.74,3994
Collin,36559,67.88,15187,28.20,1559,2.89,556,1.03,21372,39.68,53861
Collingsworth,1020,55.11,798,43.11,18,0.97,15,0.81,222,11.99,1851
Colorado,3520,58.75,2377,39.68,58,0.97,36,0.60,1143,19.08,5991
Comal,9758,71.15,3554,25.92,324,2.36,78,0.57,6204,45.24,13714
Comanche,1977,43.09,2550,55.58,40,0.87,21,0.46,-573,-12.49,4588
Concho,700,49.40,702,49.54,8,0.56,7,0.49,-2,-0.14,1417
Cooke,6760,62.58,3842,35.57,129,1.19,71,0.66,2918,27.01,10802
Coryell,5494,55.38,4097,41.30,228,2.30,101,1.02,1397,14.08,9920
Cottle,511,40.36,732,57.82,9,0.71,14,1.11,-221,-17.46,1266
Crane,1310,67.15,607,31.11,23,1.18,11,0.56,703,36.03,1951
Crockett,885,59.24,595,39.83,10,0.67,4,0.27,290,19.41,1494
Crosby,1361,48.50,1408,50.18,17,0.61,20,0.71,-47,-1.67,2806
Culberson,541,55.43,423,43.34,7,0.72,5,0.51,118,12.09,976
Dallam,965,58.88,632,38.56,33,2.01,9,0.55,333,20.32,1639
Dallas,306682,59.18,190459,36.75,14271,2.75,6801,1.31,116223,22.43,518213
Dawson,3267,62.77,1867,35.87,55,1.06,16,0.31,1400,26.90,5205
Deaf_Smith,4073,69.46,1666,28.41,77,1.31,48,0.82,2407,41.05,5864
Delta,767,35.81,1347,62.89,18,0.84,10,0.47,-580,-27.08,2142
Denton,29908,59.93,17381,34.83,1953,3.91,666,1.33,12527,25.10,49908
Dewitt,3450,61.83,2044,36.63,66,1.18,20,0.36,1406,25.20,5580
Dickens,554,37.41,912,61.58,13,0.88,2,0.14,-358,-24.17,1481
Dimmit,1173,35.30,2102,63.26,25,0.75,23,0.69,-929,-27.96,3323
Donley,1106,58.58,751,39.78,22,1.17,9,0.48,355,18.80,1888
Duval,1012,21.27,3706,77.91,28,0.59,11,0.23,-2694,-56.63,4757
Eastland,3442,50.05,3346,48.65,37,0.54,52,0.76,96,1.40,6877
Ector,26188,72.38,9069,25.07,636,1.76,286,0.79,17119,47.32,36179
Edwards,575,69.78,237,28.76,11,1.33,1,0.12,338,41.02,824
Ellis,10046,51.31,9219,47.08,214,1.09,101,0.52,827,4.22,19580
El_Paso,53276,53.53,40082,40.27,5096,5.12,1072,1.08,13194,13.26,99526
Erath,3981,47.93,4156,50.04,92,1.11,77,0.93,-175,-2.11,8306
Falls,2606,43.38,3328,55.40,51,0.85,22,0.37,-722,-12.02,6007
Fannin,3196,37.12,5284,61.36,74,0.86,57,0.66,-2088,-24.25,8611
Fayette,4104,60.32,2590,38.07,77,1.13,33,0.49,1514,22.25,6804
Fisher,838,34.39,1564,64.18,23,0.94,12,0.49,-726,-29.79,2437
Floyd,2043,57.45,1477,41.54,24,0.67,12,0.34,566,15.92,3556
Foard,349,35.69,617,63.09,7,0.72,5,0.51,-268,-27.40,978
Fort_Bend,25366,66.25,11583,30.25,1005,2.62,332,0.87,13783,36.00,38286
