County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,OTH_PCT,OTH_NUM,Total_NUM
Anderson,33.43,5041,65.22,9835,1.35,204,15080
Andrews,21.77,876,76.81,3091,1.42,57,4024
Angelina,36.91,9957,61.72,16648,1.37,369,26974
Aransas,31.98,2637,65.36,5390,2.67,220,8247
Archer,24.84,993,73.83,2951,1.33,53,3997
Armstrong,15.99,150,82.30,772,1.71,16,938
Atascosa,40.22,4322,57.98,6231,1.80,193,10746
Austin,26.09,2407,72.19,6661,1.72,159,9227
Bailey,23.35,488,76.03,1589,0.62,13,2090
Bandera,19.61,1426,77.18,5613,3.22,234,7273
Bastrop,38.09,6973,56.31,10310,5.60,1025,18308
Baylor,33.42,663,64.77,1285,1.81,36,1984
Bee,45.56,3795,53.17,4429,1.27,106,8330
Bell,33.20,21011,65.11,41208,1.69,1072,63291
Bexar,44.86,185158,52.24,215613,2.90,11955,412726
Blanco,21.53,811,73.72,2777,4.75,179,3767
Borden,17.56,62,80.17,283,2.27,8,353
Bosque,28.51,1930,70.09,4745,1.40,95,6770
Bowie,38.46,11662,60.44,18325,1.10,333,30320
Brazoria,31.10,24883,66.79,53445,2.11,1691,80019
Brazos,26.33,12359,70.01,32864,3.66,1718,46941
Brewster,37.68,1349,52.15,1867,10.17,364,3580
Briscoe,29.02,224,70.47,544,0.52,4,772
Brooks,76.26,1854,22.87,556,0.86,21,2431
Brown,24.29,3138,74.37,9609,1.34,173,12920
Burleson,38.10,2235,60.38,3542,1.52,89,5866
Burnet,26.88,3557,70.18,9286,2.94,389,13232
Caldwell,41.08,3872,55.34,5216,3.58,337,9425
Calhoun,42.15,2766,56.74,3724,1.11,73,6563
Callahan,23.98,1174,74.67,3656,1.35,66,4896
Cameron,53.52,33214,44.80,27800,1.68,1043,62057
Camp,42.94,1625,56.05,2121,1.00,38,3784
Carson,17.51,480,80.82,2216,1.68,46,2742
Cass,41.91,4618,57.13,6295,0.96,106,11019
Castro,30.88,727,68.27,1607,0.85,20,2354
Chambers,29.45,2888,69.03,6769,1.52,149,9806
Cherokee,32.71,4755,66.03,9599,1.26,183,14537
Childress,28.32,602,70.84,1506,0.85,18,2126
Clay,31.49,1460,67.11,3112,1.40,65,4637
Cochran,29.38,344,68.92,807,1.71,20,1171
Coke,23.43,355,75.05,1137,1.52,23,1515
Coleman,23.84,853,75.10,2687,1.06,38,3578
Collin,24.45,42884,73.07,128179,2.48,4357,175420
Collingsworth,30.32,429,68.83,974,0.85,12,1415
Colorado,30.75,2229,67.77,4913,1.48,107,7249
Comal,21.78,7131,75.12,24599,3.11,1018,32748
Comanche,32.58,1636,66.39,3334,1.04,52,5022
Concho,24.30,268,74.16,818,1.54,17,1103
Cooke,23.41,3153,75.19,10128,1.40,188,13469
Coryell,29.78,4493,68.41,10321,1.81,273,15087
Cottle,31.84,241,66.31,502,1.85,14,757
Crane,23.40,387,75.33,1246,1.27,21,1654
Crockett,33.40,467,66.09,924,0.50,7,1398
Crosby,35.21,705,63.44,1270,1.35,27,2002
Culberson,57.02,577,40.81,413,2.17,22,1012
Dallam,19.55,341,79.42,1385,1.03,18,1744
Dallas,44.91,275308,52.58,322345,2.51,15386,613039
Dawson,30.23,1463,68.96,3337,0.81,39,4839
Deaf_Smith,24.88,1240,73.98,3687,1.14,57,4984
Delta,38.21,726,60.16,1143,1.63,31,1900
Denton,27.35,40144,69.60,102171,3.05,4475,146790
DeWitt,25.39,1570,73.44,4541,1.16,72,6183
Dickens,32.24,284,66.86,589,0.91,8,881
Dimmit,71.36,2678,27.50,1032,1.15,43,3753
Donley,20.94,360,77.55,1333,1.51,26,1719
Duval,79.32,3990,20.08,1010,0.60,30,5030
Eastland,27.66,1774,70.64,4531,1.70,109,6414
Ector,28.65,9425,69.58,22893,1.77,583,32901
Edwards,27.85,261,70.76,663,1.39,13,937
El_Paso,57.81,83848,39.69,57574,2.50,3620,145042
Ellis,28.49,10629,69.94,26091,1.57,587,37307
Erath,25.23,2804,73.11,8126,1.66,185,11115
Falls,42.29,2417,56.68,3239,1.03,59,5715
Fannin,39.67,4102,58.74,6074,1.59,164,10340
Fayette,27.08,2542,70.93,6658,1.99,187,9387
Fisher,47.22,884,51.71,968,1.07,20,1872
Floyd,23.97,580,75.62,1830,0.41,10,2420
Foard,47.30,263,51.44,286,1.26,7,556
Fort_Bend,38.51,47569,59.56,73567,1.92,2373,123509
Franklin,29.32,1018,69.70,2420,0.98,34,3472
Freestone,34.87,2316,63.95,4247,1.17,78,6641
Frio,56.13,2317,42.97,1774,0.90,37,4128
Gaines,20.90,723,77.80,2691,1.30,45,3459
Galveston,43.04,40020,54.20,50397,2.76,2566,92983
Garza,25.65,454,73.56,1302,0.79,14,1770
