County DEM_NUM DEM_PCT GOP_NUM GOP_PCT CON_NUM CON_PCT Margin_NUM Margin_PCT Total_NUM 
Anderson	4809	58.78	3362	41.10	10	0.12	1447	17.68	8181
Andrews	2133	59.50	1442	40.22	10	0.28	691	19.28	3585
Angelina	8194	60.77	5262	39.02	28	0.21	2932	21.75	13484
Aransas	1492	71.01	602	28.65	7	0.33	890	42.36	2101
Archer	1766	80.02	441	19.98	0	0.00	1325	60.04	2207
Armstrong	544	59.85	365	40.15	0	0.00	179	19.70	909
Atascosa	3224	71.39	1283	28.41	9	0.20	1941	42.98	4516
Austin	2365	60.41	1545	39.46	5	0.13	820	20.95	3915
Bailey	1503	58.67	1056	41.22	3	0.12	447	17.45	2562
Bandera	876	53.45	762	46.49	1	0.06	114	6.96	1639
Bastrop	3912	77.48	1130	22.38	7	0.14	2782	55.10	5049
Baylor	1403	78.21	389	21.68	2	0.11	1014	56.53	1794
Bee	3314	68.58	1509	31.23	9	0.19	1805	37.35	4832
Bell	14557	83.13	2938	16.78	17	0.10	11619	66.35	17512
Bexar	108658	66.86	53469	32.90	393	0.24	55189	33.96	162520
Blanco	1197	80.44	290	19.49	1	0.07	907	60.95	1488
Borden	266	63.48	152	36.28	1	0.24	114	27.20	419
Bosque	2690	72.29	1024	27.52	7	0.19	1666	44.77	3721
Bowie	10368	59.55	7018	40.31	24	0.14	3350	19.24	17410
Brazoria	15917	64.98	8477	34.60	103	0.42	7440	30.38	24497
Brazos	7998	66.54	4003	33.31	18	0.15	3995	33.23	12019
Brewster	1251	66.30	635	33.65	1	0.05	616	32.65	1887
Briscoe	966	73.35	348	26.42	3	0.23	618	46.93	1317
Brooks	2299	85.05	402	14.87	2	0.07	1897	70.18	2703
Brown	5214	71.49	2070	28.38	9	0.12	3144	43.11	7293
Burleson	2527	80.30	617	19.61	3	0.10	1910	60.69	3147
Burnet	2585	75.81	821	24.08	4	0.12	1764	51.73	3410
Caldwell	3580	77.34	1046	22.60	3	0.06	2534	54.74	4629
Calhoun	3398	76.64	1031	23.25	5	0.11	2367	53.39	4434
Callahan	2178	71.72	849	27.96	10	0.33	1329	43.76	3037
Cameron	16056	62.57	9531	37.14	72	0.28	6525	25.43	25659
Camp	1841	71.44	729	28.29	7	0.27	1112	43.15	2577
Carson	1574	60.05	1044	39.83	3	0.11	530	20.22	2621
Cass	3603	57.26	2681	42.61	8	0.13	922	14.65	6292
Castro	1865	74.78	626	25.10	3	0.12	1239	49.68	2494
Chambers	1921	64.99	1023	34.61	12	0.41	898	30.38	2956
Cherokee	5485	64.25	3043	35.64	9	0.11	2442	28.61	8537
Childress	1977	67.45	952	32.48	2	0.07	1025	34.97	2931
Clay	2357	78.05	659	21.82	4	0.13	1698	56.23	3020
Cochran	1260	71.55	497	28.22	4	0.23	763	43.33	1761
Coke	900	70.92	366	28.84	3	0.24	534	42.08	1269
Coleman	2670	65.04	1434	34.93	1	0.02	1236	30.11	4105
Collin	7833	69.98	3341	29.85	19	0.17	4492	40.13	11193
Collingsworth	1145	61.16	724	38.68	3	0.16	421	22.48	1872
Colorado	3650	65.48	1918	34.41	6	0.11	1732	31.07	5574
Comal	3644	62.03	2223	37.84	8	0.14	1421	24.19	5875
Comanche	2851	74.65	962	25.19	6	0.16	1889	49.46	3819
Concho	948	75.48	307	24.44	1	0.08	641	51.04	1256
Cooke	4083	56.62	3117	43.23	11	0.15	966	13.39	7211
Coryell	3679	80.61	877	19.22	8	0.18	2802	61.39	4564
Cottle	1122	82.93	230	17.00	1	0.07	892	65.93	1353
Crane	919	58.95	637	40.86	3	0.19	282	18.09	1559
Crockett	799	65.98	409	33.77	3	0.25	390	32.21	1211
Crosby	2278	78.77	611	21.13	3	0.10	1667	57.64	2892
Culberson	473	60.10	314	39.90	0	0.00	159	20.20	787
Dallam	1058	60.15	700	39.80	1	0.06	358	20.35	1759
Dallas	166472	54.73	137065	45.06	621	0.20	29407	9.67	304158
Dawson	3171	65.14	1691	34.74	6	0.12	1480	30.40	4868
Deaf_Smith	2094	53.73	1793	46.01	10	0.26	301	7.72	3897
Delta	1619	82.60	339	17.30	2	0.10	1280	65.30	1960
Denton	9137	67.71	4335	32.13	22	0.16	4802	35.58	13494
Dewitt	3286	58.96	2283	40.97	4	0.07	1003	17.99	5573
Dickens	1324	79.42	339	20.34	4	0.24	985	59.08	1667
Dimmit	1184	70.14	501	29.68	3	0.18	683	40.46	1688
Donley	1068	60.14	708	39.86	0	0.00	360	20.28	1776
Duval	4432	92.55	353	7.37	4	0.08	4079	85.18	4789
Eastland	4692	69.49	2049	30.35	11	0.16	2643	39.14	6752
Ector	10826	48.36	11497	51.36	63	0.28	-671	-3.00	22386
Edwards	337	47.33	371	52.11	4	0.56	-34	-4.78	712
Ellis	7278	72.33	2779	27.62	5	0.05	4499	44.71	10062
El_Paso	35050	62.67	20687	36.99	190	0.34	14363	25.68	55927
Erath	3851	70.04	1642	29.87	5	0.09	2209	40.17	5498
Falls	3933	76.35	1216	23.61	2	0.04	2717	52.74	5151
Fannin	5976	83.00	1219	16.93	5	0.07	4757	66.07	7200
Fayette	3630	63.94	2036	35.86	11	0.19	1594	28.08	5677
Fisher	2108	82.12	454	17.69	5	0.19	1654	64.43	2567
Floyd	2383	65.81	1229	33.94	9	0.25	1154	31.87	3621
Foard	833	85.00	146	14.90	1	0.10	687	70.10	980
Fort_Bend	6186	63.78	3493	36.01	20	0.21	2693	27.77	9699
Franklin	1520	78.19	424	21.81	0	0.00	1096	56.38	1944
Freestone	2816	72.35	1074	27.60	2	0.05	1742	44.75	3892
Frio	1507	71.19	607	28.67	3	0.14	900	42.52	2117
Gaines	2045	63.89	1153	36.02	3	0.09	892	27.87	3201
Galveston	30672	71.04	12365	28.64	136	0.32	18307	42.40	43173
Garza	1254	68.64	567	31.03	6	0.33	687	37.61	1827
Gillespie	2264	57.17	1695	42.80	1	0.03	569	14.37	3960
Glasscock	179	49.31	183	50.41	1	0.28	-4	-1.10	363
Goliad	990	64.24	549	35.63	2	0.13	441	28.61	1541
Gonzales	3348	73.66	1190	26.18	7	0.15	2158	47.48	4545
Gray	3633	42.00	5011	57.93	6	0.07	-1378	-15.93	8650
Grayson	14207	72.01	5500	27.88	21	0.11	8707	44.13	19728
Gregg	8741	42.47	11761	57.14	82	0.40	-3020	-14.67	20584
Grimes	2229	68.65	1014	31.23	4	0.12	1215	37.42	3247
Guadalupe	4568	62.51	2731	37.37	9	0.12	1837	25.14	7308
Hale	5910	61.60	3666	38.21	18	0.19	2244	23.39	9594
Hall	1785	72.77	667	27.19	1	0.04	1118	45.58	2453
Hamilton	2048	67.02	1006	32.92	2	0.07	1042	34.10	3056
Hansford	860	41.83	1193	58.03	3	0.15	-333	-16.20	2056
Hardeman	1835	72.47	697	27.53	0	0.00	1138	44.94	2532
Hardin	5143	71.97	1987	27.81	16	0.22	3156	44.16	7146
Harris	227819	59.49	154401	40.32	765	0.20	73418	19.17	382985
Harrison	6351	53.24	5568	46.67	11	0.09	783	6.57	11930
Hartley	565	56.33	437	43.57	1	0.10	128	12.76	1003
Haskell	2903	84.86	512	14.97	6	0.18	2391	69.89	3421
Hays	3780	74.64	1279	25.26	5	0.10	2501	49.38	5064
Hemphill	649	53.50	563	46.41	1	0.08	86	7.09	1213
Henderson	4697	69.96	1988	29.61	29	0.43	2709	40.35	6714
