County GOP_PCT GOP_NUM DEM_PCT DEM_NUM OTH_PCT OTH_NUM Total_NUM 
Anderson	75.64	12262	23.52	3813	0.85	137	16212
Andrews	81.19	3639	17.74	795	1.07	48	4482
Angelina	71.47	20303	27.58	7834	0.95	269	28406
Aransas	70.79	6830	28.03	2704	1.18	114	9648
Archer	86.46	3600	12.61	525	0.94	39	4164
Armstrong	88.56	828	10.48	98	0.96	9	935
Atascosa	58.65	7461	40.35	5133	1.00	127	12721
Austin	79.53	9265	19.33	2252	1.13	132	11649
Bailey	73.73	1339	25.66	466	0.61	11	1816
Bandera	78.60	7426	19.73	1864	1.67	158	9448
Bastrop	57.32	14033	40.29	9864	2.39	584	24481
Baylor	81.47	1297	16.77	267	1.76	28	1592
Bee	55.29	4356	43.81	3452	0.90	71	7879
Bell	57.51	49574	41.19	35512	1.30	1120	86206
Bexar	47.04	241617	51.56	264856	1.40	7208	513681
Blanco	73.16	3638	24.53	1220	2.31	115	4973
Borden	89.26	324	8.82	32	1.93	7	363
Bosque	80.00	5885	18.58	1367	1.41	104	7356
Bowie	70.24	24869	28.80	10196	0.96	339	35404
Brazoria	66.39	70862	32.25	34421	1.36	1456	106739
Brazos	66.49	37209	31.23	17477	2.28	1276	55962
Brewster	51.10	1976	45.64	1765	3.26	126	3867
Briscoe	82.34	578	16.67	117	1.00	7	702
Brooks	21.10	507	78.49	1886	0.42	10	2403
Brown	85.29	11895	13.65	1904	1.06	148	13947
Burleson	72.35	4671	26.41	1705	1.24	80	6456
Burnet	76.46	12843	21.87	3674	1.66	279	16796
Caldwell	54.40	6021	43.29	4791	2.31	256	11068
Calhoun	62.33	4144	36.25	2410	1.41	94	6648
Callahan	84.24	4378	14.45	751	1.31	68	5197
Cameron	33.94	26099	64.99	49975	1.07	821	76895
Camp	66.46	2881	32.94	1428	0.60	26	4335
Carson	88.23	2451	10.51	292	1.26	35	2778
Cass	74.34	8763	24.80	2924	0.86	101	11788
Castro	69.37	1470	29.73	630	0.90	19	2119
Chambers	79.99	11787	18.93	2790	1.07	158	14735
Cherokee	75.00	12094	24.03	3875	0.97	157	16126
Childress	83.42	1665	16.03	320	0.55	11	1996
Clay	84.36	4266	14.63	740	1.01	51	5057
Cochran	70.77	649	27.92	256	1.31	12	917
Coke	86.51	1218	12.71	179	0.78	11	1408
Coleman	86.25	3012	12.66	442	1.09	38	3492
Collin	65.02	196888	33.49	101415	1.49	4518	302821
Collingsworth	83.65	962	15.39	177	0.96	11	1150
Colorado	74.24	6026	25.00	2029	0.76	62	8117
Comal	76.30	39318	22.22	11450	1.48	761	51529
Comanche	80.39	3944	18.14	890	1.47	72	4906
Concho	79.22	793	19.38	194	1.40	14	1001
Cooke	83.28	11951	15.65	2246	1.07	154	14351
Coryell	67.57	11220	31.06	5158	1.36	226	16604
Cottle	74.90	555	24.29	180	0.81	6	741
Crane	76.77	985	21.43	275	1.79	23	1283
Crockett	65.68	957	32.94	480	1.37	20	1457
Crosby	63.35	1132	35.76	639	0.90	16	1787
Culberson	33.56	295	64.62	568	1.82	16	879
Dallam	81.36	1248	16.49	253	2.15	33	1534
Dallas	41.66	295813	57.11	405571	1.23	8733	710117
Dawson	71.14	2591	27.98	1019	0.88	32	3642
Deaf_Smith	70.60	3042	28.75	1239	0.65	28	4309
Delta	75.52	1524	22.50	454	1.98	40	2018
Denton	64.91	157579	33.35	80978	1.74	4224	242781
DeWitt	77.16	5122	22.10	1467	0.74	49	6638
Dickens	77.82	793	21.20	216	0.98	10	1019
Dimmit	26.12	762	73.40	2141	0.48	14	2917
Donley	83.84	1287	14.72	226	1.43	22	1535
Duval	22.56	980	76.68	3331	0.76	33	4344
Eastland	83.82	5444	14.93	970	1.25	81	6495
