Appling	415	41.75	579	58.25	-164	-16.50	994
Atkinson	350	74.31	121	25.69	229	48.62	471
Bacon	305	60.04	203	39.96	102	20.08	508
Baker	462	82.35	99	17.65	363	64.71	561
Baldwin	712	72.51	270	27.49	442	45.01	982
Banks	422	53.76	363	46.24	59	7.52	785
Barrow	479	41.19	684	58.81	-205	-17.63	1163
Bartow	830	49.76	838	50.24	-8	-0.48	1668
Ben_Hill	1006	68.62	460	31.38	546	37.24	1466
Berrien	735	87.50	105	12.50	630	75.00	840
Bibb	2289	52.42	2078	47.58	211	4.83	4367
Bleckley	641	90.03	71	9.97	570	80.06	712
Brantley	166	49.11	172	50.89	-6	-1.78	338
Brooks	770	80.04	192	19.96	578	60.08	962
Bryan	219	59.19	151	40.81	68	18.38	370
Bulloch	1258	76.47	387	23.53	871	52.95	1645
Burke	687	72.54	260	27.46	427	45.09	947
Butts	846	85.11	148	14.89	698	70.22	994
Calhoun	571	86.25	91	13.75	480	72.51	662
Camden	274	50.65	267	49.35	7	1.29	541
Campbell	425	56.52	327	43.48	98	13.03	752
Candler	411	75.55	133	24.45	278	51.10	544
Carroll	1913	47.53	2112	52.47	-199	-4.94	4025
Catoosa	562	48.16	605	51.84	-43	-3.68	1167
Charlton	415	72.17	160	27.83	255	44.35	575
Chatham	5534	51.14	5288	48.86	246	2.27	10822
Chattahoochee	141	88.68	18	11.32	123	77.36	159
Chattooga	920	45.63	1096	54.37	-176	-8.73	2016
Cherokee	581	25.71	1679	74.29	-1098	-48.58	2260
Clarke	1407	66.03	724	33.97	683	32.05	2131
Clay	405	87.85	56	12.15	349	75.70	461
Clayton	612	49.72	619	50.28	-7	-0.57	1231
Clinch	717	83.37	143	16.63	574	66.74	860
Cobb	1426	45.46	1711	54.54	-285	-9.09	3137
Coffee	1176	66.55	591	33.45	585	33.11	1767
Colquitt	970	54.93	796	45.07	174	9.85	1766
Columbia	279	54.39	234	45.61	45	8.77	513
Cook	689	74.41	237	25.59	452	48.81	926
Coweta	1656	87.85	229	12.15	1427	75.70	1885
Crawford	358	88.18	48	11.82	310	76.35	406
Crisp	523	56.54	402	43.46	121	13.08	925
Dade	453	58.00	328	42.00	125	16.01	781
Dawson	332	53.38	290	46.62	42	6.75	622
Decatur	734	38.84	1156	61.16	-422	-22.33	1890
DeKalb	2293	49.09	2378	50.91	-85	-1.82	4671
Dodge	677	71.26	273	28.74	404	42.53	950
Dooly	744	82.67	156	17.33	588	65.33	900
Dougherty	982	72.15	379	27.85	603	44.31	1361
Douglas	452	42.72	606	57.28	-154	-14.56	1058
Early	674	74.48	231	25.52	443	48.95	905
Echols	314	91.55	29	8.45	285	83.09	343
Effingham	163	20.63	627	79.37	-464	-58.73	790
Elbert	1052	53.05	931	46.95	121	6.10	1983
Emanuel	1076	75.19	355	24.81	721	50.38	1431
Evans	489	71.81	192	28.19	297	43.61	681
Fannin	811	31.92	1730	68.08	-919	-36.17	2541
Fayette	367	65.89	190	34.11	177	31.78	557
Floyd	1494	46.34	1730	53.66	-236	-7.32	3224
Forsyth	287	23.51	934	76.49	-647	-52.99	1221
Franklin	770	49.01	801	50.99	-31	-1.97	1571
Fulton	8872	48.64	9368	51.36	-496	-2.72	18240
Gilmer	529	34.33	1012	65.67	-483	-31.34	1541
Glascock	123	35.34	225	64.66	-102	-29.31	348
Glynn	549	40.73	799	59.27	-250	-18.55	1348
