County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,POP_NUM,POP_PCT,PHB_NUM,PHB_PCT,Margin_NUM,Margin_PCT,Total_NUM
Autauga,980,62.70,537,34.36,38,2.43,8,0.51,443,28.34,1563
Baldwin,444,48.21,396,43.00,74,8.03,7,0.76,48,5.21,921
Barbour,2714,89.57,272,8.98,21,0.69,23,0.76,2442,80.59,3030
Bibb,725,56.77,482,37.74,30,2.35,40,3.13,243,19.03,1277
Blount,1484,52.92,1134,40.44,113,4.03,73,2.60,350,12.48,2804
Bullock,1586,84.99,269,14.42,7,0.38,4,0.21,1317,70.58,1866
Butler,744,37.18,1161,58.02,76,3.80,20,1.00,−417,−20.84,2001
Calhoun,1835,68.37,567,21.13,198,7.38,84,3.13,1268,47.24,2684
Chambers,2837,74.21,835,21.84,62,1.62,89,2.33,2002,52.37,3823
Cherokee,1167,41.87,1169,41.94,392,14.07,59,2.12,−2,−0.07,2787
Chilton,469,37.22,791,62.78,24,1.83,28,2.13,−322,−25.56,1260
Choctaw,658,59.07,406,36.45,33,2.96,17,1.53,252,22.62,1114
Clarke,2066,84.12,372,15.15,4,0.16,14,0.57,1694,68.97,2456
Clay,990,44.84,1087,49.23,94,4.26,37,1.68,−97,−4.39,2208
Cleburne,660,47.69,624,45.09,50,3.61,50,3.61,36,2.60,1384
Coffee,998,63.08,535,33.82,19,1.20,30,1.90,463,29.27,1582
Colbert,1542,53.08,1243,42.79,85,2.93,35,1.20,299,10.29,2905
Conecuh,718,43.07,803,48.17,81,4.86,65,3.90,−85,−5.10,1667
Coosa,959,48.41,951,48.01,31,1.56,40,2.02,8,0.40,1981
Covington,560,66.59,183,21.76,59,7.02,39,4.64,377,44.83,841
Crenshaw,1141,57.68,549,27.76,168,8.49,120,6.07,592,29.93,1978
Cullman,1167,54.46,820,38.26,122,5.69,34,1.59,347,16.19,2143
Dale,1141,51.21,888,39.86,146,6.55,53,2.38,253,11.36,2228
Dallas,4714,94.26,161,3.22,50,1.00,76,1.52,4553,91.04,5001
DeKalb,1873,50.53,1735,46.80,67,1.81,32,0.86,138,3.72,3707
Elmore,1773,58.34,1104,36.33,31,1.02,131,4.31,669,22.01,3039
Escambia,609,56.18,436,40.22,15,1.38,24,2.21,173,15.96,1084
Etowah,1734,48.65,1629,45.71,164,4.60,37,1.04,105,2.95,3564
Fayette,698,43.35,892,55.40,11,0.68,9,0.56,−194,−12.05,1610
Franklin,814,38.58,1151,54.55,89,4.22,56,2.65,−337,−15.97,2110
Geneva,679,46.48,657,44.97,99,6.78,26,1.78,22,1.51,1461
Greene,964,88.44,107,9.82,5,0.46,14,1.28,857,78.62,1090
Hale,1563,80.48,348,17.92,12,0.62,19,0.98,1215,62.56,1942
Henry,1984,73.35,590,21.81,86,3.18,45,1.66,1394,51.53,2705
Jackson,1933,52.37,1694,45.90,24,0.65,40,1.08,239,6.48,3691
Jefferson,4580,59.32,2842,36.81,86,1.11,213,2.76,1738,22.51,7721
Lamar,890,61.29,509,35.06,30,2.07,23,1.58,381,26.24,1452
Lauderdale,1380,48.13,1458,50.85,17,0.59,12,0.42,−78,−2.72,2867
Lawrence,1262,54.30,996,42.86,27,1.16,39,1.68,266,11.45,2324
Lee,1718,60.34,1026,36.04,28,0.98,75,2.63,692,24.31,2847
Limestone,1063,46.56,1157,50.68,26,1.14,37,1.62,−94,−4.12,2283
Lowndes,1770,53.43,1524,46.00,10,0.30,9,0.27,246,7.43,3313
Macon,1295,69.96,511,27.61,19,1.03,26,1.40,784,42.36,1851
Madison,3641,67.80,1679,31.27,36,0.67,14,0.26,1962,36.54,5370
Marengo,2306,90.40,234,9.17,4,0.16,7,0.27,2072,81.22,2551
Marion,1137,61.63,685,37.13,8,0.43,15,0.81,452,24.50,1845
Marshall,1398,49.49,1139,40.32,219,7.75,69,2.44,259,9.17,2825
Mobile,2939,54.56,2243,41.64,112,2.08,93,1.73,696,12.92,5387
Monroe,909,85.11,145,13.58,6,0.56,8,0.75,764,71.54,1068
Montgomery,3047,80.91,567,15.06,60,1.59,92,2.44,2480,65.85,3766
Morgan,1747,52.45,1500,45.03,67,2.01,17,0.51,247,7.42,3331
Perry,1748,94.18,80,4.31,15,0.81,13,0.70,1668,89.87,1856
Pickens,797,70.72,203,18.01,59,5.24,68,6.03,594,52.71,1127
Pike,1413,72.28,498,25.47,35,1.79,9,0.46,915,46.80,1955
Randolph,1510,51.48,1377,46.95,36,1.23,10,0.34,133,4.53,2933
Russell,1416,90.13,135,8.59,12,0.76,8,0.51,1281,81.54,1571
Shelby,749,32.92,1389,61.05,96,4.22,41,1.80,−640,−28.13,2275
St._Clair,794,32.47,1171,47.89,411,16.81,69,2.82,−377,−15.42,2445
Sumter,1053,82.20,204,15.93,6,0.47,18,1.41,849,66.28,1281
Talladega,1602,50.68,1393,44.07,44,1.39,122,3.86,209,6.61,3161
Tallapoosa,2557,66.00,1202,31.03,31,0.80,84,2.17,1355,34.98,3874
Tuscaloosa,1173,62.03,650,34.37,39,2.06,29,1.53,523,27.66,1891
Walker,1250,41.78,1699,56.78,25,0.84,18,0.60,−449,−15.01,2992
Washington,492,61.50,269,33.63,27,3.38,12,1.50,223,27.88,800
Wilcox,2031,97.46,30,1.44,2,0.10,21,1.01,2001,96.02,2084
Winston,539,49.59,519,47.75,15,1.38,14,1.29,20,1.84,1087
Totals,97129,60.84,55612,34.84,4188,2.62,2763,1.73,41517,26.01,159640
