County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,PHB_PCT,PHB_NUM,Other_PCT,Other_NUM,Margin_PCT,Margin_NUM
Dolores,84.60,412,13.55,66,0.62,3,1.23,6,71.05,346
Pitkin,82.71,2305,16.43,458,0.22,6,0.65,18,66.27,1847
Mineral,76.50,700,22.73,208,0.44,4,0.33,3,53.77,492
Montezuma,75.46,732,22.68,220,0.52,5,1.34,13,52.78,512
San_Juan,74.57,1135,23.78,362,0.13,2,1.51,23,50.79,773
Clear_Creek,73.96,2309,24.38,761,0.42,13,1.25,39,49.58,1548
Ouray,71.91,1656,26.49,610,0.26,6,1.35,31,45.42,1046
Hinsdale,71.60,595,27.68,230,0.48,4,0.24,2,43.92,365
Summit,70.17,967,28.59,394,0.44,6,0.80,11,41.58,573
Eagle,68.43,943,29.90,412,0.44,6,1.23,17,38.53,531
San_Miguel,67.99,1604,30.39,717,0.47,11,1.14,27,37.60,887
Garfield,66.46,1700,32.29,826,0.66,17,0.59,15,34.17,874
La_Plata,66.59,1844,32.50,900,0.40,11,0.51,14,34.09,944
Teller,66.27,9659,32.51,4738,0.42,61,0.80,117,33.76,4921
Lake,65.00,4755,32.60,2385,1.08,79,1.31,96,32.40,2370
Chaffee,62.96,1890,34.41,1033,1.87,56,0.77,23,28.55,857
Custer,63.00,870,36.93,510,0.00,0,0.07,1,26.07,360
Gunnison,61.07,1559,37.02,945,1.45,37,0.47,12,24.05,614
Park,61.52,940,37.89,579,0.20,3,0.39,6,23.63,361
Delta,58.71,1352,35.69,822,3.26,75,2.34,54,23.01,530
Montrose,56.60,1038,35.88,658,2.73,50,4.80,88,20.72,380
Saguache,59.13,1085,39.84,731,0.44,8,0.60,11,19.29,354
Rio_Grande,58.63,1118,39.43,752,1.31,25,0.63,12,19.19,366
Mesa,55.69,1968,37.27,1317,3.88,137,3.17,112,18.42,651
Routt,58.19,828,40.41,575,0.49,7,0.91,13,17.78,253
Rio_Blanco,57.93,391,40.89,276,0.59,4,0.59,4,17.04,115
Boulder,55.81,5117,40.57,3719,2.88,264,0.74,68,15.25,1398
Arapahoe,55.81,33754,42.11,25469,1.37,828,0.71,432,13.70,8285
Las_Animas,54.90,4204,44.16,3382,0.73,56,0.21,16,10.73,822
Yuma,52.41,392,42.25,316,3.07,23,2.27,17,10.16,76
Weld,52.20,3386,42.95,2786,4.64,301,0.20,13,9.25,600
Fremont,51.19,3094,42.55,2572,4.04,244,2.22,134,8.64,522
Jefferson,53.00,2138,44.79,1807,1.74,70,0.47,19,8.21,331
Otero,51.79,2266,43.73,1913,4.34,190,0.14,6,8.07,353
Gilpin,49.95,1498,45.72,1371,2.87,86,1.47,44,4.23,127
Grand,51.27,182,48.17,171,0.00,0,0.56,2,3.10,11
Larimer,48.05,2456,45.84,2343,5.67,290,0.43,22,2.21,113
Elbert,49.31,640,48.23,626,2.08,27,0.39,5,1.08,14
Douglas,49.62,650,49.01,642,1.22,16,0.15,2,0.61,8
Logan,45.73,583,46.59,594,6.27,80,1.41,18,-0.86,-11
Pueblo,48.32,5878,49.56,6028,1.47,179,0.65,79,-1.23,-150
Bent,48.45,546,50.49,569,0.98,11,0.09,1,-2.04,-23
Kiowa,48.48,144,50.84,151,0.00,0,0.67,2,-2.36,-7
Baca,46.05,134,53.95,157,0.00,0,0.00,0,-7.90,-23
Prowers,43.72,633,53.11,769,2.07,30,1.10,16,-9.39,-136
El_Paso,43.19,6230,53.76,7755,2.33,336,0.71,103,-10.57,-1525
Phillips,42.57,275,53.72,347,3.56,23,0.15,1,-11.15,-72
Cheyenne,42.73,97,56.39,128,0.88,2,0.00,0,-13.66,-31
Morgan,41.16,538,55.32,723,2.07,27,1.45,19,-14.15,-185
Kit_Carson,39.36,259,58.36,384,1.98,13,0.30,2,-19.00,-125
Archuleta,40.18,391,59.40,578,0.41,4,0.00,0,-19.22,-187
Sedgwick,37.05,163,58.18,256,4.77,21,0.00,0,-21.14,-93
Washington,36.59,191,59.77,312,3.26,17,0.38,2,-23.18,-121
Costilla,33.53,453,65.43,884,0.81,11,0.22,3,-31.90,-431
Conejos,32.91,912,66.87,1853,0.11,3,0.11,3,-33.96,-941
Lincoln,32.55,124,66.93,255,0.52,2,0.00,0,-34.38,-131
Huerfano,30.83,1022,68.69,2277,0.00,0,0.48,16,-37.86,-1255
