Appling	212	82.49	44	17.12	1	0.39	168	65.37	257
Atkinson	394	90.37	25	5.73	17	3.90	369	84.63	436
Bacon	961	91.09	79	7.49	15	1.42	882	83.60	1055
Baker	245	89.74	21	7.69	7	2.56	224	82.05	273
Baldwin	826	83.94	107	10.87	51	5.18	719	73.07	984
Banks	291	74.05	86	21.88	16	4.07	205	52.16	393
Barrow	501	65.75	88	11.55	173	22.70	328	43.04	762
Bartow	846	60.73	482	34.60	65	4.67	364	26.13	1393
Ben_Hill	507	59.86	150	17.71	190	22.43	317	37.43	847
Berrien	409	94.68	13	3.01	10	2.31	396	91.67	432
Bibb	3647	83.17	455	10.38	283	6.45	3192	72.79	4385
Bleckley	367	90.62	21	5.19	17	4.20	346	85.43	405
Brantley	238	85.30	9	3.23	32	11.47	206	73.84	279
Brooks	1179	89.25	128	9.69	14	1.06	1051	79.56	1321
Bryan	196	94.23	9	4.33	3	1.44	187	89.90	208
Bulloch	989	94.01	37	3.52	26	2.47	952	90.49	1052
Burke	449	82.99	76	14.05	16	2.96	373	68.95	541
Butts	493	84.85	50	8.61	38	6.54	443	76.25	581
Calhoun	343	83.25	66	16.02	3	0.73	277	67.23	412
Camden	172	98.29	1	0.57	2	1.14	170	97.14	175
Campbell	477	93.90	18	3.54	13	2.56	459	90.35	508
Candler	241	89.59	14	5.20	14	5.20	227	84.39	269
Carroll	1784	70.29	526	20.72	228	8.98	1258	49.57	2538
Catoosa	661	70.92	242	25.97	29	3.11	419	44.96	932
Charlton	151	84.83	20	11.24	7	3.93	131	73.60	178
Chatham	6158	69.86	1800	20.42	857	9.72	4358	49.44	8815
Chattahoochee	208	91.63	14	6.17	5	2.20	194	85.46	227
Chattooga	1615	78.36	412	19.99	34	1.65	1203	58.37	2061
Cherokee	848	56.42	601	39.99	54	3.59	247	16.43	1503
Clarke	1530	82.26	267	14.35	63	3.39	1263	67.90	1860
Clay	246	74.32	51	15.41	34	10.27	195	58.91	331
Clayton	273	69.29	46	11.68	75	19.04	198	50.25	394
Clinch	235	88.68	13	4.91	17	6.42	218	82.26	265
Cobb	1360	71.20	362	18.95	188	9.84	998	52.25	1910
Coffee	510	78.46	62	9.54	78	12.00	432	66.46	650
Colquitt	1572	81.79	205	10.67	145	7.54	1367	71.12	1922
Columbia	213	71.00	47	15.67	40	13.33	166	55.33	300
Cook	502	86.40	44	7.57	35	6.02	458	78.83	581
Coweta	1010	90.42	67	6.00	40	3.58	943	84.42	1117
Crawford	352	94.12	7	1.87	15	4.01	337	90.11	374
Crisp	439	92.23	21	4.41	16	3.36	418	87.82	476
Dade	563	75.98	119	16.06	59	7.96	444	59.92	741
Dawson	279	51.10	264	48.35	3	0.55	15	2.75	546
Decatur	637	69.09	151	16.38	134	14.53	486	52.71	922
