Appling	21.26	1784	78.31	6570	0.43	36	0.00	0	8390
Atkinson	26.15	825	72.90	2300	0.95	30	0.00	0	3155
Bacon	13.39	625	86.07	4017	0.54	25	0.00	0	4667
Baker	41.93	652	56.78	897	0.39	6	0.00	0	1555
Baldwin	50.05	9140	48.75	8903	1.14	208	0.05	10	18261
Banks	10.58	932	88.53	7795	0.84	74	0.05	4	8805
Barrow	27.55	10453	70.64	26804	1.75	664	0.07	25	37946
Bartow	23.95	12091	74.62	37672	1.39	701	0.04	22	50486
Ben_Hill	36.46	2393	62.63	4111	0.91	60	0.00	0	6564
Berrien	16.39	1269	82.89	6419	0.71	55	0.01	1	7744
Bibb	61.34	43408	37.53	26559	1.06	747	0.07	49	70763
Bleckley	22.98	1312	75.81	4329	1.17	67	0.04	2	5710
Brantley	9.03	700	90.24	6993	0.72	56	0.00	0	7749
Brooks	39.30	2791	60.01	4261	0.69	49	0.00	0	7101
Bryan	31.56	6738	66.70	14240	1.67	357	0.07	14	21349
Bulloch	37.36	11248	61.07	18387	1.51	455	0.06	19	30109
Burke	48.74	5208	50.54	5400	0.70	75	0.02	2	10685
Butts	27.80	3274	71.38	8406	0.77	91	0.04	5	11776
Calhoun	57.46	1263	41.99	923	0.55	12	0.00	0	2198
Camden	33.62	7967	64.35	15249	1.98	470	0.05	12	23698
Candler	28.64	1269	70.71	3133	0.65	29	0.00	0	4431
Carroll	29.79	16236	68.76	37476	1.39	760	0.06	30	54502
Catoosa	21.25	6932	77.14	25167	1.51	494	0.10	33	32626
Charlton	24.19	1105	74.85	3419	0.96	44	0.00	0	4568
Chatham	58.62	78247	39.88	53232	1.45	1929	0.06	76	133484
Chattahoochee	42.16	667	55.63	880	2.21	35	0.00	0	1582
Chattooga	18.44	1854	80.21	8064	1.31	132	0.03	3	10053
Cherokee	29.53	42779	68.75	99585	1.69	2451	0.03	44	144859
Clarke	70.12	36055	28.10	14450	1.64	841	0.15	75	51421
Clay	55.08	791	44.36	637	0.49	7	0.07	1	1436
Clayton	84.94	95466	14.07	15811	0.94	1053	0.05	61	112391
Clinch	26.00	744	73.55	2105	0.42	12	0.03	1	2862
Cobb	56.30	221847	41.99	165436	1.64	6445	0.07	294	394022
Coffee	29.65	4511	69.53	10578	0.82	125	0.00	0	15214
Colquitt	26.05	4190	73.21	11777	0.74	119	0.01	1	16087
Columbia	36.26	29232	62.04	50013	1.65	1330	0.06	45	80620
Cook	29.26	2059	69.63	4900	1.08	76	0.03	2	7037
Coweta	31.50	24210	67.02	51501	1.42	1088	0.06	46	76845
Crawford	26.47	1615	72.57	4428	0.97	59	0.00	0	6102
Crisp	37.11	2982	62.03	4985	0.82	66	0.04	3	8036
Dade	16.93	1261	81.46	6066	1.44	107	0.17	13	7447
Dawson	15.46	2486	83.30	13398	1.22	197	0.02	3	16084
Decatur	41.12	4782	58.09	6755	0.76	88	0.03	3	11628
DeKalb	83.09	308162	15.74	58377	1.13	4207	0.04	131	370877
Dodge	26.91	2172	72.39	5843	0.69	56	0.01	1	8072
Dooly	46.54	1911	52.58	2159	0.85	35	0.02	1	4106
Dougherty	69.62	24568	29.59	10441	0.79	278	0.01	3	35290
Douglas	61.92	42814	36.82	25454	1.21	838	0.05	33	69139
Early	47.22	2450	52.24	2710	0.54	28	0.00	0	5188
Echols	11.58	167	87.10	1256	1.25	18	0.07	1	1442
Effingham	24.44	7718	73.98	23361	1.56	492	0.03	8	31579
Elbert	31.38	2879	67.85	6226	0.72	66	0.05	5	9176
Emanuel	30.36	2886	68.93	6553	0.69	66	0.02	2	9507
Evans	31.17	1324	67.98	2888	0.82	35	0.02	1	4248
Fannin	17.31	2570	81.95	12169	0.74	110	0.00	0	14849
Fayette	45.91	33062	52.71	37956	1.36	976	0.02	18	72012
Floyd	28.81	11917	69.88	28906	1.25	518	0.06	24	41365
Forsyth	32.62	42208	65.79	85123	1.53	1980	0.05	66	129377
Franklin	14.80	1593	84.23	9069	0.96	103	0.02	2	10767
Fulton	72.57	380212	26.20	137247	1.21	6320	0.03	152	523931
Gilmer	17.74	2932	81.25	13429	0.99	164	0.01	2	16527
Glascock	9.90	155	89.58	1402	0.51	8	0.00	0	1565
Glynn	37.82	15882	61.00	25617	1.16	489	0.01	6	41994
Gordon	18.23	4384	80.71	19405	1.01	244	0.05	11	24044
Grady	33.80	3619	65.70	7034	0.50	54	0.00	0	10707
Greene	36.34	4087	62.83	7066	0.81	91	0.03	3	11247
Gwinnett	58.40	241994	40.16	166400	1.36	5629	0.08	327	414350
Habersham	17.42	3562	81.39	16637	1.13	232	0.05	11	20442
Hall	27.63	25033	70.84	64183	1.46	1321	0.07	65	90602
Hancock	71.66	2976	27.79	1154	0.55	23	0.00	0	4153
Haralson	12.57	1791	86.54	12330	0.88	125	0.01	2	14248
Harris	27.28	5457	71.59	14319	1.07	215	0.05	11	20002
Hart	24.79	3157	74.33	9465	0.83	106	0.05	6	12734
Heard	15.28	824	83.78	4519	0.95	51	0.00	0	5394
Henry	59.70	73443	39.23	48259	1.05	1296	0.01	18	123016
Houston	43.06	32239	55.48	41540	1.41	1059	0.05	34	74872
Irwin	24.18	1008	75.19	3134	0.62	26	0.00	0	4168
Jackson	20.28	7642	78.29	29502	1.41	531	0.03	10	37685
Jasper	23.03	1761	76.13	5822	0.80	61	0.04	3	7647
Jeff_Davis	17.80	1028	81.31	4695	0.83	48	0.05	3	5774
Jefferson	53.12	4058	46.30	3537	0.58	44	0.00	0	7639
Jenkins	36.64	1266	62.55	2161	0.81	28	0.00	0	3455
Johnson	29.80	1222	69.51	2850	0.68	28	0.00	0	4100
Jones	32.68	4882	66.53	9940	0.75	112	0.04	6	14940
Lamar	28.97	2620	69.99	6331	1.04	94	0.00	0	9045
Lanier	28.50	1019	70.16	2509	1.34	48	0.00	0	3576
Laurens	35.52	8074	63.76	14493	0.72	164	0.00	1	22732
Lee	27.26	4558	71.82	12007	0.89	149	0.03	5	16719
Liberty	61.25	13104	37.20	7959	1.55	331	0.00	0	21394
Lincoln	30.86	1432	68.37	3173	0.78	36	0.00	0	4641
Long	35.95	2035	62.31	3527	1.68	95	0.05	3	5660
Lowndes	43.38	20116	55.40	25692	1.18	547	0.04	20	46375
Lumpkin	20.11	3126	78.24	12163	1.56	242	0.09	14	15545
Macon	61.29	2858	38.24	1783	0.47	22	0.00	0	4663
Madison	22.82	3411	75.78	11326	1.34	200	0.05	8	14945
Marion	36.18	1312	62.74	2275	1.05	38	0.03	1	3626
McDuffie	39.86	4168	59.00	6169	1.13	118	0.01	1	10456
McIntosh	39.01	2612	59.98	4016	1.02	68	0.00	0	6696
Meriwether	39.40	4287	59.96	6524	0.61	66	0.03	3	10880
Miller	26.39	748	72.90	2066	0.71	20	0.00	0	2834
Mitchell	44.55	3993	55.06	4935	0.38	34	0.01	1	8963
Monroe	28.12	4385	70.91	11057	0.95	148	0.01	2	15592
Montgomery	24.70	980	74.60	2960	0.68	27	0.03	1	3968
Morgan	28.63	3353	70.29	8231	1.04	122	0.03	4	11710
Murray	14.95	2301	84.08	12944	0.94	144	0.04	6	15395
Muscogee	61.40	49446	37.39	30107	1.19	961	0.02	14	80528
Newton	54.90	29789	43.99	23869	1.06	576	0.05	29	54263
Oconee	32.40	8162	65.87	16595	1.63	411	0.10	25	25193
Oglethorpe	29.97	2439	68.71	5592	1.25	102	0.06	5	8138
Paulding	34.76	29695	63.82	54517	1.36	1160	0.05	45	85417
Peach	47.17	5922	51.82	6506	1.00	125	0.01	1	12554
Pickens	16.45	2824	82.17	14110	1.36	233	0.03	5	17172
Pierce	12.16	1100	87.29	7898	0.54	49	0.01	1	9048
Pike	14.04	1505	85.13	9127	0.82	88	0.01	1	10721
Polk	21.02	3657	78.09	13587	0.87	152	0.02	3	17399
Pulaski	30.14	1230	68.98	2815	0.88	36	0.00	0	4081
Putnam	29.08	3448	69.92	8291	0.98	116	0.02	2	11857
Quitman	44.94	497	54.61	604	0.45	5	0.00	0	1106
Rabun	20.72	1984	78.07	7474	1.15	110	0.06	6	9574
Randolph	54.38	1671	45.23	1390	0.39	12	0.00	0	3073
Richmond	67.89	59119	30.75	26780	1.27	1110	0.08	68	87077
Rockdale	69.88	31237	29.11	13014	0.96	430	0.04	18	44699
Schley	20.31	462	79.12	1800	0.57	13	0.00	0	2275
Screven	40.14	2661	59.06	3915	0.77	51	0.03	2	6629
Seminole	32.30	1256	67.21	2613	0.49	19	0.00	0	3888
Spalding	39.14	11828	59.91	18104	0.92	279	0.03	8	30219
Stephens	20.08	2386	78.81	9367	1.11	132	0.00	0	11885
Stewart	59.40	1182	40.25	801	0.35	7	0.00	0	1990
Sumter	51.97	6314	47.19	5733	0.83	101	0.02	2	12150
Talbot	59.99	2114	39.50	1392	0.45	16	0.06	2	3524
Taliaferro	60.45	561	38.79	360	0.75	7	0.00	0	928
Tattnall	25.19	2062	73.95	6054	0.84	69	0.02	2	8187
Taylor	36.13	1388	62.99	2420	0.88	34	0.00	0	3842
Telfair	34.33	1488	65.17	2825	0.48	21	0.02	1	4335
Terrell	53.80	2376	45.38	2004	0.82	36	0.00	0	4416
Thomas	39.80	8708	59.28	12969	0.89	195	0.02	5	21877
Tift	32.67	5318	66.24	10784	1.09	177	0.01	1	16280
Toombs	26.92	2938	72.14	7873	0.94	103	0.00	0	10914
Towns	19.43	1550	80.01	6384	0.56	45	0.00	0	7979
Treutlen	30.94	952	68.28	2101	0.78	24	0.00	0	3077
Troup	38.52	11577	60.36	18142	1.09	328	0.03	10	30057
Turner	37.17	1409	61.96	2349	0.87	33	0.00	0	3791
Twiggs	45.99	2044	53.33	2370	0.68	30	0.00	0	4444
Union	17.99	2800	81.29	12650	0.69	108	0.03	4	15562
Upson	32.56	4203	66.68	8606	0.74	96	0.02	2	12907
Walker	19.64	5770	78.89	23173	1.40	411	0.07	20	29374
Walton	24.82	12683	74.05	37839	1.12	571	0.01	5	51098
Ware	29.38	4169	69.79	9903	0.82	117	0.00	0	14189
Warren	55.40	1468	44.00	1166	0.60	16	0.00	0	2650
Washington	50.03	4743	49.24	4668	0.70	66	0.03	3	9480
Wayne	21.03	2688	78.13	9987	0.81	104	0.02	3	12782
Webster	46.01	640	53.77	748	0.22	3	0.00	0	1391
Wheeler	30.15	689	69.28	1583	0.57	13	0.00	0	2285
White	16.26	2411	82.41	12222	1.23	183	0.10	15	14831
Whitfield	29.05	10680	69.75	25644	1.20	442	0.00	0	36766
Wilcox	26.26	861	73.25	2402	0.49	16	0.00	0	3279
Wilkes	42.93	2160	56.11	2823	0.93	47	0.02	1	5031
Wilkinson	43.48	2074	55.87	2665	0.65	31	0.00	0	4770
Worth	25.79	2395	73.56	6830	0.65	60	0.00	0	9285
